Code,Discription,Price list,price of 01/02/2021
FMNEU-0137,CORPUS CALLOSOTOMY FOR EPILEPS Y,4725,5198
FMNEU-0138,CORTICAL RESECTION AWAKE EPILE PTIC PT.,5250,5775
FMNEU-0139,USE OF CORTICAL STMLTR. FOR MA PPING OF EPILEPTIC CORTEX,525,578
FMNEU-0140,INTRAOPERATIVE EEG,1050,1155
FMNEU-0141,REMOVAL OF SUBDURAL ELECTRODES FOR EPILEPSY,370,407
FMNEU-0142,TRANS ORAL APPORACH,8400,9240
FMNEU-0143,CERVICAL CORPECTOMY,6300,6930
FMNEU-0144,CERVICAL DISSECTOMY WITH CAGE,4200,4620
FMNEU-0145,MICRO VASCULAR DECOMPRESSION,5250,5775
FMNEU-0146,POST. FOSSA RHIZOTOMY,4200,4620
FMNEU-0147,STAX IMPLANTATION OF DEPTH ELE,5250,5775
FMNEU-0148,ULNAR NERVE TRANSPOSITION,1575,1733
FMNEU-0150,ENDOSCOPIC SHUNT INSERTION,2000,2200
FMNEU-0151,ENDOSCOPIC VENTRICULOSTOMY,3000,3300
FMNEU-0152,PUMP IMPLANTATION,6000,6600
FMNEU-0153,FILLING OF PUMP,500,550
FMNEU-0154,STERIOTACTIC IMPLATION OF DBS  (DEEP BRAIN STIMULATIONS),2000,2200
FMNEU-0155,MEASURING INTRAVAINAL PRESSURE THROUGH LUMBER PUNCTURE,620,682
FMNEU-0156,DRESSING OF WOUND  (SMALL),40,44
FMNEU-0157,DRESSING OF WOUND  (MEDIUM),70,77
FMNEU-0158,DRESSING OF WOUND  (LARGE),150,165
FMNEU-0159,REMOVAL OF  STITCHES,80,88
FMNEU-0166,CARPAL TUNNEL SYNDROME,1000,1100
FMNEU-0167,TRANPEDICULAR FIXATION LAMINECTOMY INTER & SPINAL FUSION,5880,6468
FMNEU-0168,DECOMPRESSION CRAINECTOMY,7500,8250
FMNEU-0169,INSERTION OF HALO VEST UNDER LOCAL ANESTHESIA &  C-ARM GUIDE,5000,5500
FMNEU-0170,EXCISION OF SPINAL CORD TUMOUR,6180,6798
FMNEU-0171,REMOVAL OF EXTRA DURAL HAEMOTOMA,5000,5500
FMNEU-0172,REPAIR OF TRAUMATRIC SCLAP WOUND UNDER GENERAL ANESTHESIA,4000,4400
FMNEU-0173,EXPLORATION OF SURGICAL WOUND,3500,3850
FMNEU-0174,EVACUATION OF ACUTE SUBDURAL HGE,4000,4400
FMNEU-0175,ATTEMPT ENDOVASCULAR AVM EMBOLIZATION,18000,19800
FMNEU-0176,REMOVAL OF SHUNT UNDER GENERAL ANESTHESIA,9000,9900
FMNEU-0177,EXTERNAL VENTRICULAR DRAIN INSERTION (EVD INSERTION),2800,3080
FMNEU-0178,REMOVAL OF CEREBELLAR INTARCTION,3500,3850
FMNEU-0179,DRURAL GRAFTING OF POSTERIOR FOSSA,2500,2750
FMPDT-0002,FOLLOW-UP & EXAM. & CONSULTATN NURSERY,110,121
FMNEU-1000,DAY CARE SUPERVISION,200,220
FMNEU-1001,DOCTOR'S DAYCARE SUPERVISION,65,72
FMNEU-2000,ADDITIONAL FEE FOR COMPLICATED OPERATIONS,1160,1276
FMNEU-9000,C.P. PROGRAM - 2 SESSION (P.D),220,242
FMNEU-9909,EXCISSION OF MET. TUMOUR SPINE,2100,2310
FMNEU-9910,NERVE ROOT TUMOR,6500,7150
FMNEU-9911,MUSCLE BIOPSY G.A,1000,1100
FMNEU-9917,LUMBAR LAMINECTOMY,5790,6369
FMNEU-9928,LUMBAR DISC 2 LEVELS,6580,7238
FMNEU-9929,MICROSCOPIC LUMBAR DISECTOMY,25000,27500
FMNEU-9930,EXCISION OF CAREBRAL ABCESS,25000,27500
FMNSCA0001,LUMBAR PUNCTURE,240,264
FMNSCA0002,APPLICATION OF SKULL TRACTION,450,495
FMNSCA0003,APPLICATION OF HALO VEST,940,1034
FMNSCA0004,COLCHICINE INJECTION (3 DOSES),1080,1188
FMNSCA0005,COLCHICINE INJECTION COURSE,3570,3927
FMNSCA0006,RHIZOTOMY (ONE LEVEL),810,891
FMNSCA0007,RHIZOTOMY (MULTIPLE LEVELS),1580,1738
FMNSCA0008,DISCOGRAPHY (ONE LEVEL),940,1034
FMNSCA0009,DISCOGRAPHY (MULTIPLE LEVELS),1680,1848
FMNSCA0010,ANTERIOR CERVICAL DISCOTOMY WI,3730,4103
FMNSCA0011,ANTERIOR CERVICAL DISCOTOMY PL,3730,4103
FMNSCA0013,POSTERIOR CERVICAL DECOMPRESSI,3250,3575
FMNSCA0014,COSTTRANSVERSECTOMY FOR THORA,2330,2563
FMNSCA0015,ANTERIOR THORACIC DESCECTOMY,3250,3575
FMNSCA0016,POSTERIOR THORACIC DISCECTOMY,3730,4103
FMNSCA0017,OPEN LUMBAR DISCECTOMY (ONE),1860,2046
FMNSCA0018,OPEN LUMBAR DISCECTOMY (MULTIPLE),2790,3069
FMNSCA0020,LUMBAR LAMINOTOMY OR LAMINECTO,2790,3069
FMNSCA0021,PERCUTANEOUS DISCECTOMY (ANY),2330,2563
FMNSCA0022,PERCUTANEOUS THERMO LASER DIS-,2790,3069
FMNSCA0023,ENDOSCOPIC THERMO-LASER (ANY,2790,3069
FMNSCA0024,LUMBAR DISCESTOMY WITH PDN IN-,2790,3069
FMNSCA0025,REMOVAL OF PDN WIRH RE-INSER-,2330,2563
FMNSCA0026,POSTERIOR FIXATION OF VERVICAL,3730,4103
FMNSCA0027,POSTERIOR CERVICAL WIRING,2790,3069
FMNSCA0028,ANTERIOR CERVICAL CORPECTOMY,4670,5137
FMNSCA0029,COMBINED ANTERIOR AND POSTERI-,5580,6138
FMNSCA0030,POSTERIOR FIXATION OF THORACIC,3730,4103
FMNSCA0031,ANTERIOR FIXATION OF THORACIC-,5580,6138
FMNSCA0032,COMBINED ANTERIOR AND POSTERI-,7000,7700
FMNSCA0033,FIXATIONOF SACRAL FRACTURE,2790,3069
FMNSCA0034,OCCIPITO-CERVICAL SPINALFUSION,5580,6138
FMNSCA0035,POSTERIOR ATLANTO-AXIAL SPINAL,4670,5137
FMNSCA0036,TRANS-ORAL ATLANDO-AXIAL FUSION,4670,5137
FMNSCA0037,POSTERIOR THORACIC SPINAL FUS-,3730,4103
FMNSCA0038,ANTERIOR THORACIC INTERBODY,4670,5137
FMNSCA0039,POSTEROLATERAL LUMBAR SPINAL,3730,4103
FMNSCA0040,POSTEROLATERAL WITH INTERBODY,4670,5137
FMNSCA0041,POSTERIOR OSTEOTOMY WITH FUSI-,4670,5137
FMNSCA0042,ENDOSCOPIC INTERBODY FUSION (LU),6510,7161
FMNSCA0043,MODIFIED SCOTT WIRING,3250,3575
FMNSCA0044,REVISION OF SPINAL FUSION,5580,6138
FMNSCA0045,SACRO-ILIAC JOINT ARTHRODESIS,2790,3069
FMNSCA0046,POSTERIOR HEMI-EPIPHYSIODISIS,5580,6138
FMNSCA0047,FUSION IN SITU FOR CONGENITIAL,4670,5137
FMNSCA0048,HEMIVERTEBRA EXCISION,5580,6138
FMNSCA0049,OPEN ANTERIOR SPINAL RELEASE,3730,4103
FMNSCA0050,ENDOSCOPIC SPINAL RELEASE FOR,5580,6138
FMNSCA0051,CORECTION AND POSTERIOR INST-,5580,6138
FMNSCA0052,ANTERIOR RELEASE AND INSTRUME-,6060,6666
FMNSCA0053,POSTERIOR CORRECTION AND FIXA-,4670,5137
FMNSCA0054,COSTOPLASTY,2330,2563
FMNSCA0055,EXCISION OF COCCYX,1860,2046
FMNSCA0056,OPEN SPINAL BIOPSY,1860,2046
FMNSCA0057,OPEN SPINAL BIOPSY WITH POSTE-,4200,4620
FMNSCA0058,DEBRIDEMENT WITH POSTERIOR FI-,4200,4620
FMNSCA0059,ANTERIOR RESECTION OF ONE VER-,4670,5137
FMNSCA0060,POSTERIOR INSTRUMENTATION  WITH,4670,5137
FMNSCA0061,RESECTION OF SPINAL CORD TUMOUR,5580,6138
FMNSCA0062,COMBINED ANTERIOR AND POSTERI-,6510,7161
FMNSCA0063,EXCISION OF SACRUM,6510,7161
FMNSCA0064,EXCISION OF PARASPINAL SOFT,2790,3069
FMNSCA0065,REMOVAL OF SPINAL INSTRUMENTATION,1860,2046
FMNSCA0066,REPAIR OF DURAL RENT,2330,2563
FMNSCA0067,REVISION OF SPINAL WOUND,940,1034
FMNSCA0068,DESTANTU LUMBAR LAMINOTOMY,1860,2046
FMNSCA0069,DESTANTU LUMBAR LAMINOTOMY (2),2790,3069
FMNSCA0070,CORRECTION OF SCOLLIOSIS USING ISOLA-SYSTEM,8400,9240
FMNSCE0005,LAMINECTOMY,4200,4620
FMPDT-0037,1 X DPT VACCINATION INCLUDING  CONSULTATION & VACCINE,110,121
FMNUM-0003,E.E.G. WITHOUT PROVOCATION,385,424
FMNUM-0004,BRAIN MAPPER,1160,1276
FMNUM-0005,"E.M.G. FACE 1,2",520,572
FMNUM-0006,ULTRASONOGRAPHY (BRAIN),325,358
FMNUM-0007,EPILEPSY CENTER PKG,3825,4208
FMNUM-0008,HEADACHE CENTER PKG,965,1062
FMNUM-0009,E.P.,1160,1276
FMNUM-0011,VIDEO E.E.G.,2000,2200
FMNUM-0012,E.M.G. AND N.C.S. REPORT,220,242
FMNUM-0016,EEG MONITORING - PACKAGE DEAL  12 HOURS (9:00PM - 9:00AM),2425,2668
FMNUM-0017,ONE VESSEL STUDY,220,242
FMNUM-0018,TWO VESSELS STUDY,440,484
FMNUM-0019,COMPLETE STUDY,530,583
FMNUM-0020,24 HOURS MONITORING,4200,4620
FMNUM-0021,48 HOURS MONITORING,8400,9240
FMNUM-0022,5 DAYS MONITORING,15750,17325
FMNUM-0023,SLEEP LAB,2500,2750
FMNUM-0024,EMG COMP. 2 NURSE,300,330
FMNUM-0025,EEG,450,495
FMNUM-0026,ROUTINE EEG,650,715
FMNUM-0027,EEG VIDEO MONITORING,3000,3300
FMNUM-0028,SUBDURAL,3000,3300
FMNUM-0029,INTRA OPERATIVE,1500,1650
FMNUM-0030,SLEEP ANALYSIS,2500,2750
FMNUM-0031,E M G,240,264
FMNUM-0032,EVOKED POTENTIAL,1000,1100
FMNUM-0033,DIGITAL EEG,450,495
FMNUM-0034,EMG 2 UNITS,480,528
FMNUM-0035,EMG 3 UNITS,720,792
FMNUM-0036,EMG 4 UNITS,960,1056
FMNUM-0038,NCV STUDY FOR 1 UNIT,275,303
FMNUM-0039,NCV STUDY FOR 2 UNIT,550,605
FMNUM-0040,NCV STUDY FOR 3 UNITS,825,908
FMNUM-0041,NCV STUDY FOR 4 UNITS,1100,1210
FMNUM-0042,NCV STUDY FOR 8 UNITS,2000,2200
FMPDT-0040,M/M VACCINATION INCLUDING CONSULTATION AND VACCINE,110,121
FMNUM-1000,DAY CARE SUPERVISION,200,220
FMNUM-1001,DOCTOR'S DAYCARE SUPERVISION,65,72
FMNUM-2001,INJECTION OF ONE-1-MUSCLE,100,110
FMNUM-2002,INJECTION OF TWO-2-MUSCLE,200,220
FMNUM-2003,INJECTION OF THREE-3-MUSCLE,300,330
FMNUM-2004,INJECTION OF FOUR-4-MUSCLE,400,440
FMNUR-0001,INTRAMUSCULAR OR SUBCUTICULAR  INJECTION,6,7
FMNUR-0002,I.V. INJECTION,10,11
FMNUR-0003,I.V.FLUID INSERTION,34,38
FMNUR-0004,ORDINARY DRESSING,23,26
FMNUR-0005,MEDIUM DRESSING,35,39
FMNUR-0006,LARGE DRESSING,69,76
FMNUR-0007,CATHETERIZATION,69,76
FMNUR-0008,OXYGEN / HOUR INHALATION,10,11
FMNUR-0009,FLEET CLEANSING ENEMA,10,11
FMNUR-0010,SPECIAL NURSE IN ROOM PER 12 HRS.,175,193
FMNUR-0011,TEPID SPONGE BATH,23,26
FMNUR-0012,POST CATH. OBSERVATION,138,152
FMNUR-0013,PATIENT PREPARATION,175,193
FMNUR-0014,SPECIAL CARE - IST TO 3RD WK,416,458
FMNUR-0015,SPECIAL CARE FROM 4TH WEEK,279,307
FMNUR-0016,DEEP CUT WOUND - SMALL (3 - 5 STITCHES),69,76
FMNUR-0017,DEEP CUT WOUND - MEDIUM (5 - 10 STITCHES),104,115
FMNUR-0018,DEEP CUT WOUND - LARGE (10 - 20 STITCHES),138,152
FMNUR-0019,ENDOTRACHEAL TUBE,31,35
FMNUR-0020,I.V. CANULA,10,11
FMNUR-0021,AIRWAY,4,5
FMNUR-0022,I.V. CENTRAL CATHETER,69,76
FMNUR-0023,DINAMAP,35,39
FMNUR-0024,BLOOD EXTRACTION,13,15
FMNUR-0025,HOT SITZ BATH,35,39
FMNUR-0026,GLUCOTEST,10,11
FMNUR-0027,COLD COMPRESS,35,39
FMNUR-0028,HOT COMPRESS,35,39
FMNUR-0029,NASO GASTRIC INTUBATION,35,39
FMNUR-0030,GUEST PER DAY,66,73
FMNUR-0031,URINE INVESTIGATION DONE AT THE WARD FOR GLUCOSE,4,5
FMNUR-0032,STEAM INHALATION (EXCLUDING MEDICINE),35,39
FMNUR-0033,SGH COCKTAIL,154,170
FMNUR-0034,SKIN TEST,4,5
FMNUR-0035,NASAL TUBE SUCTIONING,10,11
FMNUR-0036,RECTAL TUBE INSERTION,19,21
FMNUR-0037,INSERTION OF SUBCLAVIAN CATH.,138,152
FMNUR-0038,MEDICATED SHAMPOO TREATMENT,35,39
FMNUR-0039,ADDITIONAL NURSING CARE,35,39
FMNUR-0040,AIR MATRESS PER DAY,35,39
FMNUR-0041,CODE BLUE ON THE WARD,110,121
FMNUR-0042,ECG DONE BY NURSE ON THE WARD,56,62
FMNUR-0043,ENDOTRACHEAL CATHERIZATION,148,163
FMNUR-0044,SPECIAL NURSING CARE PER HOUR,16,18
FMNUR-0045,PULSE OXIMETER MONITOR,6,7
FMNUR-0046,PULSE OXIMETER 24 HOURS,125,138
FMNUR-0047,NURSING CARE HOME VISIT PER 1  HOUR,125,138
FMNUR-5555,MEDICAL SUPERVISION,104,115
FMNUR99999,MEDICAL SUPERVISION,104,115
FMPDT-0055,1 X DI-VACCINE FOR CHILDREN INCL CONSULTATION & VACCINE,110,121
FMOBG-0002,ULTRASOUND SCAN WITH PHOTO,110,121
FMOBG-0003,CRYOCAUTERY,220,242
FMOBG-0004,INSERTION OF I.U.D.,260,286
FMOBG-0005,COLPOSCOPIC EXAMINATION,110,121
FMOBG-0006,COLPOSCOPIC EXAM. & PHOTO,165,182
FMOBG-0007,PROCTOSCOPY,280,308
FMOBG-0008,COLPOSCOPY W/BIOPSY OR VAGINAL TREATMENT,325,358
FMOBG-0009,EPIDURAL ANALGESIA,885,974
FMOBG-0010,NORMAL DELIVERY,1500,1650
FMOBG-0011,FORCEPS DELIVERY (ROUTINE),2000,2200
FMOBG-0012,FORCEPS DELIVERY COMPLICATED   KIELAND,2760,3036
FMOBG-0013,VENTOUSE DELIVERY W/ VACUUM,2000,2200
FMOBG-0014,NEW BORN (SAESAREAN SECTION),1000,1100
FMOBG-0015,LOWER SEG. CAESAREAN SECTION - ON RUPTURED UTERUS,3310,3641
FMOBG-0016,ANTENATAL (CTG)MONITORING/HR,110,121
FMOBG-0017,MANUAL REMOVAL OF PLACENTA,555,611
FMOBG-0018,TWIN DELIVERY,2205,2426
FMOBG-0019,TRIPLETS DELIVERY,2760,3036
FMOBG-0020,LOWER SEG. CAESARIAN SECTION-  TWIN DELIVERY,4410,4851
FMOBG-0021,DILATATION & CURETTAGE,1105,1216
FMOBG-0022,EVACUATION OF RTND PROD.OF,970,1067
FMOBG-0023,TERMINATION OF PREGNANCY,1105,1216
FMOBG-0024,LAPAROSCOPIC EXAMINATION,1655,1821
FMOBG-0025,LAPAROSCOPY - OPERATION,2760,3036
FMOBG-0026,LAPAROSCOPY STERILIZATION,2760,3036
FMOBG-0027,CERVICAL ENCERCLAGE,1325,1458
FMOBG-0028,CYSTOSCOPY,1105,1216
FMOBG-0029,LAPAROTOMY - DIAGNOSTIC,2205,2426
FMOBG-0030,OVARIAN CYSTECTOMY-UNILATERAL,2205,2426
FMOBG-0031,Cauterization of Cervix under G.A,670,737
FMOBG-0032,ECTOPIC PREGNANCY OPERATION,2205,2426
FMOBG-0033,TUBAL SURGERY,3310,3641
FMOBG-0034,MICRO TUBAL SURGERY,4965,5462
FMOBG-0035,MYOMECTOMY,3500,3850
FMOBG-0036,ABDOMINAL HYSTERECTOMY,3860,4246
FMOBG-0037,TOTAL ABDOMINAL HYSTERECTOMY   & SALPINGO-OOPHORECTOMY,3860,4246
FMOBG-0038,EXTENDED TOTAL ABD.HYSTERECTO- & BILATERAL. SALPINGO-OOPH.,4965,5462
FMOBG-0039,RADICAL HYSTERECTOMY,6615,7277
FMOBG-0040,MANCHESTER REPAIR,3310,3641
FMOBG-0041,VESICO VAGINAL FISTULA REPAIR,4800,5280
FMOBG-0042,VAGINAL REPAIR (MINOR),2200,2420
FMOBG-0043,VAGINAL HYSTERECTOMY,3860,4246
FMOBG-0044,VAGINAL HYSTERECTOMY & REPAIR,4965,5462
FMOBG-0045,COLPOSUSPENSION,3860,4246
FMOBG-0046,TUBAL LIGATION,2205,2426
FMOBG-0047,LAPAROTOMY & APPENDECTOMY,3255,3581
FMOBG-0048,REMOVAL ENCERCLAGE SUTURE G.A.,300,330
FMOBG-0049,D & C & CAUTERY,1325,1458
FMOBG-0050,HYMENECTOMY,900,990
FMOBG-0052,REMOVAL OF CLITORIS CYST,1105,1216
FMOBG-0053,EXCISN OR MARSUPIALIZATION OF  BARTHOLIN CYST,885,974
FMOBG-0054,EXCISN OF ENLARGED LABIA,1435,1579
FMOBG-0055,DEBRIDMENT & SUTURING OF ABDOMENT,1105,1216
FMOBG-0056,POLYPECTOMY,1180,1298
FMOBG-0057,EXCISN & BIOPSY OF BILATERAL   LABIAL LYMPH NODES,1105,1216
FMOBG-0058,CERVICAL CAUTERISATION,1910,2101
FMOBG-0060,GIFT IVF PACKGE DEAL IST CLASS,10000,11000
FMOBG-0061,GIFT IVF PACKGE DEAL 2ND CLASS,245,270
FMOBG-0062,GIFT IVF PACKGE DEAL 3RD CLASS,245,270
FMOBG-0063,OVUM PROCESSING,555,611
FMOBG-0064,EMBRYO TRANSFER,555,611
FMOBG-0065,A.I.H.,299,329
FMOBG-0066,SEMEN WASH & SWIM UP,237,261
FMOBG-0067,PRE & POST-NATAL PROGRAM TEN   EXAM W/OUT PROCEDURE,445,490
FMOBG-0068,PRE-NATAL PROGRAM 6 SESSION,280,308
FMOBG-0069,POST-NATAL PROGRAM 4 SESSION,165,182
FMOBG-0070,HIGH VAGINAL SWAB,110,121
FMOBG-0071,INDUCTION OF LABOUR,555,611
FMOBG-0073,EPISIOTOMY - LOCAL ANAESTHESIA,445,490
FMOBG-0074,AMNIOTOMY (ARM),220,242
FMOBG-0075,BREECH DELIVERY,2205,2426
FMOBG-0076,INTERNAL COMBINED PODALIC VERS ION,1655,1821
FMOBG-0077,CRANIOTOMY & VAGINAL DEL.,2200,2420
FMOBG-0078,CAESAREAN SEC.W/TUBAL LIGATION,3310,3641
FMOBG-0079,POST PARTUM TUBAL LIGATION,2205,2426
FMOBG-0080,CAESAREAN SEC. W/ HYSTERECTOMY,5515,6067
FMOBG-0081,OOPHORECTOMY - BILATERAL,2760,3036
FMOBG-0082,SALPINGO OOPHORECTOMY-UNILAT.,2760,3036
FMOBG-0083,SALPINGO OOPHORECTOMY-BILAT.,3310,3641
FMOBG-0084,OOPHOROTOMY-WEDGE RESECTION UNILATERAL,2205,2426
FMOBG-0085,OOPHOROTOMY-WEDGE RESECTION BILATERAL,3500,3850
FMOBG-0086,SALPINGOTOMY - UNILATERAL,2205,2426
FMOBG-0087,ENDOCERVICAL BIOPSY,555,611
FMOBG-0088,CONIZATION,1105,1216
FMOBG-0089,AMPUTATION OF CERVIX,3500,3850
FMOBG-0090,CRYOCAUTERY OF CERVIX,330,363
FMOBG-0091,THERMO-CAUTERY OF CERVIX,330,363
FMOBG-0092,HYSTEROSCOPY-UTERINE BIOPSY,2205,2426
FMOBG-0093,SUBTOTAL HYSTERECTOMY,2760,3036
FMOBG-0094,MISCARRIAGE CURRETAGE,1325,1458
FMOBG-0095,ASPIRATION CURRETAGE,1325,1458
FMOBG-0096,ANTEFIXATION OF UTERUS,2205,2426
FMOBG-0097,OBLITERATN OF VAGINA LE FORTE  OPERATION,3310,3641
FMOBG-0098,VAGINECTOMY,3310,3641
FMOBG-0099,CYTOCELE REPAIR,1655,1821
FMOBG-0100,RECTOCELE REPAIR,1655,1821
FMOBG-0101,ENTEROCELE REPAIR,2205,2426
FMOBG-0102,OLD 3RD DEG.LACERATION REP.,1655,1821
FMOBG-0103,RECTO-VAGINAL FISTULA REPAIR,3860,4246
FMOBG-0104,VAGINAL TUBAL LIGATION,2205,2426
FMOBG-0105,VULVECTOMY - BILATERAL,3310,3641
FMOBG-0106,DIAGNOSTIC LAPAROSCOPY WITH INSUFFLATION,2205,2426
FMOBG-0107,LAPAROSCOPY W/ SALPINGOTOMY,2760,3036
FMOBG-0108,SECONDARY CLOSURE OF ABDOMEN,1105,1216
FMOBG-0109,BIOPSY OF BREAST TISSUE,1655,1821
FMOBG-0110,SIMPLE MASTECTOMY,2760,3036
FMOBG-0111,SIMPLE MASTECTOMY W/ AUX.LYMPH NODE RESECTION,4410,4851
FMOBG-0112,RADICAL MASTECTOMY,4410,4851
FMOBG-0113,SCAR-CORRECTIVE OPERATION,1655,1821
FMOBG-0114,BREAST LIFTING,6615,7277
FMOBG-0115,REDUCTION MAMMOPLASTY SIMPLE,8820,9702
FMOBG-0116,REDUCTION MAMMOPLASTY EXTEN.,11025,12128
FMOBG-0117,FREE TRANSPLANT OF NIPPLE,5515,6067
FMOBG-0118,AUGMENTATION OF MAMMOPLASTY,6615,7277
FMOBG-0119,REVISION OR REMOVAL OF IMPLANT,2205,2426
FMOBG-0120,ABDOMINAL LIPOIDECTOMY,6615,7277
FMOBG-0121,ABDOMINAL LIPOIDECTOMY + FREE  UMBILICAL TRANSPLANT,4630,5093
FMOBG-0122,INTRAUTERINE DEVICE REMOVAL,260,286
FMOBG-0123,ASPIRATION OF VULVAL CYST,90,99
FMOBG-0124,EXAM.UNDER GENERAL ANAESTHESIA,165,182
FMOBG-0125,POLYPECTOMY LARGE AND FRACT.   CURRETAGE,2205,2426
FMOBG-0126,DOUGLAS POUCH ABSCESS DRAINAGE,555,611
FMOBG-0127,D & INSUFLATION,555,611
FMOBG-0128,VAGINAL POLYPECTOMY,1200,1320
FMOBG-0129,FATHERGILL'S OPERATION,3500,3850
FMOBG-0130,CLASSICAL REPAIR,3500,3850
FMOBG-0131,DEFLORATION INJURY,5000,5500
FMOBG-0134,LOWER SEG. UTERINE CAESARIAN   SECTION - REPEATED,3310,3641
FMOBG-0135,OOPHORECTOMY - UNILATERAL,2205,2426
FMOBG-0136,AMNIOCENTISIS,555,611
FMOBG-0137,ULTRASOUND SCAN W\O PHOTO,165,182
FMOBG-0138,PUDENDAL BLOCK ANAESTHESIA,280,308
FMOBG-0139,ABDOMINAL  METROPLASTY,4410,4851
FMOBG-0140,ULTRASOUND SCAN W/O PHOTO,55,61
FMOBG-0141,OXYTOCIN CHALLENGE TEST(LESS   THAN 4 HRS.) INC. CTG MON.500,330,363
FMOBG-0142,OXYTOCIN CHALL. TEST MORE 4HRS,555,611
FMOBG-0143,ENDOMETRIAL PREMESTRUAL CURR.  (WITH OR W/THOUT ANAESTHESIA),330,363
FMOBG-0144,SUCTION CURRETAGE,555,611
FMOBG-0145,IUCD INSERTION + IUCD,1105,1216
FMOBG-0146,HYSTEROSCOPIC BIOPSY,1325,1458
FMOBG-0147,HYSTEROSCOPIC OPERATION,2760,3036
FMOBG-0148,LASER MODERATE PROCEDURE,2205,2426
FMOBG-0149,LASER - OB/GYN-MINOR PROCEDURE,1105,1216
FMOBG-0150,LASER - OB/GYN.MAJOR PROCEDURE,3310,3641
FMOBG-0151,BARTHOLIN CYST EXCISION,2205,2426
FMOBG-0152,CERLAGE SUTURE REMOV.W/O ANAES THESIA,220,242
FMOBG-0153,FALLOP.TUBE REANASTOMOSIS UNIL ATERAL,3860,4246
FMOBG-0154,FALLOP.TUBE REANASTOMOSIS BIL.,4410,4851
FMOBG-0155,"FIMBRIOPLASTY, UNILATERAL",2205,2426
FMOBG-0156,"FIMBRIOPLASTY, BILATERAL",3310,3641
FMOBG-0157,MISS.INTRAURINE DEV.FOR REMOV. WITH ANESTHESIA,220,242
FMOBG-0158,HYMENOTOMY,1105,1216
FMOBG-0159,"LAPAROSCOPY, PREOPERATIVE",555,611
FMOBG-0160,MODIFIED MACINDOE,4410,4851
FMOBG-0161,OVARIA CANCER DEBULKING OPERA- TION,5515,6067
FMOBG-0162,"OVARIAN CYSTECTOMY, BILATERAL",3310,3641
FMOBG-0163,OVARIAN TUMORS RECURRENT(DEB.),4410,4851
FMOBG-0164,PROLAPSE CONGENITAL SLING OPER ATION,4410,4851
FMOBG-0165,"PELVIC ADHESIOLYSIS,EXCESSIVE",4410,4851
FMOBG-0166,"PELVIC ADHESIOLYSIS, MODERATE",3310,3641
FMOBG-0167,"PELVIC ADHESIOLYSIS, MILD",2205,2426
FMOBG-0168,RECTOVAGINAL FISTULA (LOW),2760,3036
FMOBG-0169,"TUBAL SURGERY, UNILATERAL",2205,2426
FMOBG-0170,URETHROCLEISIS,1655,1821
FMOBG-0171,VULVECTOMY RADICAL,5515,6067
FMOBG-0172,"VESTIBULE HEMATOMA, SMALL",330,363
FMOBG-0173,VAGINAL ULTRASOUND,220,242
FMOBG-0174,LAPAROSCOPIC MYOMECTOMY,3310,3641
FMOBG-0175,ULTRA SOUMD GUIDED,1000,1100
FMOBG-0176,LAPAROSCOPIC OPER.(INFERTILITY,2760,3036
FMOBG-0177,HYSTEROSCOPIC EXAM(INFERTILITY,1105,1216
FMOBG-0178,HYSTEROSCOPIC OPER(INFERTILITY,2760,3036
FMOBG-0179,ADD'L FEE FOR COM.OR OVER 3HRS,500,550
FMOBG-0180,CERVICAL CAUTERIZATION WITHOUT ANAESTHESIA IN OPD,520,572
FMOBG-0181,HYDROINTUBATION,100,110
FMOBG-0182,ABDOMINAL METROPLASTY,4200,4620
FMOBG-0183,DEBULRING OPERATION FOR OVARIN CA,5250,5775
FMOBG-0184,RECTO-VAGINAL FISTULA REPAIR   (SMALL),4800,5280
FMOBG-0185,EXCISION OF BARTHOLIN CYST(BIG,2100,2310
FMOBG-0187,RADICAL VULVECTOMY,5250,5775
FMOBG-0188,REMOVAL OF CERCLAGE SUTURE (WITH OUT ANESTHISIA),210,231
FMOBG-0190,URETHROUCLEISIS,1575,1733
FMOBG-0191,SLING OPERATION FOR CONGENITAL PROLAPSE,4200,4620
FMOBG-0192,DEBULKING OP. -RECURRENT OVARIAN TUMOR,4200,4620
FMOBG-0193,F.TUBE- RE-ANASTOMOSIS- UNILATERAL,3675,4043
FMOBG-0194,F.TUBE -RE-ANASTOMOSIS BILATERAL,4200,4620
FMOBG-0195,FIMBRIOPLASTY- UNILATERAL,2100,2310
FMOBG-0196,FIMBRIOPLASTY-BILATERAL,3150,3465
FMOBG-0197,ADHESIOLYSIS-EXCESSIVE,4200,4620
FMOBG-0198,ADHESIOLYSIS-MODERATE,3150,3465
FMOBG-0199,ADHESIOLYSIS- MILD,2100,2310
FMOBG-0200,TUBAL SURGERY- UNILATERAL,2100,2310
FMOBG-0201,VAGINOPLASTY,3150,3465
FMOBG-0202,LAVIAL SEPARATION,900,990
FMOBG-0203,LAPAROSCOPIC HYSTERECTOMY,2340,2574
FMOBG-0204,SECONDARY SUTURE OF EPISIOTOMY,1350,1485
FMOBG-0205,EXAMINATION UNDER G.A,1350,1485
FMOBG-0206,SALPINGECTOMY UNILATERAL,2420,2662
FMOBG-0209,REMOVAL OF INTRAUTERINE DEVICE UNDER GA,1000,1100
