Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
6128065,OCCLUSAL ANALYSIS  CASE STUDY,1050,1100,Gross,yes,51.0,Portal Dental,97963-00-00,Clinical occlusal analysis including muscle and joint palpation
6128066,OTHER CORRECTIVE PROCEDURES (PER 1/4 HOUR),126,132,Gross,yes,51.0,Portal Dental,97399-00-00,Unlisted Dental Procedure
6128067,OTHER UNDEFINED PROCEDURE/ 1/4 HOUR,126,132,Gross,yes,51.0,Portal Dental,97399-00-00,Unlisted Dental Procedure
6128068,OVERDENTURE FOR IMPLANT (PER JAW),3780,3960.0000000000005,Gross,yes,51.0,Portal Dental,97719-00-10,Provision of complete maxillary denture
6128069,PARATIAL DENTURE ADJUSTMENT,178.5,187.00000000000003,Gross,yes,51.0,Portal Dental,97721-00-00,Adjustment of denture
6128070,PARTIAL DENTURE 1-3 TEETH,525,550,Gross,yes,51.0,Portal Dental,97721-00-00,"Provision of partial mandibular denture, cast metal framework"
6128071,PARTIAL DENTURE 4-7 TEETH,892.5,935.0000000000001,Gross,yes,51.0,Portal Dental,97728-00-00,"Provision of partial mandibular denture, cast metal framework"
6128072,PARTIAL DENTURE 8-12 TEETH,1260,1320,Gross,yes,51.0,Portal Dental,97728-00-00,"Provision of partial mandibular denture, cast metal framework"
6128073,PONTIC FOR IMPLANTS (PER PONTIC),3780,3960.0000000000005,Gross,yes,51.0,Portal Dental,97632-00-00,"Provisional bridge, per pontic"
6128074,PORCELAIN SET FOR COMPLETE DENTURES (ADDITIONAL),220.5,231.00000000000003,Gross,yes,51.0,Portal Dental,97719-00-00,Provision of complete mandibular and maxillary dentures
6128075,PORCELAIN  NON-PRECIOUS METAL CROWN/PONTIC,1785,1870.0000000000002,Gross,yes,51.0,Portal Dental,97615-10-00,Metallic crown
6128076,PORCELAIN  PRECIOUS METAL (CROWN/PONTIC),2730,2860.0000000000005,Gross,yes,51.0,Portal Dental,97613-01-00,Metallic crown
6128077,PORCELAIN  PRECIOUS TELESCOPIC CROWN W/COPING,3097.5,3245.0000000000005,Gross,yes,51.0,Portal Dental,97613-06-00,Metallic crown
6128078,PRECIOUS METAL CROWN/PONTIC FULL CAST,2467.5,2585,Gross,yes,51.0,Portal Dental,97613-03-00,Metallic crown
6128079,PSEUDO GOLD CROWN OR IN-LAY IN DENTURE,525,550,Gross,yes,51.0,Portal Dental,97734-00-00,"Overlay, per tooth"
6128080,REBASING (UPPER OR LOWER),798,836.0000000000001,Gross,yes,51.0,Portal Dental,97721-00-00,"Provision of partial maxillary denture, resin base"
6128081,RECEMENTATION OF CROWN (PER CROWN),178.5,187.00000000000003,Gross,yes,51.0,Portal Dental,97651-00-00,Recementing crown or veneer
6128082,REFIXING TOOTH IN DENTURE OR HAIRLINE CRACKS,73.5,77,Gross,yes,51.0,Portal Dental,97765-00-00,"Replacement or addition of a new tooth on denture, per tooth"
6128083,RELINING UPPER OR LOWER DENTURE,708.75,742.5000000000001,Gross,yes,51.0,Portal Dental,97743-00-10,"Relining of complete denture, direct"
6128084,REMOVABLE BRIDGES,2100,2200,Gross,yes,51.0,Portal Dental,97655-00-00,Semifixed attachment
6128085,REMOVABLE OCCLUSAL APPLIANCE,3150,3300.0000000000005,Gross,yes,51.0,Portal Dental,97732-00-00,"Provision of occlusal rest to partial denture, per rest"
6128086,REMOVAL OF BROKEN FILES FROM ROOT CANALS,210,220.00000000000003,Gross,yes,51.0,Portal Dental,97451-00-00,"Removal of root filling, per canal"
6128088,REMOVAL OF OLD BRIDGE BY CUTTING,126,132,Gross,yes,51.0,Portal Dental,97656-00-00,Removal of bridge or splint
6128089,REMOVAL OF OSSLUSAL INTERFERENCE (OCCLUSAL EQUILIBRATION) PER QUADRANT,525,550,Gross,yes,51.0,Portal Dental,97961-00-00,Minor occlusal adjustment
6128090,REPAIR ACRYLIC DENTURE - COMPLEX,525,550,Gross,yes,51.0,Portal Dental,97659-00-00,"Repair of crown, bridge or splint, direct"
6128091,REPAIR ACRYLIC DENTURE - SIMPLE,126,132,Gross,yes,51.0,Portal Dental,97659-00-00,"Repair of crown, bridge or splint, direct"
6128092,REPAIR OF BROKEN COMPLETE OR PARTIAL DENTURE - NO TEETH DAMAGED ,262.5,275,Gross,yes,51.0,Portal Dental,97764-00-00,Repair of broken base of complete denture
6128093,REPAIR OF CHIPPED PORCELAIN (INTRA ORALLY),446.25,467.50000000000006,Gross,yes,51.0,Portal Dental,97659-00-00,"Repair of crown, bridge or splint, direct"
6128094,REPAIR OF CHIPPED PORCELAIN (LABORATORY),892.5,935.0000000000001,Gross,yes,51.0,Portal Dental,97659-00-00,"Repair of crown, bridge or splint, direct"
6128095,REPAIR OF PERFORATED ROOT,525,550,Gross,yes,51.0,Portal Dental,97436-00-00,Surgical sealing of tooth root perforation
6128096,RESIN BONDED BRIDGE PER UNIT,1050,1100,Gross,yes,51.0,Portal Dental,97643-00-50,"Prosthesis with removable resin base attached to implants, per arch"
6128097,RETENTIVE WINGS  1ST PAIR - ACID ETCH MARYLAND,1601.25,1677.5000000000002,Gross,yes,51.0,Portal Dental,97665-00-00,"Prosthesis with removable resin base attached to implants, per arch"
6128098,ROOT CANAL TREATMENT FOR ANTERIOR TEETH,1575,1650.0000000000002,Gross,yes,51.0,Portal Dental,97420-01-00,"Apical seal of root canal, per canal"
6128099,ROOT CANAL TREATMENT FOR POSTERIOR TEETH,2100,2200,Gross,yes,51.0,Portal Dental,97420-03-00,"Apical seal of root canal, per canal"
6128100,SPLINTS/GUARDS,393.75,412.50000000000006,Gross,yes,51.0,Portal Dental,97151-00-00,"Provision of mouthguard, indirect"
6128101,STAINLESS STEEL CROWN,273,286,Gross,yes,51.0,Portal Dental,97618-01-00,Metallic crown
6128102,TELESCOPIC CROWNS,1050,1100,Gross,yes,51.0,Portal Dental,97613-06-00,"Full crown, nonmetallic, indirect"
6128103,THREE UNIT ONLAYS RETAINED BRIDGE,8400,8800,Gross,yes,51.0,Portal Dental,97551-04-00,"Retainer for bonded fixture, indirect, per tooth"
6128104,TISSUE CONDITIONING MATERIAL,178.5,187.00000000000003,Gross,yes,51.0,Portal Dental,97771-00-00,"Tissue conditioning preparatory to impressions, per application"
6128105,TOOTH ADDITIONAL (EACH),262.5,275,Gross,yes,51.0,Portal Dental,97766-01-00,Unlisted Dental Procedure
6128106,TREATMENT OF INFECTED ROOT CANANL OF ANTERIOR TEETH,1575,1650.0000000000002,Gross,yes,51.0,Portal Dental,97420-01-00,"Irrigation and dressing of root canal system, per tooth"
6128107,UPPER CHROME COBALT PARTIAL DENTURE (1-3 TEETH / UNILATERAL),1785,1870.0000000000002,Gross,yes,51.0,Portal Dental,97727-00-00,"Provision of partial maxillary denture, cast metal framework"
6128108,UPPER CHROME COBALT PARTIAL DENTURE (3 OR MORE TEETH BILATERAL),3570,3740.0000000000005,Gross,yes,51.0,Portal Dental,97727-00-00,"Provision of partial maxillary denture, cast metal framework"
6128109,UV LIGHT BLEACHING,2100,2200,Gross,yes,51.0,Portal Dental,97117-00-00,"Bleaching, internal, per tooth"
6128110,WHOLE PORCELAIN CROWN (AS ONE UNIT OF BRIDGE),2625,2750,Gross,yes,51.0,Portal Dental,97613-01-00,"Full crown, nonmetallic, indirect"
6128111,ZIRCON INLAYS ,2625,2750,Gross,yes,51.0,Portal Dental,97613-02-00,"Tooth-coloured restoration, 1 surface, indirect"
6128112,ZIRCON ONLAYS,3150,3300.0000000000005,Gross,yes,51.0,Portal Dental,97613-02-00,"Tooth-coloured restoration, 1 surface, indirect"
6129001,CO2 LASER ABLATION OF HARD / SOFT PALATE SWELLING,9450,9900,Gross,yes,51.0,Portal Dental,52034-00-00,Local excision or destruction of lesion of bony palate
6129002,CO2 LASER ABLATION OF LARGE ORAL ULCERS (MORE THAN1.5 CM DIA),3255,3410.0000000000005,Gross,yes,51.0,Portal Dental,52034-00-00,Endoscopic laser therapy of upper aerodigestive tract
6129003,CO2 LASER ABLATION OF LEUKOPLEBIA (MORE THAN 2 CM,6825,7150.000000000001,Gross,yes,51.0,Portal Dental,52034-00-00,Cryotherapy of lesion of oral mucosa
6129004,CO2 LASER ABLATION OF LEUKOPLEBIA (SMALL LESS THAN,4095,4290,Gross,yes,51.0,Portal Dental,52034-00-00,Cryotherapy of lesion of oral mucosa
6129005,CO2 LASER ABLATION OF LIP / CHEEK SWELLING,8190,8580,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to >= 2 aesthetic areas of face
6129006,CO2 LASER ABLATION OF ORAL ULCERS (MULTIPLE-MORE THAN 3 ULCERS),2730,2860.0000000000005,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129007,CO2 LASER ABLATION OF ORAL ULCERS LESS THAN 0.5 CM(UPTO 3 ULCERS),1365,1430.0000000000002,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129008,CO2 LASER ABLATION OF TONGUE SWELLING (SMALL),8190,8580,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129009,CO2 LASER COAGULATION OF ANGIOMOTOUS LESION,13650,14300.000000000002,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129010,CO2 LASER EXCISION OF HEAD & NECK MALIGNANCY,8190,8580,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to neck
6129011,CO2 LASER EXCISION OF HYPER PLASTIC GINGIVAL SWELL,4200,4400,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129012,CO2 LASER FRAENECTOMIES (LABIAL OR LINGUAL),4095,4290,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129013,CO2 LASER GLOSSECTOMY (IN ASOSCIATION WITH ND: YAG,16380,17160,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129014,CO2 LASER HAEMOSTASIS IN POST-EXTRACTION HAEMOPHIL,1365,1430.0000000000002,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129015,CO2 LASER PALLIATIVE TREATMENT FOR TERMINAL CANCER,4095,4290,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
6129016,CO2 LASER REPOSITIONING OF MENISCUS IN TMS SURGERE,8190,8580,Gross,yes,51.0,Portal Dental,52034-00-00,CO2 laser resurfacing to other site
8124001,CT SCAN ,840,880.0000000000001,Net,no,61.0,0,99999-99-92,Unlisted Imaging Code
8124002,CT SCAN ADDITIONAL ORGAN,840,880.0000000000001,Net,no,61.0,0,99999-99-92,Unlisted Imaging Code
8124003,CT SCAN WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,99999-99-92,Unlisted Imaging Code
8124004,CT SCAN GUIDED BIOPSY,2100,2200,Gross,yes,61.0,0,99999-99-92,Unlisted Imaging Code
8124005,CT SCAN PELVIMETRY,840,880.0000000000001,Net,no,61.0,0,57201-00-00,Pelvimetry by computerised tomography
8124006,CT SCAN FOR MEASURING THE LIMBS,840,880.0000000000001,Net,no,61.0,0,56619-00-01,"Computerised tomography of limb, unilateral"
8124007,CT SCAN KUB,840,880.0000000000001,Net,no,61.0,0,56501-00-00,Computerised tomography of abdomen and pelvis
8124009,CT BRAIN PERFUSION STUDIES WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56007-00-00,Computerised tomography of brain with intravenous contrast medium
8124010,CT VIRTUAL COLONOGRAPHY & POLYP DETECTION WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56549-01-00,Computerised tomography of colon
8124011,CT VIRTUAL BRONCHOSCOPY WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56307-00-00,Computerised tomography of chest with intravenous contrast medium
8124012,CT AORTA & MESENTERIC ARTERIES ANGIOGRAPHY WITH CONTRAST,1995,2090,Gross,yes,61.0,0,56301-00-00,Computerised tomography of chest
8124014,CT VENOGRAPHY WITH CONTRAST,1995,2090,Gross,yes,61.0,0,59718-00-00,Phlebography
8124016,CT GUIDED PROCEDURES WITH CONTRAST,1995,2090,Gross,yes,61.0,0,99999-99-92,Unlisted Imaging Code
8124017,CT HEAD/BRAIN ,840,880.0000000000001,Net,no,61.0,0,56001-00-00,Computerised tomography of brain
8124018,CT HEAD/BRAIN WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56007-00-00,Computerised tomography of brain with intravenous contrast medium
8124019,CT NECK WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56107-00-00,Computerised tomography of soft tissue of neck with intravenous contrast medium
8124020,CT NECK ,840,880.0000000000001,Net,no,61.0,0,56101-00-00,Computerised tomography of soft tissue of neck
8124025,CT CHEST WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56307-00-00,Computerised tomography of chest with intravenous contrast medium
8124026,CT CHEST ,840,880.0000000000001,Net,no,61.0,0,56301-00-00,Computerised tomography of chest
8124027,CT ABDOMEN WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56407-00-00,Computerised tomography of abdomen with intravenous contrast medium
8124028,CT ABDOMEN ,840,880.0000000000001,Net,no,61.0,0,56401-00-00,Computerised tomography of abdomen
8124029,CT PLEVIS WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56412-00-00,Computerised tomography of pelvis with intravenous contrast medium
8124030,CT PELVIS ,840,880.0000000000001,Net,no,61.0,0,56409-00-00,Computerised tomography of pelvis
8124031,CT SHOULDER OR HUMERUS OR ELBOW WITH CONTRAST ,840,880.0000000000001,Net,no,61.0,0,56625-00-01,"Computerised tomography of limb with intravenous contrast medium, unilateral"
8124032,CT SHOULDER OR HUMERUS OR ELBOW  ,840,880.0000000000001,Net,no,61.0,0,56619-00-01,"Computerised tomography of limb, unilateral"
8124033,CT FOREARM OR WRIST OR HAND WITH CONTRAST ,840,880.0000000000001,Net,no,61.0,0,56625-00-01,"Computerised tomography of limb with intravenous contrast medium, unilateral"
8124034,CT FOREARM OR WRIST OR HAND ,840,880.0000000000001,Net,no,61.0,0,56619-00-01,"Computerised tomography of limb, unilateral"
8124035,CT HIP OR FEMUR OR KNEE WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56625-00-01,"Computerised tomography of limb with intravenous contrast medium, unilateral"
8124036,CT HIP OR FEMUR OR KNEE ,840,880.0000000000001,Net,no,61.0,0,56619-00-01,"Computerised tomography of limb, unilateral"
8124037,CT LEG OR ANKLE OR FOOT WITH CONRAST,840,880.0000000000001,Net,no,61.0,0,56625-00-01,"Computerised tomography of limb with intravenous contrast medium, unilateral"
8124038,CT LEG OR ANKLE OR FOOT,840,880.0000000000001,Net,no,61.0,0,56619-00-01,"Computerised tomography of limb, unilateral"
8124039,CT FACIAL BONE WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56028-00-00,Computerised tomography of facial bone with intravenous contrast medium
8124040,CT FACIAL BONE ,840,880.0000000000001,Net,no,61.0,0,56022-00-00,Computerised tomography of facial bone
8124041,CT C. SPINE ,840,880.0000000000001,Net,no,61.0,0,56220-00-00,"Computerised tomography of spine, cervical region"
8124042,CT DORSAL SPINE,840,880.0000000000001,Net,no,61.0,0,56221-00-00,"Computerised tomography of spine, thoracic region"
8124043,CT LUMBER SPINE,840,880.0000000000001,Net,no,61.0,0,56223-00-00,"Computerised tomography of spine, lumbosacral region"
8124046,CT PITUITARY GLAND WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56010-01-00,Computerised tomography of pituitary fossa with intravenous contrast medium
8124047,CT ORBIT WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56013-01-00,Computerised tomography of orbit with intravenous contrast medium
8124048,CT ORBIT  ,840,880.0000000000001,Net,no,61.0,0,56013-00-00,Computerised tomography of orbit
8124049,CT PNS WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56028-01-00,Computerised tomography of paranasal sinus with intravenous contrast medium
8124050,CT PNS ,840,880.0000000000001,Net,no,61.0,0,56022-01-00,Computerised tomography of paranasal sinus
8124064,CT TEMPORAL BONE,840,880.0000000000001,Net,no,61.0,0,56016-00-00,"Computerised tomography of middle ear and temporal bone, unilateral"
8124065,CT TEMPORAL BONE WITH CONTRAST,840,880.0000000000001,Net,no,61.0,0,56016-01-00,"Computerised tomography of middle ear and temporal bone with intravenous contrast medium, unilateral"
FMONC-0203,PET CT STIMULATION,4200,4400,Net,no,61.0,0,90904-00-00,"Thermography, not elsewhere classified"
2112001,ACCOMODATION / SUITE PER DAY (BED ONLY),1260,1320,Gross,yes,62.0,Portal Hospital Services,83610-01-50,Daily room NOT inclusive cost of care charges day 2 and further
2112002,ACCOMODATION / PRIVATE PER DAY (BED ONLY),420,440.00000000000006,Gross,yes,62.0,Portal Hospital Services,83610-01-50,Daily room NOT inclusive cost of care charges day 2 and further
2112003,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),294,308,Gross,yes,62.0,Portal Hospital Services,83610-00-80,Daily Room and Board Fees for a shared accommodation in a room fit for 2 patients only with shared bathroom.
2112004,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),294,308,Gross,yes,62.0,Portal Hospital Services,83610-00-70,Daily Room and Board Fees for a shared accommodation in a room fit for 2 patients and more with shared bathroom.
2112005,ACCOMODATION / INFANT INCUBATOR (BED ONLY),294,308,Gross,yes,62.0,Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately
2112006,ACCOMODATION / NURSERY (BED ONLY),210,220.00000000000003,Gross,yes,62.0,Portal Hospital Services,83610-02-70,Room and Board charges of a neonatal ( 0-22 days age) born in the hospital requiring of special medical attention  in  special care settings.   Charged Per Day
2112007,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),1680,1760.0000000000002,Gross,yes,62.0,Portal Hospital Services,83610-03-80,Room and Board for Patient in an intensive Care unit and  consumables and  drugs are charged separately
2112008,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),2940,3080.0000000000005,Gross,yes,62.0,Portal Hospital Services,83610-03-90,Room and Board for VIP ( with an additional service room)  ICU Patient in an intensive Care unit and consumables and  drugs are charged separately
2112009,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),1680,1760.0000000000002,Gross,yes,62.0,Portal Hospital Services,83610-04-10,Room and Board in coronary care unit needing Intensive Care
2112010,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),1680,1760.0000000000002,Gross,yes,62.0,Portal Hospital Services,83610-03-20,Room and Board charges of a paediatric patient ( 1-14 Years age) requiring of special medical attention in special care settings. Drugs and Consumables to be billed separately
2112011,ACCOMODATION / NICU - PER DAY  (BED ONLY),1680,1760.0000000000002,Gross,yes,62.0,Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately
2112012,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),840,880.0000000000001,Gross,yes,62.0,Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately
2112013,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),1680,1760.0000000000002,Gross,yes,62.0,Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately
2112014,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),420,440.00000000000006,Gross,yes,62.0,Portal Hospital Services,83610-00-90,Private room or shared room with a select companion fully equipped  to prevent the spread of an infectious agent from an infected or colonized patient to susceptible persons. Inclusive of all of protective barriers and mechanical measurements taken for maintaining isolation . Charged  per day.
2112015,HEAD OXYGEN BOX (NEO-NATAL CARE),136.5,143,Gross,yes,62.0,Portal Hospital Services,92044-00-00,Other oxygen enrichment
2112016,ROOM DIFFERENCE (SEMI PVT - PVT),126,132,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112017,ROOM DIFFERENCE (SEMI PVT - SUITE),966,1012.0000000000001,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112018,ROOM DIFFERENCE (PVT - SUITE),840,880.0000000000001,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112019,NURSING CARE / WARD PER DAY ,157.5,165,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112020,NURSING CARE / ICU PER DAY ,262.5,275,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112021,SPECIAL NURSE 24 HOURS,840,880.0000000000001,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112022,NURSE AIDE 24 HRS,525,550,Gross,yes,62.0,Portal Hospital Services,83610-00-70,Daily Room and Board Fees for a shared accommodation in a room fit for 2 patients and more with shared bathroom.
2112023,COMPANION CHARGES WITH ADULT PER DAY ,210,220.00000000000003,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112024,COMPANION CHARGES WITH CHILD PER DAY ,157.5,165,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112025,DISPOSABLES WARD,164.85,172.70000000000002,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112026,DISPOSABLES I.C.U.,315,330,Gross,yes,62.0,Portal Hospital Services,99999-99-99,Unlisted Procedure
2112027,DISPOSABLES  NICU,315,330,Gross,yes,62.0,Portal Hospital Services,99999-99-99,Unlisted Procedure
2112028,ISOLATION DISPOSABLES PER DAY ,420,440.00000000000006,Gross,yes,62.0,Portal Hospital Services,99999-99-99,Unlisted Procedure
2112029,EXTRA LUNCH/DINNER TRAY,42,44,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
2112030,TELEPHONE CHARGES ,0,0,Gross,yes,62.0,Portal Hospital Services,99999-99-99,Unlisted Procedure
3112001,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS),210,220.00000000000003,Gross,yes,62.0,Portal Hospital Services,83610-04-20,Hourly rate for the bed / room in Emergency Department. Excluding Drugs and Including consumables Up to 200 SR
3112002,OBSERVATION ROOM ER 3- 6 HOUR,157.5,165,Gross,yes,62.0,Portal Hospital Services,83610-00-00,"Provisioning of Observation in a hospital set up(usually in emergency departments) where the patient is not admitted nor assigned a bed, but all necessary care/observation initiated for medical care."
3112003,OBSERVATION ROOM ER MORE THAN 6 HOUR,210,220.00000000000003,Gross,yes,62.0,Portal Hospital Services,83610-00-00,"Provisioning of Observation in a hospital set up(usually in emergency departments) where the patient is not admitted nor assigned a bed, but all necessary care/observation initiated for medical care."
3112004,I.M. / S.C. INJECTION,15.75,16.5,Gross,yes,62.0,Portal Hospital Services,96197-19-00,"Intramuscular administration of pharmacological agent, other and unspecified pharmacological agent"
3112005,I.V. INJECTION,26.25,27.500000000000004,Gross,yes,62.0,Portal Hospital Services,96199-19-00,"Intravenous administration of pharmacological agent, other and unspecified pharmacological agent"
3112006,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,42,44,Gross,yes,62.0,Portal Hospital Services,96199-19-00,"Intravenous administration of pharmacological agent, other and unspecified pharmacological agent"
3112007,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,63,66,Gross,yes,62.0,Portal Hospital Services,96199-19-00,"Intravenous administration of pharmacological agent, other and unspecified pharmacological agent"
3112008,I.V. FLUID INFUSION / REHYDRATION 1000CC ,89.25,93.50000000000001,Gross,yes,62.0,Portal Hospital Services,96199-19-00,"Intravenous administration of pharmacological agent, other and unspecified pharmacological agent"
3112009,PRE-EMPLOYMENT CHECK UP,367.5,385.00000000000006,Gross,yes,62.0,Portal Hospital Services,73000-00-20,"General Health Panel [CMP & (automated cbc, automated  differential wbc or  automated cbc & appropriate manual differential wbc) ,TSH]"
3112010,MEDICAL CHECK-UP PROGRAM 1 DAY ,1050,1100,Gross,yes,62.0,Portal Hospital Services,83600-02-10,A comprehensive Health Check-up
3112011,MEDICAL CHECK-UP PROGRAM 2 DAYS ,2887.5,3025.0000000000005,Gross,yes,62.0,Portal Hospital Services,83600-02-10,A comprehensive Health Check-up
3112012,MEDICAL CHECK-UP PROGRAM - CHILDREN,787.5,825.0000000000001,Gross,yes,62.0,Portal Hospital Services,83600-02-10,A comprehensive Health Check-up
3112013,AMBULANCE FEE LESS THAN 50 KMS,420,440.00000000000006,Gross,yes,62.0,Portal Hospital Services,83500-00-20,Emergency Ambulance Assisstance for a Non - Acute  patient in need for Basic  Support Services
3112014,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS,787.5,825.0000000000001,Gross,yes,62.0,Portal Hospital Services,83500-00-20,Emergency Ambulance Assisstance for a Non - Acute  patient in need for Basic  Support Services
3112015,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS,1575,1650.0000000000002,Gross,yes,62.0,Portal Hospital Services,83500-00-20,Emergency Ambulance Assisstance for a Non - Acute  patient in need for Basic  Support Services
3112016,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,6300,6600.000000000001,Gross,yes,62.0,Portal Hospital Services,83500-00-20,Emergency Ambulance Assisstance for a Non - Acute  patient in need for Basic  Support Services
3112017,AMBULANCE WITH NURSE TO DAMMAM AIRPORT,1050,1100,Gross,yes,62.0,Portal Hospital Services,83500-00-20,Emergency Ambulance Assisstance for a Non - Acute  patient in need for Basic  Support Services
3112018,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM),315,330,Gross,yes,62.0,Portal Hospital Services,83500-00-30,"Emergency Ambulance Service for the removal of a patient from a """"Situation Of Need"""" to a Medical Facility, providing Active Life Support measures along the way"
3112019,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM),420,440.00000000000006,Gross,yes,62.0,Portal Hospital Services,83500-00-30,"Emergency Ambulance Service for the removal of a patient from a """"Situation Of Need"""" to a Medical Facility, providing Active Life Support measures along the way"
3112020,NURSE ESCORT (DAMMAM),210,220.00000000000003,Gross,yes,62.0,Portal Hospital Services,83610-04-50,Room and Board for Medically Necessary Escort.
3112021,NURSE ESCORT TO PHILIPPINES / INDIA,3675,3850.0000000000005,Gross,yes,62.0,Portal Hospital Services,83610-04-50,Room and Board for Medically Necessary Escort.
3112022,ORTHOFIX,1260,1320,Gross,yes,62.0,Portal Hospital Services,96092-00-00,"Application, fitting, adjustment or replacement of other assistive or adaptive device, aid or equipment"
3112023,ORTHOFIX RENTAL (PER DAY),36.75,38.5,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
3112024,MORTUARY RENT PER DAY,315,330,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
3112025,MEDICAL REPORT,105,110.00000000000001,Gross,yes,62.0,Portal Hospital Services,99999-99-99,Unlisted Procedure
3112026,CODE BLUE,840,880.0000000000001,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
3112027,BLOOD WARMER,105,110.00000000000001,Gross,yes,62.0,Portal Hospital Services,83700-00-00,Unlisted services yet to be defined.
3112028,MEDICAL ESCORT (MIDDLE EAST),10500,11000,Gross,yes,62.0,Portal Hospital Services,83610-04-50,Room and Board for Medically Necessary Escort.
3112029,MEDICAL ESCORT (EUROPE & INDIA),12600,13200.000000000002,Gross,yes,62.0,Portal Hospital Services,83610-04-50,Room and Board for Medically Necessary Escort.
