CCHI No.  1014,مستشفي السعودي الألماني - جدة,Effective: 01-Jun-2021
FMPTD-2101,MEDICAL BATH W/GALVANIC,service
FMPTD-2102,MEDICAL BATH W/GALVANIC,service
FMCTSS0024,MEDIUM DRESSING,service
FMOBG-0023,TERMINATION OF PREGNANCY_,service
FMERDA0066,MEDIUM DRESSING,service
MTOBG-0025,EVACUATION OF MILK,service
MTOBG-0026,IV INSERTION,service
MTOBG-0027,IV INJECTION,service
MTOBG-0028,IM INJECTION,service
MTOBG-0029,PERINEURRAPHY,service
FMOBG-0203,ENDOMETRAL BIOPSY WITH OUT ANAESTHESIA,service
FMOBG-0204,AMNIOCENTESIS,service
FMOBG-0205,AMNIO-INFUSION,service
FMOBG-0206,VESICO-AMNIOTIC SHUNT,service
FMOBG-0207,CHORIONIC-VELLOUS SAMPLING,service
FMOBG-0208,CORDOCENTESIS,service
FMOBG-0209,TRANS. OBTURATOR TAPE FOR TREATMENT OF STRESS,service
FMOBG-0210,CALPOSACROPEXY,service
FMDER-0187,MELANOCYTE CULTURE LARGE,service
FMDER-0214,MELANOCYTE CULTURE LARGE,service
EXOBG-0012,LABIAL CYST EXCISION G.A.,service
FMOBG-0001,REFFERAL FROM OTHER DOCTOR-OP,service
FMOBG-174,LAPAROSCOPIC MYOMECTOMY,service
FMOBG-0211,ANTI NATALE CARE PACKAGE DEAL (FOR COMPANY CASH),service
FMOBG-0132,INFERTILITY PROG. PCKG.       FEM.PROF. A&B/HYSTER/6MOS TRMT,service
FMOBG-0063,OVUM PROCESSING,service
FMOBG-0064,EMBRYO TRANSFER,service
FMOBG-0008,COLPOSCOPY W/BIOPSY VAGINAL TREATMENT,service
MTOBG-0002,INSERTION OF I.U.D1,service
MTOBG-0003,REMOVAL OF I.U.D1,service
MTOBG-0004,CERCLOGE SUTURE OF CERVIX,service
MTOBG-0005,REMOVAL OF CERCLOGE SUTURE,service
MTOBG-0006,HYMENECTOMY,service
MTOBG-0007,CERVICAL BIOPSY,service
MTOBG-0008,CERVICAL POLYPECTOMY,service
MTOBG-0009,DILITATION & CURRATAGE (D&C) FOR ABORTION,service
MTOBG-0010,DILATATION & CURRATAGE (D&C) DUB,service
MTOBG-0011,EVACUATION & CURRATAGE (E&C),service
MTOBG-0012,VAGINAL POLPECTOMY,service
MTOBG-0013,BARTHOLIN CYST MARSUPIALIZATION,service
MTOBG-0014,VAGINAL CYST  EXCISION,service
MTOBG-0015,LABIAL CYST EXCISION,service
MTOBG-0016,EPISIOTOMY WOUND REVISION,service
MTOBG-0017,ELECTRO-CAUTERY OF CERVIX,service
MTOBG-0018,LABIAL CYST INCISION,service
MTOBG-0019,HYSTEROSCOPY PROCEDURE,service
MTOBG-0020,DIAGNOSTIC LAPAROSCOPY,service
MTOBG-0021,OPERATIVE LAPAROSCOPY,service
MTOBG-0022,HYSTOROSCOPY OPERATIVE,service
MTOBG-0023,DIAGNOSTIC HYSTOROSCOPY + LAPAROSCOPY,service
MTOBG-0024,OPERATIVE HYSTOROSCOPY + LAP.,service
MTOBG-0030,LAPAROSCOPIC OVARIAN DRILLING,service
FMOBG-0003,CRYO CAUTERY,service
FMOBG-0048,REMOVAL OF INCERCLAGE  SUTURE,service
FMOBG-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATION,service
MTDER-0019,MELANOCYTE CULTURE LARGE,service
FMDER-0180,MELANOCYTE CULTURE SMALL,service
FMOBG-0046,TUBAL LIGATION,service
FMOBG-0053,EXCISN OR MARSUPIALIZATION OF BARTHOLIN CYST,service
FMOBG-0050,HYMENECTOMY.,service
FMOBG-0081,OOPHORECTOMY - BILATERAL,service
FMOBG-0222,IMPLANON INSERTION,service
OBG-0001,Shirodkar Suture,PKG
OBG-0002,Laparoscopy (Not Infertility Investigations-exploration,PKG
OBG-0003,D & C / ERPC + Histopath,PKG
OBG-0004,Polypectomy Curettage + Histopath,PKG
FMDER-0185,MELANOCYTE CULTURE SMALL,service
OBG-0006,Douglas Pouch Abcess Drainage,PKG
OBG-0007,Excision of Bartholin Cyst,PKG
OBG-0008,Polypectomy Fract. Curretage,PKG
OBG-0009,Posterior Coploperrineorraphy,PKG
OBG-0010,Amputation of Cervix,PKG
OBG-0011,Anterior Coploperrineorrahphy,PKG
OBG-0012,Ovarian Cystectomy,PKG
OBG-0013,Vaginal / Perianal Repair,PKG
OBG-0014,Cervical Circulage,PKG
OBG-0015,Cervical Cautery,PKG
OBG-0016,CS with Abdominal Hysterectomy Neonatal+1000 Baby care,PKG
OBG-0017,Normal Delivery + Baby Care- 1 Day (+ SR 500 Baby care),PKG
OBG-0018,Removal of IUD ( Intra Uterine),PKG
OBG-0019,Normal Delivery + Baby Care- 2 Days (+ SR 500 Baby care),PKG
OBG-0020,Manchester Repair,PKG
OBG-0021,Removal of IUD ( Extra Uterine) Laparoscopic,PKG
OBG-0022,Ventro Suspension,PKG
OBG-0023,Salpingectomy / Salpingostomy,PKG
OBG-0024,Strasimmams,PKG
OBG-0025,Ceasarian Section- CS,PKG
OBG-0026,Excision  of Tubal (Ectopic Pregnancy ) Lap,PKG
OBG-0027,Hysterectomy ( Vaginal or Abdominal),PKG
OBG-0028,Myomectomy Abdominal,PKG
OBG-0029,Tuboplasty,PKG
OBG-0030,Radical Vulvectomy,PKG
OBG-0031,Abdominal Panhysterectomy,PKG
OBG-0032,Recurrent Myomectomy,PKG
OBG-0033,Recurrent Ovarian Tumour,PKG
OBG-0034,Caesarian Section Twins & Normal Baby Care,PKG
OBG-0035,Repair of Vesico - Vaginal Fistula,PKG
OBG-0036,Repair of Recto- Vaginal Fistula,PKG
OBG-0037,Hysteroscopy,PKG
OBG-0038,Oophorectomy (Laparoscopic),PKG
OBG-0039,Normal Delivery + Baby Care SR 1000 with Episiotomy,PKG
OBG-0040,Hysteroscopy Diagnotic,PKG
OBG-0041,Weekly Package for Admission in Last Trimester of Pregnancy,PKG
OBG-0042,Vaginal TUFD Delivery + Baby Care SR 1000,PKG
OBG-0043,C.S. TUFD Delivery,PKG
OBG-0044,Ceasarean Section with Abdominal Hysterectomy+ Baby Care 1000,PKG
OBG-0045,Radical Hysterectomy,PKG
OBG-0046,Abdominal Sling for Prolapse,PKG
OBG-0047,Aspiration of Ovarian Cyst,PKG
OBG-0048,Ceasarian Section-Recurrent + Normal Baby Care,PKG
OBG-0049,Classical Repair,PKG
OBG-0050,Fothergill Operation,PKG
OBG-0051,Lap. Hysterectomy/Myomectomy,PKG
OBG-0052,Lap. Ovarian Cystectomy,PKG
OBG-0053,Mcdonal Suture,PKG
FMDER-0212,MELANOCYTE CULTURE SMALL,service
OBG-0055,Simple Vulvectomy,PKG
SMOPTH0009,LASER,service
FMONC-0002,CHEMOTHERAPHY 1 DAY TREATMENT  IN CLINIC OR  WARD,service
FMONC-0005,Oncology Doctor Supervision Charges,service
FMONC-0008,CHEMO. INTRA CAVIT.ISTILLATION IN ER OR IN WARD,service
FMONC-0009,THYROTOXICOSIS (EACH DOSE),service
FMONC-0010,CANCER THYROID (ABLATIVE DOSE),service
FMONC-0012,POLYCYTHEMIA(THERAP.DOSE),service
FMONC-0015,STRONIUM BETA IRRADIATION      AFTER OPERATION (EACH SESSION),service
FMONC-0016,PROFILE STRONIUM BETA IRRADIA- TION COMPLETE PKG (3 SESSION),service
FMONC-0017,PROFILE STRONIUM BETA IRRADIA- TION COMPLETE PACKAGE,service
FMONC-0018,RADIATION (FULL COST),service
FMONC-0019,RADIATION (HALF COST),service
FMONC-0021,RADIOTHERAPY ONE SESSION,service
FMONC-0022,TAPPING OF ASCITIS,service
FMONC-0023,TAPPING OF PLEURAL EFFUSION,service
FMONC-0024,INTRATHECAL CHEMOTHERAPY,service
FMONC-0030,RADICAL TREATMENT START PAYMEN T,service
FMONC-0031,RADICAL TREATMENT REST PAYMENT,service
FMONC-0032,RADICAL - PLANNING,service
FMONC-0033,TREATMENT-CT-SIMULATION,service
FMONC-0035,TREATMET - CALCULATION,service
FMONC-0037,PALLIATIVE TREATMENT - START   PAYMENT,service
FMONC-0038,PALLIATIVE TREATMENT-REST PAYM ENT,service
FMONC-0044,TWO WEEKS 10 FRACTIONS,service
FMONC-0050,ONE WEEK 5 FRACTIONS,service
FMONC-0056,ONE FRACTION,service
FMONC-0062,ONE FRACTION HALF BODY,service
FMONC-0068,HALF BODY 6-8-FRACTION,service
FMONC-0073,HALF BODY 6-8-FOLLOW UP,service
FMONC-0074,C.T.PLANNING,service
FMONC-0075,X-RAY CHECK FILM,service
FMONC-0076,GONE MARROW UNDER G.A.,service
FMDER-0247,MICRODERMABRASION FACE,service
FMPSDA0031,MICRODERMABRASION FACE,service
FMDER-0248,MICRODERMABRASION FACE (PACKAGE OF 5 SESSION),service
FMONC-0026,INTRACAVITARY INADIATION 1 SES,service
FMONC-0027,INTRA ARTERIAL CHEMOTHERAPY,service
FMONC-0028,METASTRON C RADIOACTIVE STRON- TIUM,service
FMONC-0051,RADIO SURGERY OLFACTORY GROVE,service
FMNONC-000,RADIO SURGERY OFLACTORY GROOVE MENINGIOMA,service
FMNONC-001,RADIO SURGERY OFACTORY GROOVE,service
FMNONC-002,STERIOTACTIC LOCALIZATION OF BRAIN TUMOUR,service
FMNONC-003,STERIOTACTIC LOCALIZATION OF BRAIN TUMOUR (SUPERFICIAL),service
FMPSDA0032,MICRODERMABRASION FACE (PACKAGE OF 5 SESSION),service
FMDER-0249,MICRODERMABRASION HANDS OR NECK,service
FMONC-0014,STRONIUM BETA IRRADIATION,service
FMPSDA0033,MICRODERMABRASION HANDS OR NECK,service
FMONC-0029,FINE NEEDLE ASPIRATION BREAST OR THYROID,service
MTONC-0001,INTRATHECAL CHEMOTHERAPHY,service
MTONC-0003,BONE MARROW UNDER G.A.,service
FMONCS-000,RADIO SURGERY  OLFACTORY GROOVE,service
FMONC-1007,PORT-A-CATH,service
FMONC-1008,IM  INJECTION,service
FMONC-1009,S.C. INJECT,service
FMOHS-0001,OPEN HEART SURGER FEE PER HOUR,service
FMOHU-0001,E.C.G. PORTABLE,service
FMOHU-0002,PORTABLE VENTALATOR,service
FMOHU-0004,EPIDURAL CATHETER INSERTION,service
FMOHU-0006,PACE MAKER,service
FMOHU-0007,DEFEBRILATOR SHOCK,service
FMOPTC0012,MINOR LID LACERATION,service
FMOHU-0010,OHU DAILY ROOM RATE,service
FMORDZ0007,VIDEO - RECORDING,service
FMORDZ0008,VIDEO TAPE RCDG. - LONG PROCE.,service
FMORDZ0010,SEQUENTIAL COMPRESION DEVICE,service
FMOPTA0002,TONOMETRY,service
FMOPTA0003,SLIT LAMP,service
FMOPTA0004,FUNDUS,service
FMOPTA0005,PRESCRIPTION FOR GLASSES,service
FMOPTA0006,GIONIOSCOPY,service
FMOPTA0007,PERIMETRY,service
FMOPTA0008,FUORESCINE ANGIOGRAPHY,service
FMOPTA0009,ULTRASONOGRAPHY,service
FMOPTA0010,FUNDUS PHOTOGRAPHY,service
FMOPTA0011,DRESSING,service
FMOPTA0012,SUTURE REMOVAL (EYE),service
FMOPTA0013,LOCAL ANAESTHESIA,service
FMOPTA0015,RETROBULBER INJ. OF ALCOHOL,service
FMOPTA0016,OPTHALMIC PACHYMETRY,service
FMOPTA0018,CORNEAL TOPOGRAPHY,service
FMOPTA0019,HESS SCREEN EXAMINATION,service
FMOPTA0020,SYNPTOPHORE EXAMINATION,service
FMOPTA0021,MULTIVISION CONTRAST TESTING,service
FMOPTB0001,DAILY CONTAC LENS (TWO),service
FMOPTB0002,EXTENDED CONTACT LENSES (PAIR),service
FMOPTB0003,TINTED CONTACT LENS (TWO),service
FMOPTB0004,DAILY TORIC CONTACT LENS (TWO),service
FMOPTB0005,DAILY CONTACT LENS (ONE),service
FMOPTB0006,EXTENDED WEAR CONTACT LENS(ONE,service
FMOPTB0007,DAILY TORIC CONTACT LENS (ONE),service
FMOPTB0008,THERAPEUTIC CONTACT LENS (ONE),service
FMOPTB0009,TINTED CONTACT LENSES (ONE),service
FMOPTB0010,LOST OF C.L. (DAILY) 24H,service
FMOPTB0011,LOST OF C.L. (EXTENDED) 24H,service
FMOPTB0012,TRAINING FOR CONTACT LENS,service
FMOPTB0013,ACUVUE DISPOSABLE LENSES BOX,service
FMOPTB0014,ACUVUE REGISTRATION CARD,service
FMOPTB0015,EXTENDED WEAR C.L. (ONE),service
FMOPTB0016,COSMETIC CONTACT LENS(TWO),service
FMOPTB0017,COSMETIC CONTACT LENS(ONE),service
FMOPTB0018,HARD CONTACT LENS (TWO),service
FMOPTB0019,HARD CONTACT LENS (ONE),service
FMOPTB0020,MONTHLY DISPOSABLE CONTACT     LENS (BOX),service
FMOPTB0021,DISPOSIBLE COLOT C.L.(2),service
FMOPTB0022,COLORED C.L. (ONE),service
FMOPTB0023,COLORED COMP.C.L. (ONE),service
FMOPTC0001,EXCISN OF SMALL CHALAZION,service
MTOPT-0021,MINOR LID LACERATION,service
FMICU-0012,MULTI PARAMETER,service
FMOPTC0003,EXCISN OF MULTIPLE CHALAZIA,service
FMOPTC0004,INCISN OF STYE OF EYELID,service
FMOPTC0017,EYE LASHES ELECTROLYSIS,service
FMOPTC0018,ELECTROLYSIS (BOTH EYELIDS),service
FMOPTC0019,EPILAITON OF THE EYELASHES,service
FMOPTD0001,REMVL OF SUPERFICIAL CONJ.F.B.,service
FMOPTD0002,REMVL OF MULTIPLE CONJ. F.B.,service
FMOHU-0008,MULTI PARAMETER,service
FMOPTE0010,TREATMENT WITH BETA RAYS,service
FMOPTH0012,LASER IRIDOTOMY,service
MTOPT-0000,INCISION OF SYTE.,service
FMOPTE0023,PHAKIC  IOL IMPLANTATION FOR CORRECTION OF MYOPIA,service
FMOPTE0024,PHAKIA  IOL 6H FOR MYOPIA,service
FMOPTE0025,OPTIC NERVE SHEATH FENESTRATION,service
FMOPTH0016,PASRPLANA VICTRECTOMY,service
MTOPT-0006,EYE LASHES ELECTROLYSIS (ONE EYELID,service
FMOPTI0010,LACRIMAL INTUBATION,service
FMOPTI0016,TESTING,service
MTOPT-0022,REMOVAL OF SUPERFICIAL CONJ. F.B.,service
FMNUM-0041,MUSCLE BIOPSY PACKAGE BIOPSY & HIST,service
MTOPT-0029,FONTUS EXAMINATION (G.A),service
MTOPT-0031,DRESSING FOR ONE EYE,service
FMOPTC0005,EXCISION OF MINI LISION OF EYELID,service
MTOPT-0001,INCISION OF SYTE,service
MTOPT-0002,EXCISION OF CHALAZION (SMALL),service
MTOPT-0003,EXCISION OF CHALAZION (MEDIUM),service
MTOPT-0004,EXCISION OF CHALAZION (BIG),service
MTOPT-0005,PICKING OF P.T.Ds. (ONE EYE),service
MTOPT-0007,EYE LASHES ELECTROLYSIS (BOTH EYE),service
MTOPT-0008,SUTURE REMOVAL,service
MTOPT-0009,CORRECTION OF ENTROPION,service
MTOPT-0010,TASORRHOPY,service
MTOPT-0011,PTOSIS OPERATION,service
MTOPT-0012,REMOVAL OF CORNEAL FOREIGN BODY,service
FMNUM-0042,MUSCLE BIOPSY PACKAGE BIOPSY & HIST,service
MTOPT-0014,PTERYGIUM OPERATION,service
MTOPT-0015,PTERYGIUM REMOVAL+B RADIATION,service
MTOPT-0016,REPAIR OF CONJUCTIVAL LACERATION,service
MTOPT-0017,BIOPSY OF CONJUNCTIVA,service
MTOPT-0019,CYCLOCRYOTHERAPY,service
MTOPT-0018,REMOVAL OF CONJUNCTIVA CYST,service
MTOPT-0020,PROBING OF NASOLACRIMAL DUCT,service
FMDER-0186,MYLANOCYTE CULTURE MEDIUM,service
MTOPT-0023,REMOVAL OF MULTIPLE CONJUNTIVA,service
MTOPT-0024,REMOVAL OF EMBEDED FOREIGN BODY,service
MTOPT-0025,REMOVAL OF RECURRENT PETERYGIUM,service
MTOPT-0026,EXCISION OF PETERYGIUM WITH GRAFT,service
MTOPT-0027,MUCOUS MEMGRAFTING/TRICHIASIS,service
MTOPT-0028,DACROSYSTECTOMY,service
MTOPT-0030,XANTHALASMA FOR 1 LID,service
MTOPT-0032,SUTURE OF CUT WOUND 1 STETCH,service
MTOPT-0033,EYE LID ELECTORLYSIS BOTH EYES,service
MTOPT-0034,EYE LID ELECTROLYSIS ONE EYE,service
MTOPT-0035,ONE EYE LID MOLLS CYST ONE EYE,service
MTOPT-0036,EXCISION OF MIN LISSION OF EYELID,service
MTOPT-0037,LID ABSCESS,service
FMOPTD0007,SUBCONJUNCTIVAL INJECTION,service
FMOPTH0010,LASER FOR RETINOPATHY 3 OR> SETTING,service
FMOPTF0009,SECONDARY IMPLANT,service
FMOPTH0008,LASER FOR RETINOPATHY 1 SETTING,service
FMOPTH0009,LASER FOR RETINOPATHY 2 SETTING,service
FMOPTH0013,LASER CAPSULECTOMY,service
FMOPTE0003,NEGLECTED CORNEAL F.B,service
FMOPTA0014,RETRUBULBER ANAESTHESIA,service
FMOPTE0001,SUPERFICIAL CORNEAL F.B.,service
FMOPTC0002,EXCISN OF LARGE CHALAZION,service
FMOPTK0009,ARTIFICIAL EYE REFORM OR SHELL,service
FMOPTE0020,PHOTOTHERAPEUTIC KERATOPLASTY FOR CORNEAL OPILITY/,service
FMOPTE0026,SILICON OIL REMOVAL,service
FMOPTE0027,SILICON OIL REMOVAL.,service
FMOPTC0013,MAJOR LID LACERATION,service
FMOPTC0006,EXCISN OF MAJ.LESION OF EYELID,service
MTOPT-0038,OPTICAL COHERENT TOMOGRAPHY (OCT)  TESTING EACH EY,service
FMOPTG0008,MOLTENO IMPLANT IN GLAUCOMA   OPERATION,service
FMOPTH0017,MICROPULSE LASER FOR RETINA,service
FMOPTH0018,MICROPULSE TRANSSCLERAL CILIARY TREATMENT,service
FMOPTH0019,MICROPULSE TRANSSCLERAL RETINAL TREATMENT (ONE SETTING),service
FMOPTH0020,MICROPULSE LASER TRABECULOPLASTY (ONE SETTING),service
FMOPTH0021,MICROPULSE PANRETINAL TREATMENT (SIX SETTINGS 1 MONTH),service
FMOPTH0022,CROSSLINKING FOR ONE EYE,service
FMOPTH0023,FEMTOLASIK BOTH EYE,service
FMOPTH0024,FEMTOLASIK ONE YE,service
FMOPTH0025,PRK BOTH EYES,service
FMOPTH0026,PRK ONE EYE,service
FMOPTH0027,PTK ONE EYE,service
FMOPTH0028,PTK BOTH EYE,service
FMOPTH0029,FEMTO-CORNEAL-RING ONE EYE,service
FMOPTH0030,LASIK ONE EYE,service
FMOPTH0031,LASIK BOTH EYE,service
FMOPTH0032,LIMBAL RELAXING INCISION ONE EYE,service
FMOPTH0033,CORNEAL INLAY ONE EYE,service
OPT-0001,Chalazion Removal,PKG
OPT-0002,Ptergium Removal L.A.,PKG
OPT-0003,Ptergium + Recurrent Ptergium L.A.,PKG
FMDER-0213,MYLANOCYTE CULTURE MEDIUM,service
OPT-0005,Corneal Graft Suture Removal,PKG
OPT-0006,Tarsorraphy,PKG
OPT-0007,Dacryo Cystectomy,PKG
OPT-0008,Lacrimal Gland Biopsy,PKG
OPT-0009,Pterygium,PKG
OPT-0010,Enucleation,PKG
OPT-0011,Pterygium G.A.,PKG
OPT-0012,Enucleation G.A.,PKG
OPT-0013,Recurrent Pterygium,PKG
OPT-0014,Enucleation with  Implant G.A.,PKG
OPT-0015,Irridectomy,PKG
OPT-0016,Laser Photocoagulation / Eye,PKG
OPT-0017,Recurrent Pterygium / Grafting,PKG
OPT-0018,Cyclodialysis,PKG
OPT-0019,Irridectomy Laser,PKG
OPT-0020,Capsulotomy Laser,PKG
OPT-0021,Biopsy of Orbital Tumours,PKG
OPT-0022,Exploration of the Orbital Tumour,PKG
OPT-0023,Mucous Mem. Grafting/ Trichiasis,PKG
OPT-0024,Corneal Dermoid Excision,PKG
OPT-0025,Repair of Corneal Excision,PKG
OPT-0026,Ptopsis Repair,PKG
OPT-0027,Cataract Extraction with IOL,PKG
OPT-0028,Cataract Extraction w/o IOL,PKG
OPT-0029,Explo/Excision Orbital Tumour + Histopathology,PKG
OPT-0030,Dacro Cystorhinostomy,PKG
OPT-0032,Anterior Vitrectomy,PKG
OPT-0033,Intraocular FB Removal,PKG
OPT-0034,Glaucoma Operation Trabe,PKG
OPT-0035,Squint Correction,PKG
OPT-0036,Recurrent Ptosis,PKG
OPT-0037,Lamellar Keratoplasty,PKG
OPT-0038,Posterior Vitracetomy,PKG
OPT-0039,Corneal Graft (P. Keratoplasty),PKG
OPT-0040,Corneal Graft w/ Cataract Extraction,PKG
OPT-0041,Capsulotomy,PKG
OPT-0042,Explo/Excision Orbital Tumour,PKG
OPT-0031,Lacrimal Canaliculum Reconst,PKG
OPT-0044,Secondary Insertion of I.O.L.,PKG
OPT-0043,Lacrimal Canaliculum Probing,PKG
FMORCR-0001,MINOR C ARM - 30 MIN - UNDER OR,service
FMORCR-0002,MINOR C ARM - 90 MIN - UNDER OR,service
FMORCR-0003,MINOR C ARM - 180 MIN - UNDER OR,service
FMODT-0034,SPACE MAINTINER SIMPLE,service
MTENT-0128,NASAL POLYPECTOMY,service
ENT-0007,Nasal Polypectomy,PKG
FMERDA0073,NEBULIZER A/C VENTOLIN,service
FMINT-0075,NEBULIZER A/C VENTOLIN,service
FMDNTP0054,OBTURATOR,service
FMDNL-0022,OBTURATOR,service
FMPTD-2081,ONE SESSION WEIGHT REDUCTION,service
FMPTD-2082,ONE SESSION WEIGHT REDUCTION,service
FMDNTO0045,ORTHODONTIC DEPOSIT,service
FMDNTO0046,ORTHODONTIC DEPOSIT,service
FMDNTO0047,ORTHODONTIC DEPOSIT,service
FMDNTO0048,ORTHODONTIC DEPOSIT,service
FMDNTO0049,ORTHODONTIC DEPOSIT,service
FMDNTO0050,ORTHODONTIC DEPOSIT,service
FMDNTO0051,ORTHODONTIC DEPOSIT,service
FMODT-0045,ORTHODONTIC DEPOSIT,service
FMODT-0046,ORTHODONTIC DEPOSIT,service
FMODT-0030,RETAINER UPER OR LOWER,service
FMODT-0047,ORTHODONTIC DEPOSIT,service
FMODT-0048,ORTHODONTIC DEPOSIT,service
FMODT-0049,ORTHODONTIC DEPOSIT,service
FMODT-0050,ORTHODONTIC DEPOSIT,service
FMODT-0002,GRADE I MALOCCLUSION 1ST DEPO-SIT.,service
FMODT-0051,ORTHODONTIC DEPOSIT,service
FMDNTO0040,ORTHODONTIC DIAGNOSTIC RECORDS,service
FMODT-0005,GRADE II MALOCCLUSSION TOTAL  REMOVABLE STAGE I,service
FMODT-0040,ORTHODONTIC DIAGNOSTIC RECORDS,service
FMDNTO0041,ORTHODONTIC STUDY MODELS,service
FMODT-0041,ORTHODONTIC STUDY MODELS,service
FMODT-0009,GRADE III MALOCCLUSSION TOTAL,service
FMORT-0552,ORTHOSIS I,service
FMORW-0001,ORTHOSIS I,service
FMORT-0553,ORTHOSIS II,service
FMODT-0013,GRADE IV MALOCCLUSSION TOTAL,service
FMORW-0002,ORTHOSIS II,service
FMORT-0554,ORTHOSIS III,service
FMORW-0003,ORTHOSIS III,service
FMODT-0017,GRADE V MALOCCLUSION TOTAL,service
FMORT-0555,ORTHOSIS IV,service
FMORW-0004,ORTHOSIS IV,service
FMORT-0556,ORTHOSIS V,service
FMODT-0021,GRADE VI MALOCCLUSSION TOTAL,service
FMORW-0005,ORTHOSIS V,service
FMEGD-0001,OT EVALUATION,service
FMPTD-2139,OT EVALUATION,service
FMODT-0025,GRADE VII MALOCCL. TOTAL,service
FMINT-0072,OXYGEN INHALATION,service
MTNUR-0012,OXYGEN INHALATION,service
FMEGD-0012,PACKAGE DEAL,service
FMODT-0029,CLICKING TMJ[FJO],service
FMORT-0416,DEEP CUT WOUND - SMALL        (3-5 STITCHES),service
ORT-0040,Achilles Tendon Length,PKG
FMORT-0225,ADDITIONAL CHARGES OF ANY TWO OPERATIONS,service
FMEGD-0013,PACKAGE DEAL,service
FMEGD-0014,PACKAGE DEAL,service
ORT-0005,Arthodeasis of the Big Toe,PKG
ORT-0052,Arthrodesis (Knee/HIP/TB),PKG
FMPTD-2152,PACKAGE DEAL (12) SESSIONS FOR MANU,service
FMPTD-2154,PACKAGE DEAL (12) SESSIONS FOR MANU,service
FMORT-0717,ARTHROSCOPIC CARBON PINS INPLANTATION,service
ORT-0093,Arthroscopy Minisectomy,PKG
ORT-0094,"Arthroscopy Washout, Trimming, Removal of Loose Body",PKG
MTORT-0002,ARTROSCOPY OF KNEE DIAGNOSTIC,service
FMORT-0427,ARUMALON COURSE,service
FMORT-0358,BOBATH COURSE PER SESSION,service
ORT-0091,Bone Grafting,PKG
ORT-0066,Bone Grafting Big Area,PKG
FMPTD-2151,PACKAGE DEAL (6) SESSIONS FOR MANUA,service
FMORT-0816,CALCANRAL OSTEOTOMY,service
ORT-0063,Capsulotomy of Finger Joints,PKG
ORT-0038,Carpal Tunnel Syndrome Operation,PKG
FMORT-0594,CERVICAL RHIZOTOMY LEVEL I,service
FMORT-0595,CERVICAL RHIZOTOMY LEVEL II,service
FMORT-0568,CERVICAL TRACTION,service
ORT-0015,Change POP Under Anesthesia,PKG
FMORT-0189,CHEILECTOMY OF ANKLE,service
FMORT-0184,CHEILECTOMY OF ELBOW,service
FMORT-0190,CHEILECTOMY OF FOOT & TOE,service
FMORT-0186,CHEILECTOMY OF HAND & FINGER,service
FMORT-0187,CHEILECTOMY OF HIP,service
FMORT-0188,CHEILECTOMY OF KNEE,service
FMORT-0183,CHEILECTOMY OF SHOULDER,service
FMORT-0182,CHEILECTOMY OF UNSPEC. SITE,service
FMORT-0185,CHEILECTOMY OF WRIST,service
FMORT-0648,CHIRO PRACTICE,service
FMORT-0399,CLAVICLE STRIP,service
ORT-0065,Close Reduction of Dislocated Phalenges,PKG
ORT-0050,"Close Reduction of Simple (Tibia, Fibula, Radius, Ulna)",PKG
ORT-0048,Close Reduction-Disclocate Phalanges GA,PKG
ORT-0036,Close Reduction-Fracture Dislocation,PKG
ORT-0032,Close Reduction-Fracture Radius/Ulna,PKG
ORT-0030,Close Reduction-Fracture Tibia,PKG
ORT-0046,Close Reduction-Simple Fracture G.A.,PKG
ORT-0041,Closed / Open Reduction & Internal Fixation w/ Plate,PKG
FMORT-0545,CLOSURE OF CAST,service
ORT-0077,CLR w/ Ligament Patella Band + P.T./I.P.,PKG
FMORT-0560,COLCHICINE 3 DOSES,service
FMORT-0355,COLCHICINE COURSE (6 WEEKS),service
FMORT-0722,COLCHICINE INJECTION ( 3 DOSES ),service
FMPTD-2153,PACKAGE DEAL (6) SESSIONS FOR MANUA,service
ORT-0056,Congenital Dislocation ,PKG
ORT-0096,Congenital Dislocation of Hip (CHD),PKG
ORT-0080,Core Tax Band for Crucial Ligament Reconstruction-PT/IP,PKG
FMORT-0661,COTREL BUILT EXERCISES,service
FMORT-0349,CPR 1 FOR DAY,service
FMORT-0350,CPR 2 FOR THE DAY,service
FMORT-0351,CPR 3 FOR THE DAY,service
ORT-0100,Cruciate Ligament Reconstruction without Prothesis,PKG
FMORT-0709,CRYOTHERAPY,service
FMXRY-0266,PANORAMA + CEPHALOMETRIC 1,service
ORT-0073,Decomposition of Spine w/ Arthrodesis,PKG
ORT-0101,Diagnostic Arthroscopy,PKG
ORT-0078,Digital Nerve Suture,PKG
FMXRY-0330,PANORAMA + CEPHALOMETRIC 1,service
FMORT-0570,DORSOLUMBAR SPICA,service
FMORT-0376,ELASTIC BANDAGE BELOW KNEE W/  MEDICINE,service
FMORT-0377,ELASTIC BANDAGE BELOW KNEE W/O MEDICINE,service
FMORT-0375,ELASTIC BANDAGE FOREARM W/OUT  MEDICINE,service
FMORT-0374,ELASTIC BANDAGE FOREARM WITH   MEDICINE,service
ORT-0260,Endoscopic Discectomy,PKG
ORT-0058,"Excision  of Malignant Tumors, Bone Graft",PKG
ORT-0010,Excision  of Olecranon Bursa,PKG
ORT-0055,Excision Cyst/Bone & Graft,PKG
ORT-0059,Excision Cyst/Bone Swelling & Graft,PKG
