Code,Discription,Price,Class VIP A,SBS Mappping
FMORT-0548,SHOULDER ARM SPINE,1661,1828,99999-99-99
FMORT-0560,COLCHICINE 3 DOSES,1661,1828,96199-19-00
FMORT-0571,FUSION AT FINGER,1661,1828,46300-01-01
FMORT-0597,ARTROSCOPIC ANKLE DIAGNOSTIC,1661,1828,49700-00-01
FMORT-0643,USAGE OF LASER,1661,1828,99999-99-99
FMPSDA0011,EXCISION OF CYST OF UPPER & LOWER LIP WITH REPAIR,1661,1828,31230-03-00
FMURO-0157,MEATOL ADVANCEMENT GLANULAR PLASTY (MAGPI),1656,1822,37818-00-00
FMURO-0160,DORSAL VEIN LIGATION,1656,1822,34106-19-00
FMADM-0003,BREAK OF INSTRUMENT,1650,1815,99999-99-99
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCAR DIOGRAPHY,1650,1815,11712-00-00
FMCARS0012,RIGHT HEART CATHETERIZATION,1650,1815,38200-00-00
FMCARS0013,LEFT HEART CATHETERIZATION,1650,1815,38203-00-00
FMCAT-0007,RIGHT HEART CATHETERIZATION,1650,1815,38200-00-00
FMCAT-0008,LEFT HEART CAHTETERIZATION,1650,1815,38203-00-00
FMDER-4008,BOTOX INJECTION (PALMS),1650,1815,18360-01-01
FMDNTP0026,FULL DENTURE ACRYLIC TYPE I,1650,1815,97712-00-00
FMENTP3015,PRE & POST EVALUATION OF OSAS,1650,1815,96037-00-00
FMENTR0001,RADIO FREQENCY APPLIACATION TO INFERIOR TURBINATES (UNILATERA,1650,1815,41674-00-00
FMENTS0035,EXCISION OF BRONCHIAL FISTULA (MAJOR),1650,1815,30289-00-00
FMLAB-2117,CYSTIC FIBROSIS MIDDLE EAST PANEL,1650,1815,73200-05-60
FMLAB-2122,ATOPY PANEL 20,1650,1815,73050-39-70
FMLAB-2123,FOOD PANEL 20,1650,1815,73050-14-20
FMLAB-2124,INHALATION PANEL 20,1650,1815,73050-14-20
FMLAB-2157,MTHFR,1650,1815,73350-02-30
FMLAB-9852,SULFONYLUREA,1650,1815,73300-03-70
FMNUM-0029,INTRA OPERATIVE,1650,1815,32186-00-00
FMOBG-0010,NORMAL DELIVERY,1650,1815,90467-00-00
FMOBG-0220,FUNDO PERIHEAL EXAMINATION UNDER ANAETHESIA,1650,1815,30527-02-00
FMODT-0046,ORTHODONTIC DEPOSIT,1650,1815,963
FMONC-0005,CHEMOTHERAPY ONE MO.TREATMENT  (INJ 3DAYS/WK+FLLOW UP)CLINIC,1650,1815,96199-00-00
FMOPT-1011,REFORMATION OF THE INTERIOR CHAMBER IN THE LEFT EYE,1650,1815,90076-02-01
FMOPT-1012,INTRAVITREAL INJECTION OF ANTI-VEGF (AVASTIN),1650,1815,42740-03-01
FMORT-0455,EXCISION OF OLEACRANON BURSE,1650,1815,30111-00-01
FMORT-9903,REDUCTION OF JOINT DISCL.W/G.A,1650,1815,99999-99-99
FMORT-9977,REMOVAL OF K WIRE UNDER G.A.,1650,1815,47927-00-01
FMPSD-0041,REMOVAL OF EXTRA OR RUDIMENTARY DIGIT,1650,1815,46464-00-01
FMPSD-1082,DEVISTED SEPTUM,1650,1815,41671-02-00
FMPSDJ0003,ROTATION FLAP (MINOR),1650,1815,45200-00-00
FMPSDJ0038,FAT INJECTION IN THE FACE,1650,1815,90660-00-00
FMPSDK0009,SPLIT THICKNESS SKIN GRAFT,1650,1815,45439-00-00
FMSUR-1039,LAPROSCOPIC ORCHIDOPEXY(1ST STAGE),1650,1815,37604-10-00
FMSUR-1055,EXCISION OF EPIDIDYYMAL MASS OR SPERMATOCELE,1650,1815,30644-08-01
FMSUR-1065,FISCIOTOMY,1650,1815,30226-00-01
FMSUR-4024,CHANGING A PERMICATH UNDER LOCAL ANESTHESIA,1650,1815,13815-01-00
FMSUR-9029,REPAIR OF IMPERAFARATE ANUS (PERINEAL ANOPLASTY,1650,1815,43963-00-00
FMSUR-9085,ABSCESS INCISION & DRAINAGE UNDER LOCAL ANAESTHESIA,1650,1815,30223-01-00
FMURO-2001,CYSTOLYSIS,1650,1815,99999-99-99
FMURO-2004,CYSTOSCOPIC INJECTION OF BULKING MATERIAL,1650,1815,36851-00-00
FMURO-2011,URETHROCYSTOSCOPY & FULGARATION OF URETHRAL LESSION,1650,1815,37318-01-00
FMURO-2012,OPEN BLADDER BIOPSY,1650,1815,30075-10-00
FMURO-2020,URINARY BLADDER EXPLORATION,1650,1815,36812-00-00
FMXRY-0327,C.T. GUIDED BIOPSY,1650,1815,90908-00-11
FMXRY-0629,M.R.I. PELVIS W/ CONTRAST,1650,1815,90901-06-20
FMODT-0055,ACTIVATOR (MONOBLOCK),1639,1803,823
FMDNTP0087,SPLINTING MOBILETEETH ONE ARCH,1628,1791,981
FMDNTP0132,MYRLAND BRIDGE,1628,1791,649
FMURO-0171,LAPAROSCOPIC VARICOCELECTOMY,1628,1791,30390-00-00
FMDNTS0313,SIMPLE EXT. REMAINING ROOT X 6,1617,1779,311
FMSUR-2098,LASER-HAEMORRHOIDECTOMY,1617,1779,32138-01-00
FMDER-0239,LASER HAIR REMOVAL OF THIGHS.,1606,1767,99999-99-99
FMDNTS0189,T. IMPLANT POST (L),1606,1767,83700-00-00
FMORW-0020,ABOVE KNEE ORTHOSIS 3-10 YRS.,1606,1767,96092-00-31
FMPSD-1017,MICROSURGICAL EXPLORATION (MINOR),1606,1767,34106-09-00
FMPSD-1046,LASER HAIR REMOVAL OF THIGHS,1606,1767,90665-00-30
FMPSD-1084,CIRCUMAREOLAR SKIN REDUCTION,1606,1767,45545-02-01
FMPSDK0013,EXCISION OF HALMANGIOMA(MODERATE),1606,1767,45033-00-00
FMPSYB0001,BEHAVIORAL THERAPY X 8 SESSION,1606,1767,96101-00-00
FMPSYB0024,PSYCHOTHERAPY X 4,1606,1767,96180-00-00
FMLAB-8077,LYMPHOCYTE SUBSETS,1595,1755,73100-16-50
FMLAB-9039,CHROMOSOME ANALYSIS,1595,1755,73200-05-00
FMSUR-9061,EXCISION OF HYDROCELE,1595,1755,30631-00-01
FMXRY-0345,C.T. ANGIOGRAPHY FOR NECK VESSELS,1590,1749,57350-00-00
FMDNTS0272,DENTOALVEOLAR LARGE SEGMENT,1584,1743,331
FMOBG-0054,EXCISN OF ENLARGED LABIA,1579,1737,90442-00-00
FMORT-0429,ARTHROSCOPY OF KNEE-DIAGNOSTIC,1579,1737,49557-00-01
FMORT-0538,DIAGNOSTIC ATHROSCOPIC EXAMIN- ATION - SHOULDER,1579,1737,48945-00-01
FMPDS-0043,EXCISION OF GANGLION,1579,1737,30107-00-01
FMLAB-8075,LEUKEMIA PANNEL,1573,1731,73000-00-20
FMXRY-0213,P.T.C.,1573,1731,30440-00-00
FMDNTR0016,RCT 3 RC X 2,1562,1719,417
FMDNTR0021,RCT DECIDOUS TUTH X 3,1562,1719,421
FMLAB-1196,T.B GOLD TEST QUANTIFERON,1562,1719,73100-17-90
FMDNTP0090,GTR NON RESEARCHABLE,1551,1707,236
FMDNTP0113,INPLANT 2ED INS. ADD. ABUTMENT EACH INCLD. INPLANT,1551,1707,691
FMOPTH0008,LASER FOR RETINOPATHY 1 SETTNG,1540,1694,42809-00-01
FMPSD-1076,CLEPT LIP REPAIR,1540,1694,45677-00-00
FMSUR-2074,EXCISION OF ANAL FISSURE,1540,1694,90315-01-00
FMSUR-2076,HAEMORRHOIDECTOMY,1540,1694,32138-00-00
FMXRY-0308,C.T. CHEST MEDIASTINUM W&W/O CONT.,1540,1694,56307-00-00
FMXRY-0402,THYROID UPTAKE/PERFUSION,1540,1694,61473-00-00
FMENTE4006,MYRINGOTOMY & GROMMET-BILAT.,1535,1689,41632-01-00
FMENTK0006,DRAINAGE OF LUDWIG'S ANGINA,1535,1689,96215-00-00
FMENTN2020,TURBINECTOMY-PARTIAL EXCISION- UNILATERAL,1535,1689,41689-00-00
FMENTN2023,OTHER TURBINECTOMIES (MIDDLE-  TURBINECTOMY),1535,1689,41689-02-00
FMENTN2024,PERNASAL REMOVAL OF ALLERGIC   POLYP - UNILATERAL,1535,1689,41668-00-00
FMENTN2031,ANTROCHOANAL POLYPECTOMY WITH- OUT CALDWELL LUC,1535,1689,41716-03-00
FMENTP0004,REVISION ADENOIDECTOMY,1535,1689,41801-00-00
FMENTP3004,HYPOPHARYNGOSCOPY WITH BIOPSY,1535,1689,41764-00-00
FMENTS0006,ANTRAL SINUSCOPY - BILATERAL,1535,1689,41764-01-00
FMENTS0008,EXCISN OF LESION OF MAXILLARY  SINUS BY EXT. AX. ANTROTOMY,1535,1689,41716-06-00
FMSUR-2050,PERMANENT FIXATN OF PERITONEAL CATHETER BETW,1535,1689,13109-00-00
FMSUR-2072,REPAIR OF PARTIAL PROLAPSE OF  ANUS,1535,1689,32120-00-00
FMSUR-5023,REPAIR OF SPIEGEL HERNIA,1535,1689,30403-01-00
FMURO-0006,FIXATION CATHETER - RUPTURED   URETHRA,1535,1689,36824-00-00
FMURO-0083,ENDOPYELOTOMY,1535,1689,36825-00-00
FMURO-0092,STONE BASKETING & MANIPULATION,1535,1689,36857-00-00
FMURO-0094,PERCUTANEOUS NEPHROLITHOLAPAXY GRADE B (AVERAGE STONE),1535,1689,36863-00-00
FMURO-0130,CYSTOSCOPY AND BIOPSY,1535,1689,36812-00-00
FMURO-0135,DYNAMIC CAVERNPSOGRAPHY,1535,1689,37415-00-00
FMXRY-0614,TELEMEDICINE PATIENT MANAGEMEN T CONSULTATION,1535,1689,83600-03-60
FMURO-0161,BLADDER NECK SUSPENTION,1529,1682,37044-01-00
FMERDC0006,AMBULANCE W / NURSE & DOCTOR (MADINAH TO KHYBER),1518,1670,83520-00-00
FMERDC0017,AMBULANCE W / NURSE (MADINAH TO YANBU),1518,1670,83520-00-00
FMINT-0101,HEALTH CHECKUP BASIC (MALE),1518,1670,12203-00-00
FMINT-0104,HEALTH CHECKUP BASIC (FEMALE),1518,1670,99999-99-99
FMRMB-9906,NICU,1518,1670,83610-03-50
FMRMB-9909,PICU,1518,1670,83610-03-20
FMDER-0260,SKIN BIOPSY WITH SUTURING.,1513,1665,30071-00-00
FMOPT-1016,INTRAOCULAR INJECTION OF AVASTIN,1513,1665,42740-03-01
FMURO-2038,REPAIR OF RUPTURED SCROTUM,1513,1665,90397-01-00
FMLAB-9802,FISH BLOOD-TISSUE  C.FOR CH.,1507,1658,73200-05-30
FMPSD-1057,FILLER + INJECTION,1507,1658,99999-99-99
FMURO-0196,SUPRAPUBIC UNDER LOCAL,1507,1658,37011-00-00
FMONC-0032,RADICAL - PLANNING,1502,1653,99999-99-99
FMORDZ0001,USE OF O.R.,1502,1653,83670-00-30
FMSUR-2100,LASER-FISTULECTOMY-LOW,1502,1653,32159-02-00
FMURO-0158,EXPLORATION OF THE EPIDIDYMIS,1502,1653,30644-00-01
FMDNTF0029,COMPOSITE FILLING 2S X 4,1496,1646,532
FMLAB-9687,"PROTEIN S (TOTAL, FREE 7 ACTIV ITY)",1496,1646,73050-30-70
FMORT-0466,EXCISION OF LOWER END ULNA,1496,1646,48406-05-01
FMORT-0471,EXCISION OF CALCIFICATION OF   THESUPRASPINATUS TENDON,1496,1646,48900-01-01
FMADU-0004,WITH TV TRANSMISSION CONFERENCE ROOM PER DAY,1485,1634,99999-99-99
FMCTS-0044,THORACOSTOMY,1485,1634,38418-00-00
FMLAB-9102,ORGANIC ACIDS (U),1485,1634,73050-25-90
FMOBG-0204,SECONDARY SUTURE OF EPISIOTOMY,1485,1634,90481-00-00
FMOBG-0205,EXAMINATION UNDER G.A,1485,1634,99999-99-99
FMOPTA0024,REPLACEMENT OF IOL WITH SCLORAL FIXATION,1485,1634,42707-00-01
FMOPTL0021,REMOVAL OF CORNEAL BIG F.B. UNDER LA,1485,1634,30061-02-01
FMPDS-0004,FOLLOW UP OF INFANTS (0 TO 1 YEAR OLD),1485,1634,13815-00-00
FMPDS-0085,BURN DRESSING 10-20%,1485,1634,30014-00-00
FMPSD-0022,TENDON REPAIR (DELEYED),1485,1634,49724-00-00
FMPSD-1059,FOREARM SLAP,1485,1634,45584-00-00
FMSUR-0052,EXCISIONOF HAEMANGIOMA OF THE SOLE OF THE FOOT,1485,1634,31205-00-10
FMDER-0187,MELANOCYTE CULTURE LARGE,1484,1633,99999-99-99
FMORW-0034,FINGERS PROSTHESIS,1474,1622,96092-00-00
FMPTD-2157,PACKAGE DEAL(WEIGHT RED+SWIM POOL EX+MASS) 12 SESS,1474,1622,96129-00-00
FMLAB-8083,SCREENING FOR COLON CANCER,1469,1616,73350-07-10
FMDNTS0316,RCT DECIDOUS X 3,1463,1610,421
FMENDE0012,END.CHOLANGIOPANCREATOGRAPHY   (ERCP),1458,1604,30484-00-00
FMENDE0021,SCLEROTHERAPY - O.V.,1458,1604,30476-04-00
FMENTN2068,CLOSURE OF ORO-NASAL FISTULA,1458,1604,45714-00-00
FMENTO0015,LASER UVULECTOMY,1458,1604,41810-01-00
FMERDC0004,AMBULANCE W/ NURSE & DOCTOR (HOSPITAL TO AIRPORT),1458,1604,83520-00-00
FMERDC0005,AMBULANCE WITH NURSE (MADINAH TO KHYBER),1458,1604,83520-00-00
FMERDC0015,AMBULANCE W / NURSE (MADINAH TO SALSALA),1458,1604,83520-00-00
FMERDC0016,AMBULANCE W / NURSE & DOCTOR (MADINAH TO SALSALA),1458,1604,83520-00-00
FMOBG-0027,CERVICAL ENCERCLAGE,1458,1604,16571-00-00
FMOBG-0049,D & C & CAUTERY,1458,1604,35640-00-00
FMOBG-0094,MISCARRIAGE CURRETAGE,1458,1604,35640-03-00
FMOBG-0095,ASPIRATION CURRETAGE,1458,1604,99999-99-99
FMOBG-0146,HYSTEROSCOPIC BIOPSY,1458,1604,35630-00-00
FMPDS-0036,LOW ANAL FISTULA,1458,1604,32159-02-00
FMPDT-0059,1.C. & RESPIRATION OF CHILD OLDER THAN 4 YRS,1458,1604,83600-02-70
FMSUR-2045,EXCISION OF TONGUE MASS,1458,1604,90135-00-00
FMDNTS0312,SIMPLE EXT. REMAINING ROOT X 5,1452,1598,311
FMLAB-9250,T.B. BY PCR (EXAM FOR MIC.BACT ERIUM TUBERCULOSIS,1452,1598,73050-56-30
FMLAB-9323,HDV-RNA QUALITATIVE (BY PCR),1452,1598,73100-22-80
FMLAB-9326,BCR-ABL FUSION GENE (BY FISH).,1452,1598,73350-00-20
FMLAB-9396,BORELLIA  DNA (PCR),1452,1598,73100-19-80
FMLAB-9845,I.V.F. ASSESSMENT (MALE),1452,1598,73050-34-50
FMXRY-0470,I-I31 29.5MCI,1452,1598,61426-00-00
FMCTS-0054,REMOVAL OF STERNAL STAINLESS STEEL WIRE,1441,1586,38460-00-00
FMDER-0075,PUVA/NBUVB THERAPY (PKGD 10 SESSIONS),1441,1586,14050-00-00
FMDNTC0029,REMVAL OF SALIVARY CALCUL.POST,1441,1586,90140-00-00
FMDNTO0054,GRADE MILD MALOCCLUSION 2ND DEPOSIT,1441,1586,963
FMDNTO0055,GRADE MILD MALOCCLUSION 3RD DEPOSIT,1441,1586,963
FMDNTO0058,GRADE MODERATE MALOCCLUSION 2ND DEPOSIT,1441,1586,963
FMDNTO0059,GRADE MODERATE MALOCCLUSION 3RD DEPOSIT,1441,1586,963
FMDNTO0062,GRADE SVERE MALOCCLUSION 2ND DEPOSIT,1441,1586,963
FMDNTO0063,GRADE SVERE MALOCCLUSION 3RD DEPOSIT,1441,1586,963
FMDNTP0079,FUNCTIONAL APPLIANCE,1441,1586,823
FMDNTP0119,INSERTION OF IMPLANT >2 FIX TM EACH,1441,1586,684
FMENTS0041,CURATAGE OF ALVEOLAR MARGIN GRANULATION,1441,1586,97431-00-00
FMLAB-9848,VIRAL ANTIBODIES IG TORCH IGM,1441,1586,73100-13-60
FMODT-0092,GRADE MILD MALOCCLUSION 2ND DEPOSIT,1441,1586,963
FMODT-0093,GRADE MILD MALOCCLUSION 3RD DEPOSIT,1441,1586,963
FMODT-0096,GRADE MODERATE MALOCCLUSION 2ND DEPOSIT,1441,1586,963
FMODT-0097,GRADE MODERATE MALOCCLUSION 3RD DEPOSIT,1441,1586,963
FMODT-0100,GRADE SVERE MALOCCLUSION 2ND DEPOSIT,1441,1586,963
FMODT-0101,GRADE SVERE MALOCCLUSION 3RD DEPOSIT,1441,1586,963
FMPDS-0116,EXCISION OF UMBALICAL GRANULOMA (GA),1441,1586,43948-00-00
FMPDS-0133,EXCISION OF ACCESSORY AURICLE,1441,1586,45665-02-01
FMPDS-0136,MUXLE BIOPSY,1441,1586,30075-01-01
FMPSD-0019,PERMANENT ACCESS INTRA-VASCULAR CATHETER,1441,1586,13815-01-00
FMPSD-0020,DEBRIDMENT OF AMPUTATION,1441,1586,30023-00-01
FMPSD-1004,MULTIPLE Z-PLASTY (MINOR),1441,1586,46384-00-01
FMPSDK0049,GYNECOMASTIA LIPOSUCTION,1441,1586,45584-00-00
FMPSDK0053,EXPLORATION & FB REMOVAL OF HAND,1441,1586,30061-00-00
FMDER-0035,DERMABRASION UNIT,1430,1573,45021-01-00
FMERDA0040,ER DELIVERY FEE,1430,1573,99999-99-99
FMLAB-9988,VON WILLEBRAND FACTOR,1430,1573,73050-30-70
FMONC-0068,HALF BODY 6-8-FRACTION,1430,1573,15600-02-00
FMORT-0646,APPLICATION OF EXTERNAL FIXATO R GRADE I,1430,1573,50130-00-01
FMORT-0707,MENERVA CAST,1430,1573,96092-00-00
FMPTD-2205,CUPPING THERPAY 6 SESSION,1430,1573,99999-99-99
FMSUR-9040,UPPER G.I ENDOSCOPY (THERAPENTIC),1430,1573,30473-00-00
FMNEP-0027,URGENT DIALYSIS WITH VASCULAR ACCESS WITH PORTABLE,1419,1561,13100-00-00
FMDER-0103,ACU BLITZ ACUPUNCTURE THERAPY  10 SESSIONS,1408,1549,93173-00-00
FMDER-0128,LASER THERAPY CELLOTHERM SOFT  LASER UNILASER 10 SESSIONS,1408,1549,99999-99-99
FMPSDB0004,CLOSED REDUCTION OF NASAL BONE FRACTURE,1408,1549,47738-00-00
FMPSDC0003,STAGED REPAIR OF AURICLE (EACH STAGE,1408,1549,90111-00-01
FMPSDC0006,PARTIAL EXCISION & REPAIR OF   PINNA,1408,1549,90111-00-01
FMPSDD0009,LIPOSUNCTION OF TROCHANTRIC PAD OF FAT,1408,1549,45584-00-00
FMPSDD0010,LIPOSUCTION OF ONE BUTTOCK,1408,1549,45584-00-00
FMPSDD0011,LIPOSUCTION OF SUBMENTAL PAD   OF FAT,1408,1549,30168-00-00
FMPSDD0012,LIPOSUCTION OF BREAST,1408,1549,45584-00-00
FMPSDF0015,TENDON SUTURE OF HAND(FLEXORS),1408,1549,46432-00-01
FMPSDG0001,EXCISION OF BENIGN MASSES OF   BREAST,1408,1549,31500-00-01
FMPSDH0004,BURN DRESSING > 30 %,1408,1549,30014-00-00
FMPSDI0002,FRACTURE ONE MAXILLA LA FORTE ONE,1408,1549,53400-00-00
FMPSDJ0006,TRANSPOSITION FLAP (MINOR),1408,1549,45200-00-00
FMPTD-0117,HEMIPLEGIA P.T. 2 PROCEDURES 12 TIMES,1408,1549,95550-03-00
FMLAB-7019,"OR PROFILE IV MJR(OVER 40 YRS) CBC,K,NA,",1397,1537,73100-00-90
FMLAB-7032,"SLE PROFILE DNA, ANA,",1397,1537,73100-11-80
FMORT-0759,RESECTION DISTAL END CLAVICLE,1397,1537,48406-08-01
FMRMB-9905,Intencive Care unit ( ICU),1392,1532,83610-03-80
FMRMB-9919,CCU,1392,1532,83700-00-00
FMENDE0004,COLONOSCOPY FULL COLON,1386,1525,32090-00-00
FMNEP-0008,TINKOFF CATHETER PLACEMENT,1386,1525,13109-00-00
FMSUR-2102,LASER-SPHINCTEROTOMY,1386,1525,99999-99-99
FMANA-0003,C.P.R. 1ST FOR THE DAY,1375,1513,92052-00-00
FMCTS-0056,REPAIR OF EPIGASTRIC HERNIA,1375,1513,30617-01-00
FMDER-0229,MULTI-ZONES(12X)BODY TREATMENT SMALL AREA (PACKAGE DEAL),1375,1513,99999-99-99
FMDNTS0017,IMPAC. CANINE/PREMOLAR LABIALY,1375,1513,83700-00-00
FMLAB-9972,EARLY DETECTION OF CANCER  FOR CERVICAL,1375,1513,73100-00-90
FMOPTK0016,FIXATION OF FRACTURED LATERAL ORBITAL MARGIN (BONY FRATURE),1375,1513,45590-00-01
FMORT-0836,ARTHROGRAM (HIP),1375,1513,59751-00-00
FMPSD-1078,F.B EXPLORATION & REMOVAL,1375,1513,99999-99-99
FMPSD-1090,TENOLYSIS,1375,1513,99999-99-99
FMPSDK0072,AMPUTATION FINGER,1375,1513,46465-00-01
FMPTD-0162,PACKAGE DEAL (SHOCK WAVE THERPAY SIX SESSIONS),1375,1513,92178-00-90
FMSUR-4025,REMOVAL OF PERMICATH,1375,1513,34530-04-00
FMURO-0191,FISTULECTOMY (FISTULAE EXCESION),1375,1513,99999-99-99
FMURO-2043,UNDESCENDED TESTIS,1375,1513,37604-10-00
FMURO-2072,NEPHROLITHOTOMY IN CHILDREN,1375,1513,36540-00-01
FMURO-2080,EVACUATION OF UB HEMATOMA ENDOSCOPICALLY UNDER ANESTHESIA,1375,1513,36842-00-00
FMURO-2088,PENILE IMPLANT,1375,1513,37429-00-00
FMURO-2089,RENAL CYST ASPIRATION UNDER GENERAL ANESTHESIA,1375,1513,36624-01-01
FMLAB-9991,STDS1,1364,1501,73100-22-70
FMORT-0561,MINOR SKIN GRAFT,1364,1501,45451-09-00
FMXRY-0336,C.T. PETROUS BONE,1364,1501,56016-00-00
FMXRY-0337,C.T. CEREBRAL ANGIOGRAPHY,1364,1501,57350-00-00
FMXRY-0339,C.T. P.N.S FULL EXAMINATION,1364,1501,56022-01-00
FMXRY-0341,C.T. PAROTID W. CONT,1364,1501,56101-00-00
FMXRY-0342,C.T. PAROTID,1364,1501,56101-00-00
FMXRY-0343,C.T. LARYNX W. CONT,1364,1501,56101-00-00
FMXRY-0344,C.T. NECK W. CONT.,1364,1501,56101-00-00
FMXRY-0347,C.T. LIVER TRIPHASIC,1364,1501,56401-00-00
FMXRY-0348,C.T.VIRTUAL COLONOSCOPY,1364,1501,56549-01-00
FMXRY-0352,C.T. HIP JOINT,1364,1501,56619-00-01
FMXRY-0353,C.T. KNEE JOINT,1364,1501,56619-00-01
FMXRY-0354,C.T. SHOULDER,1364,1501,56619-00-01
FMXRY-0355,C.T. FOOT,1364,1501,56619-00-01
FMXRY-0356,C.T. ANKLE,1364,1501,56619-00-01
FMXRY-0357,C.T. ELBOW,1364,1501,56619-00-01
FMXRY-0361,C.T. DENTAL,1364,1501,56022-00-00
FMDNTP0084,POSTIONER U/L,1353,1489,811
FMLAB-2114,"1gG/ALBUMIN RATIO, CSF",1342,1477,73050-00-80
FMPSD-0016,BROW LIFT (ONE SIDE),1342,1477,45587-01-00
FMACUA0017,ACUPUNCTURE COURSE 10 SESSIONS,1337,1471,93173-00-00
FMDER-0077,CAPILSTIMULATOR PACKAGE DEAL (10 SESSIONS ).,1337,1471,99999-99-99
FMDER-0196,VASCULAR LASER TREATMENT SMALL AREA,1337,1471,99999-99-99
FMDNT-0079,BIOPSY OF BONE (MEDIUM),1337,1471,50200-00-01
FMDNT-2000,ADDITIONAL FEE FOR COMPLICATED OPERATIONS G.A.,1337,1471,949
FMDNTC0019,REMOVAL OF DENTURE FISSURATUM  WITH GRAFT (M.M.),1337,1471,345
FMDNTC0037,SURGICAL EXCISION OF INTRAORAL TUMOUR LARGE,1337,1471,371
FMDNTM0011,SLIDING FLAP OPERATION 1/2 JAW,1337,1471,83700-00-00
FMDNTP0011,PORCELAIN CROWN  (TYPE I),1337,1471,588
FMDNTP0043,VITAL. CHROME COBALT TWO TOOTH,1337,1471,97768-00-00
FMDNTP0055,LATERAL TRAINING FLANGE,1337,1471,811
FMDNTP0061,SPLINT ACYLIC II,1337,1471,97981-00-00
FMDNTP0069,VEENER FACE CERAMIC,1337,1471,83700-00-00
FMDNTR0007,RCT AND FILLING ONE RC,1337,1471,417
FMDNTS0003,ADD'L FEE FOR COMPL. OP. - GA,1337,1471,99999-99-99
FMDNTS0014,IMPACTED 3RD MOLAR (MIDDLE CASE),1337,1471,322
FMDNTS0032,APICECTOMY ANTERIOR,1337,1471,97432-00-00
FMDNTS0037,CLOSURE OF ACCIDENTAL OPENING  OF MAX. SINUS (SMALL),1337,1471,393
FMDNTS0046,MAX.TUBEROSITY REDUCTION(BONY),1337,1471,83700-00-00
FMDNTS0049,LABIAL FRENECTOMY,1337,1471,30281-01-00
FMDNTS0050,LINGUAL FRENECTOMY(TONGUE TIE),1337,1471,30278-00-00
FMDNTS0052,REMOVAL OF DENTURE FISSURATUM  LARGE,1337,1471,341
FMDNTS0053,REMOVAL OF TORES PALATINUS SML,1337,1471,45825-00-00
FMDNTS0055,REMOV. OF MANDIBULAR TOR.SMLL.,1337,1471,45825-01-00
FMDNTS0092,STICHES  FOR DEEP WOUND,1337,1471,97399-00-00
FMDNTS0112,INTER MAX. FIXATION,1337,1471,52096-00-01
FMDNTS0132,SCAR CORRECTION (SMALL),1337,1471,45506-00-00
FMDNTS0184,INSERTION OF IMPLANT,1337,1471,97689-00-00
FMDNTS0185,T. IMPLANT ANT. (L),1337,1471,83700-00-00
FMDNTS0202,I.M.Z. IMPLANT H.A.G 1ST STAGE,1337,1471,83700-00-00
FMDNTS0206,T.P.S. IMPLANT 2,1337,1471,99999-99-99
FMENTE0019,FM SYSTEM FOR HEARING AID,1337,1471,96092-00-41
FMNBD-0002,"NICU II 24 HRS.(INCUBATOR,     P-OXIMETER, C. MON. O2+HOOD)",1337,1471,92044-00-00
FMONC-0009,THYROTOXICOSIS (EACH DOSE),1337,1471,90960-00-00
FMPDT-0060,I.C. & RESPIRATION OF N.B. FOR 24 HRS & INCUBATOR,1337,1471,83610-03-00
FMLAB-2103,H.G.H. (GLUCOSE LOAD TEST),1331,1465,73000-02-70
FMORT-0015,BONE BANK GRAFT,1331,1465,48239-00-00
FMORT-0069,CLOSED REDUCT OF FRACT W/O INT FIX AT FEMUR,1331,1465,47516-01-01
FMORT-0105,CLOSED REDUCT OF SEPARATED -   EPIPHYSIS AT FEMUR,1331,1465,47525-00-01
FMORT-0122,CLOSED REDUCT OF DISLOCATN AT  KNEE,1331,1465,47054-00-01
FMORT-0142,BIOPSY-JOINT STRUCTURE OF UNSPEC. SITE,1331,1465,50100-01-01
FMORT-0143,BIOPSY-JOINT STRUCTURE OF ELBOW,1331,1465,49118-01-01
FMORT-0144,BIOPSY-JOINT STRUCTURE OF WRIST,1331,1465,49218-01-01
FMORT-0148,BIOPSY-JOINT STRUCTURE OF ANKLE,1331,1465,49700-01-01
FMORT-0169,COMPLETE OR PARTL.RESECTION OF SYNOVIAL MEMB.-HAND & FINGER,1331,1465,46336-00-01
FMORT-0173,COMPLETE OR PARTL. RESECTION   OF ANKLE,1331,1465,90574-01-01
FMORT-0521,REMVL OF ACCESSORY BONE -FOOT,1331,1465,48400-01-01
FMORT-0527,SKELETAL TRACT.FR.FRAC.ADL/CLD,1331,1465,90542-00-11
FMACUA0010,STELLATE GANGLION BLOCK,1320,1452,18298-00-00
FMACUA0011,SIMPLE PER.NERVE INJECTION,1320,1452,18292-00-01
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAP HY (TEE),1320,1452,55118-00-00
FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1320,1452,55118-00-00
FMCTS-0059,EXPLORATION OF STERNAL SINUS AFTER OPEN HEART SURGERY,1320,1452,38418-00-00
FMENTS0025,MYRINGOTOMY& T-TUBE (BI LATERAL),1320,1452,41632-01-00
FMICU-0016,DOUBLE LUMEN INSERTION,1320,1452,13815-01-00
FMINT-0087,STRESS TRANOESPHAGEAL ECHO,1320,1452,55118-00-00
