S/No,ItemCode,Name,Price/ Unit,price of 1/2/2021,price of 1/2/2022,GMDN 1,GMDN 2,GMDN 3
1449,MS-P-003903,PLATE MINI 7 HOLE OSTEONIC # A2U.10090,3000.0,3300,3630,61573,,
1450,MS-P-003913,"PLATE LATERAL CLAVICLE 103MM LEFT , OSTEONIC  # E1A.35030",5762.75,6340,6974,61573,,
1451,MS-P-003922,"PLATE MATRIX NEURO ROUND 6 HOLE, SYNTHES # 04.503.022",1572.8,1731,1905,46642,,
1452,MS-P-003926,PLATE ANGLED DISTAL RADIUS 5 HOLES RIGHT . OSTEONIC # B1B.24060,5775.0,6353,6989,61689,,
1453,MS-P-003936,"PLATE ORBITAL 12 HOLE, OSTEONIC  # FOR305M12A",1560.0,1716,1888,46642,,
1454,MS-P-003947,PIN KIRSCHNER 1.8X150. IRENE # Z03K18150,52.5,58,64,32854,,
1455,MS-P-003958,PLATE OC 31MM IRENE # A03120031,960.0,1056,1162,61573,,
1456,MS-P-003959,PLATE OC 37MM IRENE # A03120037,960.0,1056,1162,61573,,
1457,MS-P-003960,PLATE LOCKING DISTAL 12 HOLES ANGLED . OSTEONIC # B1B.22080,5775.0,6353,6989,61573,,
1458,MS-P-003981,PLATE 3.5MM LCP CLAVICLE RECONSTRUCTION 12X11X138 R IRENE # A72281213,1212.0,1334,1468,61689,,
1459,MS-P-003982,PLATE 3.5MM LCP CLAVICLE RECONSTRUCTION 12X138 L IRENE # A72272123,1212.0,1334,1468,61689,,
1460,MS-P-003987,PLATE DISTAL RADIUS 2.7MM V+MEDIUM LEFT 3 HOLES. SANATMETAL # 280114303,1976.0,2174,2392,61689,,
1461,MS-P-004005,PLATE VORTEX DISTAL RADIUS -V+ MEDIUM LEFT 5 HOLES SANATMETAL # 280114305,1976.0,2174,2392,46536,,
1462,MS-P-004026,PEEK VBS CAPSTONE VERTE-STACK 10/26MM SOFAMOR DANEK AMICO MEDICAL INSTRUMENT CO. # 2991026INT,6300.0,6930,7623,38161,,
1463,MS-P-004029,PLATE TWISTED LENGTH 65MM HOLES 2 HIPOKRAT # D140000265,577.5,636,700,61573,,
1464,MS-P-004030,PLATE TWISTED LENGTH 65MM HOLES 3 HIPOKRAT # D140000365,577.5,636,700,61573,,
1465,MS-P-004031,POST MALE 2 HOLES HIPOKRAT # D122000002,87.5,97,107,35316,,
1466,MS-P-004032,PLATE STRAIGHT 10 HOLES OSTEONIC  # MST310M10,4025.0,4428,4871,61573,,
1467,MS-P-004033,PLATE STRAIGHT 8 HOLES OSTEONIC  # MST310M08,3325.0,3658,4024,61573,,
1468,MS-P-004034,PLATE STRAIGHT 18 HOLES OSTEONIC  # OST310M18,4620.0,5082,5591,61573,,
1469,MS-P-004049,PLATE DISTAL RADIUS - V MEDIUM  VORTEX LEFT 3 HOLES #280115303 SANATMETAL # 280115303,1976.0,2174,2392,46536,,
1470,MS-P-004057,PLATE ADAPTATION 1.5X6HOLES SPACE4.5 TITANIUM SYNTHES #04.105.028 AMICO MEDICAL INSTRUMENT CO. # 04.,1499.4,1650,1815,46642,,
1471,MS-P-004058,PLATE ADAPTATION 2X8HOLES TITANIUM SYNTHES #04.105.054 AMICO MEDICAL INSTRUMENT CO. # 04.105.054,1191.7,1311,1443,46642,,
1472,MS-P-004060,PLATE STRAIGHT 8 HOLES #FST307M12A OSTEONIC  # FST307M12A,2625.0,2888,3177,61573,,
1473,MS-P-004062,PLATE MATRIXNEURO ADAPT TITANIUM 4X7HOLES SYNTHES #04.503.071 SYNTHES # 04.503.071,1499.4,1650,1815,61573,,
1474,MS-P-004070,PLATE HUMERUS DISTAL MEDIAL LEFT OSTEONIC # H1E.35030 OSTEONIC  # H1E.35030,5250.0,5775,6353,64673,,
1475,MS-P-004071,PLATE HUMERUS DISTAL LATERAL LEFT OSTEONIC # H1E.35110 OSTEONIC  # H1E.35110,5250.0,5775,6353,64673,,
1476,MS-P-004079,"PLATE STRAIGHT 12HOLE, OSTEONIC  # FST307M12A",1500.0,1650,1815,46642,,
1477,MS-P-004109,PLATE FOR HALF PINS HOLES 1 . HIPOKRAT # D176000001,1080.0,1188,1307,61689,,
1478,MS-P-004110,PLATE FOR HALF PINS HOLES 2 . HIPOKRAT # D176000002,1080.0,1188,1307,61689,,
1479,MS-P-004111,POST FEMALE 2 HOLES HIPOKRAT # D121000002,87.5,97,107,35316,,
1480,MS-P-004112,PLATE 2 HOLES SHORT CONNECTION. HIPOKRAT # D131000235,175.0,193,213,61573,,
1481,MS-P-004123,POLYETHYLENE ACETABULAR PINNACLE MARATHON LINER NEUTRAL 28MM ID 46MM. OD JOH. & JOH. # 1219-28-046,3150.0,3465,3812,61770,,
1482,MS-P-004239,PLATE STRAIGHT 20 HOLE. OSTEONIC  # OST208M20,5040.0,5544,6099,61573,,
1483,MS-P-004539,PLATE LOCKING 5.0 BROAD 10 HOLES X L188 SST. SYNTHES # 226601,2001.65,2202,2423,61573,,
1484,MS-P-004542,PLATE DISTAL HUMERUS RIGHT 3.5X3MM HOLES POSTEROLATERAL. OSTEONIC  # H1D.35020,4394.25,4834,5318,61689,,
1485,MS-P-004543,PLATE HUMERUS PROXIMAL LATERAL 3.5X3 HOLES. OSTEONIC  # H3E.35000,5777.625,6356,6992,64673,,
1486,MS-P-004545,PIECECENTER 13X22MMX13C SOFAMOR DANEK. MEDTRONIC # 9391322,18150.0,19965,21962,57806,,
1487,MS-P-004569,POLYETHLENE ACETABULAR LINER NEUTRAL 32MM ID 52MM OD. JOH. & JOH. # 1219-32-052,3150.0,3465,3812,44362,,
1488,MS-P-004585,PLATE STRAIGHT 1.5 X10HOLES .OSTEONIC #OST310M10,1978.38,2177,2395,61573,,
1489,MS-P-004594,"PROSTHESIS RECONSTRUCTION SYSTEM ,NECK SEGMENT CEMENTLESS # LINK / 172-965/26",3500.0,3850,4235,48164,,
1490,MS-P-004624,POLYETHYLENE ACETABULAR LINER NEUTRAL 36MM ID 60MM OD. TAMER #1221-36-060,3150.0,3465,3812,61770,,
1491,MS-P-004631,POLYETHLENE INSERT  W/SHOULDER LARGE 32MM.LINK #182-152/05,4375.0,4813,5295,35661,,
1492,MS-P-004633,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 6 HOLES X94 MM L. SYANAHMED #A94370609,1658.16,1824,2007,61573,,
1493,MS-P-004634,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 7 HOLES X110 MM L.  SYANAHMED #A94370711,1658.16,1824,2007,61573,,
1494,MS-P-004635,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 8 HOLES X120 MM L.  SYANAHMED #A94370812,1658.16,1824,2007,61573,,
1495,MS-P-004636,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 6 HOLES X94 MM R.  SYANAHMED #A94380609,1658.16,1824,2007,61573,,
1496,MS-P-004637,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 7 HOLES X110 MM R.  SYANAHMED #A94380711,1658.16,1824,2007,61573,,
1497,MS-P-004638,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 8 HOLES X120 MM R.  SYANAHMED #A94380812,1658.16,1824,2007,61573,,
1498,MS-P-004639,PROXIMAL SPACER PROSTHESIS RECONSTRUCTION SIZE  L 10MM X D 14MM.LINK #172-950/10,1934.0,2128,2341,63917,,
1499,MS-P-004643,PLATE GOLD STRAIGHT 1.5MMX23 HOLES. Osteonic #FST307M20A,3034.5,3338,3672,61689,,
1500,MS-P-004647,PLATE RADIUS DISTAL VORTEX LEFTSIDE 18 HOLES  SANATMETAL #280114718,3421.25,3764,4141,61573,,
1501,MS-P-004648,PLATE RADIUS DISTAL VORTEX LEFT SIDE 5 HOLES V MEDIUM. SANATMETAL #280115305,1976.0,2174,2392,46536,,
1502,MS-P-004649,PLATE LOCKING 6 HOLE RIGHT OLECRANON AUSTOFIX  #2055-00-06138R,3388.0,3727,4100,61573,,
1503,MS-P-004651,PLATE RADIUS DISTAL VORTEX 18 HOLES DORSAL RIGHT SIDE . SANATMETAL  #280114818,3421.25,3764,4141,61573,,
1504,MS-P-004658,PLATE LCP DISTAL HUMERAL LE  8HOLES L194 SST .SYNTHES #02.104.028,7629.75,8393,9233,46647,,
1505,MS-P-004659,PROXIMAL MUTRAS CMONENT 127/42MM PART FOR STEM.IMPLANTSCAST #67101627S,18080.34,19889,21878,12696,,
1506,MS-P-004666,PLATE DISTAL RADIUS VORTEX 4 HOLES RIGHT SIDE.SANATMETAL #280115504,1976.0,2174,2392,61573,,
1507,MS-P-004667,PENILE PROSTHSIS TACTRA  DIFFERENTS SIZE. BOSTON SCIENTIFIC CORPORATION #720080XX,9000.0,9900,10890,36251,,
1508,MS-P-004669,PLATE LOCKING DISTAL FIBULA 3.5MMX7X114MM .IRENE #T713907114,1410.0,1551,1707,61573,,
1509,MS-P-004670,PLATE STRAIGHT 2.0MMX5 HOLES OSTEONIC #OST310M05,2294.25,2524,2777,61573,,
1510,MS-P-004671,PLATE STRAIGHT 2.0MMX7 HOLES  OSTEONIC #OST310M07,2344.13,2579,2837,61573,,
1511,MS-P-004679,PLATE LOCK LARGE STMTPFUSPL L5 2.4/2.7 . SYNTHES #02.211.243,4864.13,5351,5887,61573,,
1512,MS-P-004680,PROXIMAL COMPONENET MUTARS  RS 135/32MM. IMPLANTCAST #67101535S,18080.49,19889,21878,63995,,
1513,MS-P-004693,"POLYTHYLENE LINER ACETABULAR  +4 10 DEGREE 32MM ID 52MM OD ; JOH ,JOH #1219-32-152",1900.0,2090,2299,61770,,
1514,MS-P-004715,"POSTERIOR CEMTENTED AUGMENT COMBO SIZE 2  8MM. JOH,JOH #96-0828",6125.0,6738,7412,35217,,
1515,MS-R-000047,ROTATIONAL JOINT UNIT FOR FEMUR & TIBIA.,29250.0,32175,35393,41107,,
1516,MS-R-000051,RETRACTOR RECTAL AND COLON SURGERIES DISPOSABLE,3150.0,3465,3812,47431,,
1517,MS-R-000105,ROD THREADED 245MM TIPMED #042280,102.5,113,125,63191,63367.0,
1518,MS-R-000106,RING HALF ALUMINIUM 140MM TIPMED #040606,500.0,550,605,46537,,
1519,MS-R-000107,RING C 5/8 ALUMINIUM 140MM TIPMED #040828,730.0,803,884,46537,,
1520,MS-R-000113,ROD THREADED 195MM TIPMED # 042273,102.5,113,125,63191,63367.0,
1521,MS-R-000137,ROD TITANIUM LENGTH 5.5 X 600 MM IRINE #T04715600,1945.5,2141,2356,63191,,
1522,MS-R-000159,RING HALF ALUMINIUM 180MM TIPMED #040637,720.0,792,872,46453,,
1523,MS-R-000163,ROD THREADED 145MM TIPMED #042266,87.5,97,107,63191,,
1524,MS-R-000164,ROD TELESCOPIC 150MM TIPMED #042204,1278.0,1406,1547,63191,,
1525,MS-R-000166,RING ANNULOPLASTY 33MM DURAN ANCORE CHORDIAL GUIDE 620R,9000.0,9900,10890,45577,,
1526,MS-R-000174,ROD THREADED 50MM TIPMED #042228,84.0,93,103,63875,,
1527,MS-R-000177,RING HALF ALUMINIUM 120MM TIPMED #040590,930.0,1023,1126,46537,,
1528,MS-R-000198,ROD STRAIGHT 5.5MM L 80MM SOFAMOR #7571080,4182.5,4601,5062,63191,63367.0,
1529,MS-R-000200,ROD COCR 5.5MM L 50MM SOFAMOR #8690024/8690050,1200.0,1320,1452,63191,,
1530,MS-R-000211,RING HALF ALUMINIUM 80MM TIPMED #040576,750.0,825,908,46537,,
1531,MS-R-000212,RING HALF ALUMINIUM 160MM TIPMED #040620,660.0,726,799,46537,,
1532,MS-R-000213,RING HALF ALUMINIUM 200MM TIPMED #040644,770.0,847,932,46537,,
1533,MS-R-000214,RING C 5/8 ALUMINIUM 160MM TIPMED #040842,900.0,990,1089,46537,,
1534,MS-R-000215,RING C 5/8 ALUMINIUM 200MM TIPMED #040866,1353.0,1489,1638,46537,,
1535,MS-R-000217,RING C 5/8 ALUMINIUM 100MM TIPMED #040804,915.0,1007,1108,46537,,
1536,MS-R-000219,ROD TELESCOPIC 100MM TIPMED #042198,1160.0,1276,1404,63191,,
1537,MS-R-000220,ROD TELESCOPIC 200MM TIPMED #042211,1422.0,1565,1722,63191,,
1538,MS-R-000221,ROD THREADED 75MM TIPMED #042235,65.0,72,80,46453,,
1539,MS-R-000222,ROD THREADED 100MM TIPMED #042242,70.0,77,85,63875,,
1540,MS-R-000223,ROD THREADED 115MM TIPMED #042259,72.5,80,88,63191,,
1541,MS-R-000224,ROD THREADED 295MM TIPMED # ,95.0,105,116,46453,,
1542,MS-R-000225,ROD THREADED 345MM TIPMED #042303,100.0,110,121,63191,,
1543,MS-R-000226,ROD THREADED CANNULATED 100MM TIPMED #042334,105.0,116,128,63191,,
1544,MS-R-000227,ROD CUBES (SQUARE SOCKET) 2 HOLES TIPMED #041948,520.0,572,630,63191,63367.0,
1545,MS-R-000228,ROD CUBES (SQUARE SOCKET) 1 HOLE TIPMED #041931,502.0,553,609,63191,63367.0,
1546,MS-R-000229,ROD CUBES (SQUARE SOCKET) 3 HOLES TIPMED #041955,550.0,605,666,63191,63367.0,
1547,MS-R-000230,ROD CUBES (SQUARE SOCKET) 4 HOLES TIPMED #041962,578.0,636,700,64713,,
1548,MS-R-000307,ROPE TIGHT ACL # AR-1588RT,1600.0,1760,1936,62000,,
1549,MS-R-000329,ROD LONGITUDE 5.5x90MM STRAIGHT SOFAMOR #7571090,3972.5,4370,4807,63191,63367.0,
1550,MS-R-000330,"ROD CDH PREBENT 5.5X40MM,SOFAMOR # 8690040",860.0,946,1041,63875,,
1551,MS-R-000333,ROD STRAIGHT 5.5MM L 110MM SOFAMOR #7571110,4182.5,4601,5062,63191,,
1552,MS-R-000360,RETRACTOR WOUND + PROTECTOR LAPAROSCOPIC ALEXIS SYSTEM WITH KII FIOS. SMALL 2.5 ¿ 6CM APPLIED MEDICA,1434.0,1578,1736,45918,,
1553,MS-R-000362,ROD  3.5 X 240MM SOFAMOR DANEK  #7750015,1020.0,1122,1235,63191,,
1554,MS-R-000368,ROD STRAIGHT 5.5MM L 100MM SOFAMOR #7571100,3972.5,4370,4807,63191,,
1555,MS-R-000379,"ROD CROSSLINK, CERVICAL.MEDIUM SOFAMOR DANEK #7752536",8700.0,9570,10527,64253,,
1556,MS-R-000382,RING MITRAL MEMO 3D SIZE 28MM SORIN #ICV 0968,8575.0,9433,10377,45577,,
1557,MS-R-000383,RING MITRAL MEMO 3D SIZE 30MM SORIN #ICV 0969,8575.0,9433,10377,45577,,
1558,MS-R-000384,RING MITRAL MEMO 3D SIZE 32MM SORIN #ICV 0970,8575.0,9433,10377,45577,,
1559,MS-R-000393,ROD POSTERIOR 6.0X80MM SOFAMOR DANEK #79810080,10125.0,11138,12252,64253,,
1560,MS-R-000412,ROD TITANIUM 5.5 X 70MM SOFAMOR #8690070,1200.0,1320,1452,61325,,
1561,MS-R-000421,ROD SEXTNUT SYSTEM 5.5 X 85MM TITANUM SOFAMOR DANEK #8672085,1760.0,1936,2130,64253,,
1562,MS-R-000423,ROD TITANIUM (NS3).SIZE 6.35x40MM IRINE #T04816040,522.522,575,633,64253,,
1563,MS-R-000428,ROD TITANIUM (NS3).SIZE 6.35x65MM IRINE #T04815065,522.522,575,633,64253,,
1564,MS-R-000429,ROD TITANIUM (NS3).SIZE 6.35x70MM IRINE #T04815080,522.515,575,633,63191,,
1565,MS-R-000430,ROD TITANIUM (NS3).SIZE 6.35x80MM IRINE #T04815080,522.515,575,633,63191,,
1566,MS-R-000431,ROD TITANIUM (NS3).SIZE 6.35x90MM IRINE #T04815090,522.515,575,633,64253,,
1567,MS-R-000432,ROD TITANIUM (NS3).SIZE 6.35x100 IRINE #T04815100,645.0,710,781,63191,,
1568,MS-R-000433,ROD TITANIUM (NS3).SIZE 6.35x120MM IRINE #T04815120,645.0,710,781,64253,,
1569,MS-R-000434,ROD TITANIUM (NS3).SIZE 6.35x140MM IRINE #T04815140,645.0,710,781,64253,,
1570,MS-R-000435,ROD TITANIUM (NS3).SIZE 6.35x160MM IRINE #T04815160,645.0,710,781,64253,,
1571,MS-R-000436,ROD TITANIUM (NS3).SIZE 6.35x180 IRINE #T04815180,645.0,710,781,64253,,
1572,MS-R-000437,ROD TITANIUM (NS3).SIZE 6.35x200MM IRINE #T04815200,1290.0,1419,1561,64253,,
1573,MS-R-000438,ROD TITANIUM (NS3).SIZE 6.35x250MM IRINE #T04815250,1290.0,1419,1561,64253,,
1574,MS-R-000439,ROD TITANIUM (NS3).SIZE 6.35x300MM IRINE # T04815300,1290.0,1419,1561,44759,,
1575,MS-R-000440,ROD TITNIUM (NS3).SIZE 6.35 x 400MM IRINE #T04815400,1290.0,1419,1561,63191,,
1576,MS-R-000441,"ROD 5.5MMX500MM, LINED CP SOFAMOR #869-022",1200.0,1320,1452,63191,63367.0,
1577,MS-R-000449,ROD CANNULATED 11X200MM STRAIGHT IRINE # F02012,422.24,465,512,64253,,
1578,MS-R-000450,ROD CANNULATED 11X250MM STRAIGHT IRINE # F02013,527.8,581,640,64253,,
1579,MS-R-000451,ROD CANNULATED 11X300MM STRAIGHT IRINE # F02014,580.58,639,703,64253,,
1580,MS-R-000474,ROD POSTERIOR 90MM SOFAMOR DANEK # 79810090,10125.0,11138,12252,64253,,
1581,MS-R-000523,RECEIVER KIT-MG  PLATINUM F/ GLUCOSE MONITORING DEVICE DEXCOM #G4MG/DI,3472.0,3820,4202,53303,,
1582,MS-R-000527,RING TENSION CAPSULAR 12/10 RINGJECT OPHTEC #375BT1G,100.0,110,121,42839,,
1583,MS-R-000529,ROD 5.5X100MM TI PREBENT CDH SOFAMOR DANEK # 8690100,1200.0,1320,1452,44804,,
1584,MS-R-000533,ROPE TIGHT 20MM ABS W/ BUTTON ROUND CONCAVE ARTHREX # AR-1588TB-5,1600.0,1760,1936,30103,,
1585,MS-R-000534,ROPE TIGHT 11MM ABS W/BUTTON ROUND CONCAVE ARTHREX # AR-1588TB-3,1240.0,1364,1501,65038,,
1586,MS-R-000535,ROPE TIGHT ABS W/OUT BUTTON ARTHREX # AR-1588TN,1600.0,1760,1936,65038,,
1587,MS-R-000536,ROD CANNULATED 11 X 400 MM STRAIGHT IRENE # T20311400,409.5,451,497,32854,,
1588,MS-R-000537,REFILL MEDICAL GAS NITRIC OXIDE + NITROGEN 10LTR CYLINDER,2362.5,2599,2859,58754,,
1589,MS-R-000538,ROPE TIGHT 14 MM ABS W/BUTTON ROUND CONCAVE ARTHREX # AR-1588TB-4,1240.0,1364,1501,65038,,
1590,MS-R-000539,ROD 60MM POSTERIOR TRANSITION SOFAMOR DANEK # 79810060,10125.0,11138,12252,64253,,
1591,MS-R-000540,ROD STRAIGHT 5.5x360MM SOFAMOR #7755247,3570.0,3927,4320,61325,,
1592,MS-R-000541,ROD THREADED ADULT 80MM S/STEEL # 10015.06080,315.0,347,382,63191,,
1593,MS-R-000542,ROD PREBENT 5.5MM X 60MM TIT. MEDTRONIC # 8690060,1290.0,1419,1561,64253,,
1594,MS-R-000545,ROD 5.5X30MM PREBENT MEDTRONIC # 8690030,1290.0,1419,1561,61325,,
1595,MS-R-000546,ROD 6.35 X 70MM PEEK MEDTRONIC # 7893070,4812.5,5294,5824,64253,,
1596,MS-R-000684,ROD VIPER2 LORDOSED JOH. & JOH. # 186788110,1200.0,1320,1452,63191,,
1597,MS-R-000688,ROD 5.5X90MM CDH PREBENT. MEDTRONIC # 8690090,1290.0,1419,1561,63875,,
1598,MS-R-000696,ROD 5.5MMX220MM STRAIGHT . MEDTRONIC # 7571220,4182.5,4601,5062,64253,,
1599,MS-R-000697,ROD 5.5X80MM - CDH PREBENT MEDTRONIC # 8690080,1140.0,1254,1380,64253,,
1600,MS-R-000712,REMORAL COMPONENT SIZE 6 LEFT. SMITH&NEPHEW # 71420106,11250.0,12375,13613,61573,,
1601,MS-R-000713,ROD 5.5X30 PRE-CUT (TITANIUM ALLOY) SANYO # 61160030,698.0,768,845,64253,,
1602,MS-R-000714,ROD 5.5X35 PRE-CUT (TITANIUM ALLOY) SANYO # 61160035,698.0,768,845,64253,,
1603,MS-R-000715,ROD 5.5X40 PRE-CUT (TITANIUM ALLOY) SANYO # 61160040,698.0,768,845,64253,,
1604,MS-R-000716,ROD 5.5X45 PRE-CUT (TITANIUM ALLOY) SANYO # 61160045,698.0,768,845,64253,,
1605,MS-R-000717,ROD 5.5X50 PRE-CUT (TITANIUM ALLOY) SANYO # 61160050,698.0,768,845,64253,,
1606,MS-R-000718,ROD 5.5X55 PRE-CUT (TITANIUM ALLOY) SANYO # 6110055,698.0,768,845,44759,,
1607,MS-R-000720,ROD PRE-CUT 5.5X60 (TITANIUM ALLOY). SANYO # 61160060,698.0,768,845,64253,,
1608,MS-R-000721,ROD PRE-CUT 5.5X65 (TITANIUM ALLOY). SANYO # 61160065,698.0,768,845,64253,,
1609,MS-R-000722,ROD PRE-CUT 5.5X70 (TITANIUM ALLOY). SANYO # 61160070,698.0,768,845,64253,,
1610,MS-R-000723,ROD PRE-CUT 5.5X80 (TITANIUM ALLOY). SANYO # 61160080,698.0,768,845,64253,,
1611,MS-R-000724,ROD PRE-CUT 5.5X90 (TITANIUM ALLOY). SANYO # 61160090,1047.0,1152,1268,63191,63367.0,
1612,MS-R-000725,ROD PER-CUT 5.5X100 (TITANIUM ALLOY). SANYO # 61160100,698.0,768,845,44759,,
1613,MS-R-000726,ROD PER-CUT 5.5X110 (TITANIUM ALLOY). SANYO # 61160110,698.0,768,845,64253,,
1614,MS-R-000727,ROD PER-CUT 5.5X120 (TITANIUM ALLOY). SANYO # 61160120,698.0,768,845,44759,,
1615,MS-R-000728,ROD PER-CUT 5.5X130 (TITANIUM ALLOY). SANYO # 61160130,698.0,768,845,64253,,
1616,MS-R-000729,ROD PER-CUT 5.5X140 (TITANIUM ALLOY). SANYO # 61160140,698.0,768,845,63191,,
1617,MS-R-000730,ROD PER-CUT 5.5X150 (TITANIUM ALLOY). SANYO # 61160150,698.0,768,845,64253,,
1618,MS-R-000731,ROD PER-CUT 5.5X160 (TITANIUM ALLOY). SANYO # 61160160,698.0,768,845,64253,,
1619,MS-R-000732,ROD PER-CUT 5.5X170 (TITANIUM ALLOY). SANYO # 61160170,698.0,768,845,64253,,
1620,MS-R-000733,ROD PER-CUT 5.5X180 (TITANIUM ALLOY). SANYO # 61160180,698.0,768,845,64253,,
1621,MS-R-000734,ROD PER-CUT 5.5X1900 (TITANIUM ALLOY). SANYO # 61160190,698.0,768,845,64253,,
1622,MS-R-000735,ROD PRE-CUT 5.5X200 (TITANIUM ALLOY) SANYO # 61160200,698.0,768,845,64253,,
1623,MS-R-000736,ROD PRE-CUT 5.5X210 (TITANIUM ALLOY) SANYO # 61160210,698.0,768,845,64253,,
1624,MS-R-000737,ROD PRE-CUT 5.5X220 (TITANIUM ALLOY) SANYO # 61160220,698.0,768,845,64253,,
1625,MS-R-000738,ROD PRE-CUT 5.5X230 (TITANIUM ALLOY) SANYO # 61160230,698.0,768,845,64253,,
1626,MS-R-000739,ROD PRE-CUT 5.5X240 (TITANIUM ALLOY) SANYO # 61160240,698.0,768,845,64253,,
1627,MS-R-000740,ROD PRE-CUT 5.5X250 (TITANIUM ALLOY) SANYO # 61160250,698.0,768,845,64253,,
1628,MS-R-000744,RADIAL HEAD EXPLOR 12X22MM. BIOMET # 11-210032,4093.2,4503,4954,33701,,
1629,MS-R-000745,RADIAL STEM MODULAR WITH SCREW EXPLOR 9X30MM. BIOMET # 11-210064,7767.0,8544,9399,33701,,
1630,MS-R-000754,ROD PREBENT L 80 MM . SYNTHES # 04.615.530S,1155.0,1271,1399,64253,,
1631,MS-R-000758,ROD TITANIUM (NS1)5.5X60MM. IRENE # T04415506,375.0,413,455,64253,,
1632,MS-R-000759,ROD TITANIUM (NS1)5.5X80MM. IRENE # T04415508,375.0,413,455,64253,,
1633,MS-R-000760,ROD TITANIUM (NS1)5.5X100MM. IRENE # T04415510,614.0,676,744,64253,,
1634,MS-R-000761,ROD TITANIUM (NS1)5.5X120MM. IRENE # T04415512,614.0,676,744,64253,,
1635,MS-R-000762,ROD TITANIUM (NS1)5.5X140MM. IRENE # T04415514,614.0,676,744,64253,,
1636,MS-R-000765,ROD COCR 5.5 L 500 . MEDTRONIC # 8690024,1925.0,2118,2330,64253,,
1637,MS-R-000766,ROD TITANIUM (NS1) 5.5X180MM. IRENE # T04415518,614.0,676,744,64253,,
1638,MS-R-000767,ROD TITANIUM (NS1) 5.5X200MM. IRENE # T04415520,921.0,1014,1116,64253,,
1639,MS-R-000768,ROD TITANIUM (NS1) 5.5X250MM. IRENE # T04415525,921.0,1014,1116,64253,,
1640,MS-R-000769,ROD TITANIUM (NS1) 5.5X300MM. IRENE # T04415530,921.0,1014,1116,64253,,
1641,MS-R-000770,ROD TITANIUM (NS1) 5.5X400MM. IRENE # T04415540,921.0,1014,1116,64253,,
1642,MS-R-000771,ROD TITANIUM (NS2) 5.5X120MM. IRENE # T04715120,616.0,678,746,64253,,
1643,MS-R-000776,ROD PREBENT 35MM. JOH. & JOH. # 1797-72-035,1350.0,1485,1634,64253,,
1644,MS-R-000783,RODE TITANIUM COSMIC 6.25MMX70MM LENGTH . COSMIC # CS2708-70TB,1076.82,1185,1304,63191,,
1645,MS-R-000784,RODE TITANIUM COSMIC 6.25MMX80MM LENGTH COSMIC # CS2708-80TB,1076.82,1185,1304,63191,,
1646,MS-R-000785,RODE TITANIUM COSMIC 6.25MMX100MM LENGTH COSMIC # CS2708-100TB,1076.79,1185,1304,63191,,
1647,MS-R-000789,ROD CHROMALOY PLUS 3.5MMX240MM. MEDTRONIC # 7750087,1700.0,1870,2057,64253,,
1648,MS-R-000790,ROD GUID TIP BALL GRADUATED 2.0MM SMITH&NEPHEW # SN-71751146,1200.0,1320,1452,64713,,
1649,MS-R-000791,ROD STRAIGHT 5.5MMX40MM. NUVASIVE # 7292095,750.0,825,908,63191,,
1650,MS-R-000793,ROD BALL SINGLE 5.5MMX70MM. IMAS # 7291070,750.0,825,908,64253,,
1651,MS-R-000795,RELOAD UNIT TRI 2.0 SIGC60A  60 BLUE MEDTRONIC # SIGLU60A,1400.0,1540,1694,35884,,
1652,MS-R-000799,ROD TITANIUM 5.5MMX300MM. IMAS # 8452300,2000.0,2200,2420,64253,,
1653,MS-R-000800,ROD BALL 5.5MMX90MM SINGLE . IMAS # 7291090,750.0,825,908,64253,,
1654,MS-R-000802,"ROD SINGLE BALL 5.5MM,40MM NUVASIVE # 7291040",750.0,825,908,63191,,
1655,MS-R-000803,ROD LINED 5.5MMX500MM SOFAMOR DANEK AMICO MEDICAL INSTRUMENT CO. # 869-022,1350.0,1485,1634,64713,,
1656,MS-R-000804,RING HALF ALUMINIUM INTERNAL DIA 200MM HIPOKRAT # D229000200,900.0,990,1089,46453,,
1657,MS-R-000805,RING 2/3 ALUMINIUM INTERNAL DIA 180MM HIPOKRAT # D230000180,900.0,990,1089,61573,,
1658,MS-R-000806,ROD THREADED 60MM HIPOKRAT # 10015.06080,87.5,97,107,63191,,
1659,MS-R-000807,ROD THREADED 80MM HIPOKRAT # 10015.06100,87.5,97,107,63191,,
1660,MS-R-000808,ROD THREADED 100MM HIPOKRAT # D111000100,87.5,97,107,63191,,
1661,MS-R-000809,ROD THREADED 120MM HIPOKRAT # D111000120,87.5,97,107,63191,,
1662,MS-R-000810,ROD THREADED 200MM HIPOKRAT # D111000200,87.5,97,107,63191,,
1663,MS-R-000813,ROD THREADED SOFAMOR DANEK 3.5X240MM MEDTRONIC # 7755240,2275.0,2503,2754,61325,,
1664,MS-R-000814,ROD THREADED SOFAMOR DANEK 5.5X360MM MEDTRONIC # 7755247,3570.0,3927,4320,63191,,
