SERVICE CODE,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
6122054,VESTIBULOPLASTY/SULCUS DEEPENING (PER JAW),عملية تعميق الفم,5000.0
6122055,WIRING FRACTURED JAW - COMPLEX,تثبيت كسر فـك بالأسـلاك - معقــد,6000.0
6122056,WIRING FRACTURED JAW - SIMPLE,تثبيت كسر فـك بالأسـلاك - بسيـط,1300.0
6124001,TEMPORARY FILLING,حشـو مـؤقــت ,85.0
6124002,"AMALGAM FILLING - ONE SURFACE, PERMANENT",حشوة فضيه وجه واحد / سن دائم,250.0
6124003,"AMALGAM FILLING - ONE SURFACE, DECIDUOUS",حشوة فضيه وجه واحد / سن لبـنـي,170.0
6124004,"AMALGAM FILLING - TWO SURFACES, PERMANENT",حشوه فضية وجهين  / سن دائـم,340.0
6124005,"AMALGAM FILLING - TWO SURFACES, DECIDUOUS",حشوة فضية وجهين / سن لبني,250.0
6124006,"AMALGAM FILLING - THREE SURFACES, PERMANENT",حشوه فضية ثلاث وجوه / سن دائم,425.0
6124007,"AMALGAM FILLING - THREE SURFACES, DECIDUOUS",حشوة فضية ثلاث وجوه / سن لبني,340.0
6124008,"AMALGAM FILLING - FOUR SURFACES, PERMANENT",حشوة فضية أربع وجوه / سن دائم,500.0
6124009,"AMALGAM FILLING - FOUR SURFACES, DECIDUOUS",حشوة فضية أربع وجوه / سن لبني,425.0
6124010,"GOLD INLAY-GOLD(ONE SURFACE, EXCLUDING PRICE OF GOLD)",تلبيس ذهب سطح واحد / بإستثناء سعر الذهب),1700.0
6124011,"GOLD INLAY-GOLD(TWO SURFACES,EXCLUDING PRICE OF GOLD)",تلبيس ذهب سطحين  / بإستثناء سعر الذهب),1850.0
6124012,"GOLD INLAY-GOLD(THREE SURFACES,EXCLUDING PRICE OF GOLD) ",تلبيس ذهب 3 سطوح  / بإستثناء سعر الذهب),2000.0
6124013,"GOLD INLAY-GOLD(FOUR SURFACES,EXCLUDING PRICE OF GOLD)",تلبيسة ذهب 4 سطوح  / بإستثناء سعر الذهب),2600.0
6124014,REINFORCED COMPOSITE FILLING/BUILD-UP,إعادة تثبيت الحشوة ( كمبوزيت ),340.0
6124015,LIGHT CURED LABIAL COATING (PRISMA LITE),تغليف الوجه الشفوي للسن,340.0
6124016,CORE BUILDUP (INCLUDING PINS),إعادة تثبيت حشوة ملغم بمسمار,450.0
6124017,COMPOSITE RESIN (ONE SURFACE),حشوة كمبوزيت,340.0
6124018,CEMENT FILLING,حشوة اسمنتيــة,85.0
6124019,DENTIN DESENSITISER APPLICATION - PER QUADRANT/VISIT,إزالة حساسية السن,50.0
6124020,DEVITALIZING DRESSING,مادة لقـتـل الـعـصـــب,135.0
6124021,PIN RETAINED AMALGAM - EXCLUSIVE OF AMALGAM (PER PIN),وتد إضافي للأسنان اللبنية / غير الحشو,170.0
6124022,GLASS INOMER RESTORATIONS,حشوات جلاس إينومر,340.0
6124023,COMPOSITE RESIN (TWO SURFACES),حشوة كمبوزيت سطحية,425.0
6124024,COMPOSITE RESIN (THREE SURFACES),حشوة كمبوزيت ثلاث اسطح,500.0
6124025,PIN RETENTION - EXLCUSIVE OF COMPOSITE RESIN (PER PIN),وتد إضافي للتثبيت,170.0
6124026,COMPOSITE RESIN (INVOLVING INCISAL EDGE),حشوة كمبوزيت تشمل الطرف القاطع,675.0
6124027,PULP CAPPING (EXCLUDING FINAL RESTORATIONS),تغطية العصب بدون الحشو,170.0
6124028,RECEMENTATION OF INLAYS (PER INLAY),إعـادة تثـبيـت,170.0
6124029,RECEMENTATION OF BRIDGE,إعادة تثبيت جسـر,250.0
6125001,EMERGENCY DRAINING THROUGH TOOTH/DEVITALIZING,فتح اسعافي عبر السن,135.0
6125002,ROOT THERAPY FOLLOW-UP,متابعة علاج الجذور,85.0
6125003,ROOT CANAL - ANTERIOR TOOTH (INCISOR/CANINE),علاج جذر سـن أمـامــي,500.0
6125004,ROOT CANAL - BICUSPID TOOTH (PREMOLAR),علاج جذور سـن ضـاحــك,675.0
6125005,ROOT CANAL - POSTERIOR TOOTH (MOLAR),علاج جذور سـن  طــاحــن,850.0
6125006,ROOT THERAPY SARGENT/ONE SITTING PROCEDURE,علاج جراحي للجذر / جلسة واحدة,375.0
6125007,PULPOTOMY (EXCLUDING FINAL RESTORATIONS),استئصال لـب السـن,250.0
6125008,OTHER UNDEFINED ENDO PROCEDURES (PER 15 MINUTES),إجراءات علاج عصب كل15 دقيقة,85.0
6125009,BLEACHING ENDO TREATED TOOTH,تبيض سـن استئصل عصبه,225.0
6125010,ROOT CANAL - ONE (W/O L.A. & X-RAY),حشو عصب واحـد,225.0
6125011,APEXIFICATION,حشو للأسنان الدائمة يشجع على إغلاق الجذر,500.0
6126001,BLEACHING TEETH,تبيــض الأسـنــان,1500.0
6126002,CHEMICAL BLEACHING TEETH,تبيــض الأسـنــان الكيميائي,500.0
6126003,FLAP OPERATION,عملية قلب اللثــــه,650.0
6126004,FOLLOW-UP (PERIOD),مراجعة علاج اللثـه و الأسنان,50.0
6126005,GINGIVAL CURRETTAGE - PER QUADRANT,العلاج لكل ربـع الفـم,170.0
6126006,GINGIVITIS TREATMENT (MAXIMUM 2 VISITS),معالجة إلتهاب اللثـــة,340.0
6126007,OTHER PREVENTIVE PROCEDURES: PER 15 MINUTES,إجراءات وقـائيـة  خلال 15 دقيقــه,85.0
6126008,PEDICAL SOFT TISSUE GRAFTS,عملية تصنيع اللثة بإزاحة شريحـه,3400.0
6126009,PERIODONTAL BONE GRAFTING IMPLANT/BONY DETECT,عملية ترقيع الفم نتيجة نقص عظمي,675.0
6126010,PIT & FISSURE SEALANT - PER TOOTH,حشوة وقائية سادة للشقوق / لكل سن,250.0
6126011,POLISHING OF TEETH (PROPHYLAXIS),صـقـل الأسـنـان,170.0
6126012,SPLINTING PERIODONTALLY LUXATED TEETH,تثبيت أسنـان مخلـخلــه,450.0
6126013,TOPICAL APPLICATION OF FLOURIDE -2 VIS (EX PROPHYLAXIS),تطبيـق الفلورايــــد,250.0
6127001,"ACTIVATOR, ORAL SCREEN APPLIANCE",جهـاز متحرك وظيفـي,1300.0
6127002,CEPHALOMETRIC X-RAY,اشعـة سيـفـالـومـتـري,455.0
6127003,"EXPANSION OF LOWER MANDIBLE, CROZAT APPLIANCE",توسيع فـك علــوي,4000.0
6127004,EXPANSION OF MAXIALLA BY FIXED APPLIANCE,توسيع فك علوي بواسطة جهازثابت ,6500.0
6127005,EXPANSION OF MAXILLA WITH REMOVABLE APPLIANCE,توسيع فك علوي بواسطة جهاز متحرك ,5200.0
6127006,FIXED APPLIANCE FOLLOW UP,متابعة جهـاز ثـابـت,950.0
6127007,FIXED APPLIANCE FOR EACH JAW,جهاز تـقويم متحرك ثابـت,1885.0
6127008,FIXED LINGUAL RETAINER,قـوس لسـانـي ثابــت,975.0
6127009,"FIXED RESTRAINT TONGE, HABIT",جهاز تعديل العادة - صندوق للسان,1300.0
6127010,LOKAR DISTILIZING APPLIANCE,جهـاز دفـع لوكار,4550.0
6127011,ORTHODONTIC STUDY MODELS,قياسات تشخيصية للفكيـن,485.0
6127012,"ORTHODONTIC TREATMENT BY CLEAR ALIGNERS ""A""","تقويم الاسنان باستخدام تقويم شفاف خطة ""أ""",13000.0
6127013,"ORTHODONTIC TREATMENT BY CLEAR ALIGNERS ""B""","تقويم الاسنان باستخدام تقويم شفاف خطة ""ب""",15000.0
6127014,"ORTHODONTIC TREATMENT BY CLEAR ALIGNERS ""C""","تقويم الاسنان باستخدام تقويم شفاف خطة ""ج""",18000.0
6127015,"ORTHODONTIC TREATMENT BY CLEAR ALIGNERS ""D""","تقويم الاسنان باستخدام تقويم شفاف خطة ""د""",21000.0
6127016,"ORTHODONTIC TREATMENT BY CLEAR ALIGNERS ""E""","تقويم الاسنان باستخدام تقويم شفاف خطة ""هـ""",25000.0
6127017,"OTHER APPLIANCE FIXED (EXPANSION, HEAD GEAR)",توسيع الفك الثابت ( جهاز كبح النمــو ),1450.0
6127018,REMOVABLE RETAINER HAWELY APPLIANCE,جهاز متحرك لتثبيت الحالــة,650.0
6127019,REMOVAL APPLIANCE FOR EACH JAW,جهـاز تقـويم متحـرك,1450.0
6127020,SPACE MAINTAINER FOR SINGLE SIDE,حافظة مسافة وحيد الجانب,1100.0
6127021,SPACE RETAINER - FIXED,حافظ للمكـان الثابــت,1150.0
6127022,SPACE RETAINER - REMOVABLE,حـافـظ للمكـان المتحــرك,750.0
6127023,SPACE RETAINER REMOVABLE - FOLLOW UP,متابعـة جهـاز متحــرك,325.0
6127024,TREATMENT OF CL II DN I VERTICAL GROWTH PATTERN WITH ANTERIOR BITE FIXING UPPER AND LOWER FIXED ORTHO APPLIANCE,معالجة سوء اطباق صف ثاني نموذج أول,18200.0
6127025,TREATMENT OF CLASS I MALOCCLUSION WITH TEETH EXTRACTION FIXING UPPER AND LOWER ORTHO APPLIANCE,معالجة سوء أطباق صف أول مع القلع ,13000.0
6127026,TREATMENT OF CLASS I MAL-OCCLUSION WITHOUT TEETH EXTRACTION FIXING UPPER AND LOWER ORTHO APPLIANCES,معالجة سواء أطباق صف أول بدون قلع,10500.0
6127027,"TREATMENT OF CLASS II DIVN I MALOCCLUSION ""DEEP BITE"" FIXING UPPER AND LOWER ORTHO APPLIANCE",معالجة سوء أطباق صف ثاني نموذج أول عضه مقلعه,15600.0
6127028,TREATMENT OF CLASS II DIVN I WITH TEETH EXTRACTION FIXING UPPER AND LOWER ORTHO APPLIANCES,معالجة سوء أطباق صف ثاني مع قلع,15600.0
6127029,TREATMENT OF CLASS II DIVN II MALOCCLUSION FIXING UPPER AND LOWER FIXED ORTHO APPLIANCE,معالجة سوء أطباق صف ثاني ,15600.0
6127030,TREATMENT OF CLASS III MALOCCLUSION WITH TEETH EXTRACTION FIXING UPPER AND LOWER ORTHO APPLIANCE,معالجة سوء أطباق صف ثالث مع القلع ,15600.0
6127031,TREATMENT OF MIXED DENTITION MALOCCLUSION FIXING UPPER AND LOWER ORTHO APPLIANCE,معالجة سوء أطباق أسنان مختلفة ,13000.0
6127032,TREATMENT PLAN - A,خطـة عـلاجـيـة  أ,650.0
6127033,TREATMENT PLAN - B,خطـة عـلاجـيـة  ب,1300.0
6127034,TREATMENT PLAN - C,خطـة عـلاجـيـة  جـ,2600.0
6127035,TREATMENT PLAN - D,خطـة عـلاجـيـة  د,6500.0
6127036,TREATMENT PLAN - E,خطـة عـلاجـيـة  هـ,325.0
6127037,"TREATMENT PLAN ""SUMMARISED PROGRAM""",تقرير المخـطط العلاجــي,200.0
6128001,"3/4 CROWN, PRECIOUS",تـاج ثـمـيـن 4/3,1250.0
6128002,ACRYLIC (PLASTIC) CROWN PER CROWN,تاج أكريليك مصبـوب,325.0
6128003,ACRYLIC (PLASTIC) CROWN PRE-FABRICATED,تـاج أكريليك جـاهـز,130.0
6128004,ADDING TOOTH TO PARTIAL DENTURE TO REPLACE EXTRACTED TOOTH(INVOLVING CLASP OR ABUTMENT TOOTH),إضافة سن لطقم جزئي مع مشبك,250.0
6128005,ADDING TOOTH TO PARTIAL DENTURE TO REPLACE EXTRACTED TOOTH-EACH TOOTH(NOT INVOLVING CLASP OR ABUTMENT TOOTH),إضافة سن لطقم جزئي بدون شبك,170.0
6128006,ADDITIONAL CASTED CLASP-GOLD OR METAL,إضافة مشبك مصبوب ذهب / معدن,500.0
6128007,APEXO-GENSIS,اجراء استكمال نمو جذور الاسنان,1000.0
6128008,APICECTOMY,عملية فصل جزء من جذر,3000.0
6128009,BITE GUARD (BITE RAISING APPLIANCE),جهــاز رفــع الأطــواق,1250.0
6128010,BONE GRAFTING (SYNTH / POT),ترقيع للعظام ( لكل أنبوية مستخدمة ),900.0
6128011,CANTILEVER BRIDGES,جسر اسنان معلق قصير,3000.0
6128012,"CASE STUDY FOR IMPLANTS (OPG,PA X-RAY,S.MS)",دراسـة حالـة للزراعــة,900.0
6128013,CASTED LINGUAL RETAINER SPLINTS PER UNIT,الحابس الملصق  الداخلى  للسن الواحد,500.0
6128014,CEKA ATTACHMENT PER PIECE,مثبت خاص ( سيكا) قطعة واحـدة,750.0
6128015,CERAMIC INLAYS,حشوات خزافيه داخليه,2000.0
6128016,CHAIR - SIDE RELINING (COMPLETE DENTURE)CHAIR - SIDE RELINING (COMPLETE DENTURE),تبطـيـن طقـم كامل في العيـادة,250.0
6128017,CHAIR - SIDE RELINING (PARTIAL DENTURE),تبطيـن طقـم جزئـي في العيادة,170.0
6128018,CHANGING TEETH IN OLD CHROME - PARTIAL,تغيير الأسنان في طقم جزئي قديم من مادة كروم كوبالت ,635.0
6128019,CHROME COBALT FULL DENTURE: UPPER AND LOWER,طقم كامل من كروم كوبالت,5900.0
6128020,CHROME COBALT PARTIAL 4-7 TEETH,طقم جزئي من كروم كوبالت من 4-7 اسنان,1700.0
6128021,CHROME COBALT PARTIAL 8-12 TEETH,طقم جزئي من كروم كوبالت من 8-12 سن,2050.0
6128022,CLASP ADDITIONAL (EACH),إضافة سن واحد الى طقم قديم,250.0
6128023,COMPLETE DENTAL IMPLANTS ONE UNIT (PACKAGE DEAL),زراعة سـن واحـد,8500.0
6128024,COMPLETE DENTURE ADJUSTMENT,ضـبـط طـقـم كـامـل,250.0
6128025,COMPLETE DENTURES,طقـم كـامـل,2420.0
6128026,CORE BUILDUP (INCLUDING POSTS),إعادة بناء الضرس مع الأوتــار,520.0
6128027,CROWN FOR IMPLANT (PER CROWN),تلبيس فوق الزراعة ( لكل تلبيسة ) ,4800.0
6128028,DENTURE - COMPLERE LOWER (ACRYLIC),طقك كامل أكريلك سـفــلـــــي,2100.0
6128029,DENTURE - COMPLETE LOWER (CHROME COBBALT),طقم كامـل كــروم سـفـلــي,3770.0
6128030,DENTURE - COMPLETE UPPER (ACRYLIC),طقم كامل أكريلك عـلـــوي,2100.0
6128031,DENTURE - COMPLETE UPPER (CHROME COBBALT),طقم كامل كـروم عـلــوي,3770.0
6128032,DENTURE - IMMEDIATE LOWER COMPLETE,طقم كامل فــوري سفـلــي,1700.0
6128033,DENTURE - IMMEDIATE UPER COMPLETE,طقم كامل فــوري علــوي,1700.0
6128034,DIGITAL SMILE DESIGN CASE STUDY,اجرراء دراسه  الابتسامه الرقميه,2000.0
6128035,EACH ADDITIONAL WING - ACID ETCH MARYLAND,جسور مريلاند أي جناح إضافي,425.0
6128036,FIBER POST AND CORE BUILDS UPS,وتد جذور و بناء جسم السن,1000.0
6128037,FITTING LINGUAL BAR,تثبيت قضيب لساني,425.0
6128038,FIXED I/D SPACE CLOSURE (ETCH TECHNIQUE),حافظ ثابت ما بين الأسنان بواسطة أحماض,750.0
6128039,FIXED IMPLANT PROSTHODONTICS,استعاضه سنيه مثبته لزرعات الاسنان للقطعه الواحده,3000.0
6128040,FIXED OCCLUSAL APPLIANCES,جهاز لرفع عضة الاسنان مثيت بالقطعه,500.0
6128041,GOLD ONLAY (ONLAYING CUSPS EXCLUDIGN PRICE OF GOLD),تاج ذهب مع ثمن الذهب المستخدم  ,1300.0
6128042,GUM PEALING AND DEPIGMENTATION,عمليه تقشير او تبييض اللثه,4000.0
6128043,GUMMY SMILE SURGERY,عمليه تجميل  اللثه,3000.0
6128044,"HEMISECTIONING, BICUSPLIZATION AND ROOT AMBUTATION",عمليه فصل جذور الاسنان او استئصال جذر او تويل ضرس الى ضرسين,1500.0
6128045,HYPRIDE IMPLANT PROSTHODONTICS,استعاضه سنيه مثبته و متحركه لزرعات الاسنان للقطعه الواحده,2500.0
6128046,IMMEDIATE COMPLETE DENTURES (REQUIRING RELINING),طقم كامل فوري,2000.0
6128047,IMPLANT SURGERY (PER IMPLANT USED),جـراحـة لـوضـع زراعــة,4500.0
6128048,ISOSIT INJECTION MOULDED DENTURE,حافظة اليسوسيت لطقم مقلوب,2875.0
6128049,JAW LOCK OR TREATMENT OF CONDYLAR DISLOCATION WITHOUT GA,علاج خلع مفصل الفك بدون مخدر عام,500.0
6128050,LABORATORY RELINING (COMPLETE DENTURE),تبطيـن طقـم كامـل في المعمـــل,425.0
6128051,LABORATORY RELINING (PARTIAL DENTURE),تبطيـن طقـم جزئـي في المعمـل,250.0
6128052,LAMINATE VENEER,قشرة بورسلين خارجية,2000.0
6128053,LASER BLEACHING,تبييض الاسنان باستخدام الليزر,2000.0
6128054,LASER DESENSITIZATION OF TEETH,علاج تحسس الاسنان باستخدام الليزر للسن الواحد,200.0
6128055,LASER PERIODONTAL POCKET DISINFECTION,تطهير الجيوب اللثويه بأستخدام الليزر,1000.0
6128056,LASER TMJ TREATMENT,علاج مفصل الفك باستخدام الليزر,500.0
6128057,LOWER CHROME COBALT PARTIAL DENTURE (1-3 TEETH / UNILATERAL),طقم أسنان جزئي كروم كوبالت 1-3 اسنان أحادي الجانب ,1700.0
6128058,LOWER CHROME COBALT PARTIAL DENTURE (3 OR MORE TEETH / BILATERAL),طقم سنان جزئي سفلي 3 اسنان أو أكثر,3400.0
6128059,LUMINEER,قشرة ليمونيير,2000.0
6128060,NON PRECIOUS METAL (CROWN / PONTIC) / ACRYLIC FACING,تاج من معدن غير ثمين بوجه أكريللك ,780.0
6128061,NON-PRECIOUS METAL CROWN/PONTIC FULL CAST,تاج معدني - معدن غير نفيــس,1300.0
6128062,NON-PRECIOUS METAL POST,وتـر معدن غير نفيس,210.0
6128063,OBTURATOR,مثــبـت خــاص,850.0
6128064,OCCLUSAL ADJUSTMENT AND REMOVAL OF OCCLUSAL INTERFERENCES,علاج مشاكل اطباق الاسنان و ازالة العوائق كاملا,2000.0
6128065,"OCCLUSAL ANALYSIS, CASE STUDY",دراسة حاله مشاكل اطباق الاسنان,1000.0
6128066,OTHER CORRECTIVE PROCEDURES (PER 1/4 HOUR),إجراءات إصلاحية أخرى خلال 15 دقيقة ,120.0
6128067,OTHER UNDEFINED PROCEDURE/ 1/4 HOUR,إجراءات أخرى غير معروفه خلال 15 دقيقة ,120.0
6128068,OVERDENTURE FOR IMPLANT (PER JAW),طقم متحرك فوق الزراعـة ,3600.0
6128069,PARATIAL DENTURE ADJUSTMENT,ضـبـط طـقـم جـزئـي,170.0
6128070,PARTIAL DENTURE 1-3 TEETH,طقم جزئـي من 1-3 اسنان,500.0
6128071,PARTIAL DENTURE 4-7 TEETH,طقم جزئي من 4 - 7 أسنان,850.0
6128072,PARTIAL DENTURE 8-12 TEETH,طقم جزئي من 8 - 12 ســن,1200.0
6128073,PONTIC FOR IMPLANTS (PER PONTIC),سـن معلـق ( تلبيسة ),3600.0
6128074,PORCELAIN SET FOR COMPLETE DENTURES (ADDITIONAL),طقم أسنان بورسلان,210.0
6128075,"PORCELAIN, NON-PRECIOUS METAL CROWN/PONTIC",تاج بورسلان+ معدن غير نفيس,1700.0
6128076,"PORCELAIN, PRECIOUS METAL (CROWN/PONTIC)",تـاج بورسلين معدن ثميـن,2600.0
6128077,"PORCELAIN, PRECIOUS TELESCOPIC CROWN W/COPING",تيجان تليسكوبية + برسلان نفيـس,2950.0
6128078,PRECIOUS METAL CROWN/PONTIC FULL CAST,تاج معدني - معدن نفيـس,2350.0
6128079,PSEUDO GOLD CROWN OR IN-LAY IN DENTURE,تاج مطلي ذهب او ترصيع في الطقم,500.0
6128080,REBASING (UPPER OR LOWER),إعادة تبطين قاعدة الطقم العلوي / السفلي,760.0
6128081,RECEMENTATION OF CROWN (PER CROWN),إعادة تثبيت التركيبة بواسطة أسمنت,170.0
6128082,REFIXING TOOTH IN DENTURE OR HAIRLINE CRACKS,إعادة تثبيت سن في طقم أو تصدعات ,70.0
6128083,RELINING UPPER OR LOWER DENTURE,تبطين الطقم العلوي / السفلي,675.0
6128084,REMOVABLE BRIDGES,جسر اسنان متحرك,2000.0
6128085,REMOVABLE OCCLUSAL APPLIANCE,جهاز لرفع عضة الاسنان متحرك,3000.0
6128086,REMOVAL OF BROKEN FILES FROM ROOT CANALS,ازاله مبرد مكسور داخل جزور الاسنان,200.0
6128088,REMOVAL OF OLD BRIDGE BY CUTTING,خلع جسر قديم بالمقطع,120.0
6128089,REMOVAL OF OSSLUSAL INTERFERENCE (OCCLUSAL EQUILIBRATION) PER QUADRANT,علاج مشاكل اطباق الاسنان و ازالة العوائق للربع,500.0
6128090,REPAIR ACRYLIC DENTURE - COMPLEX,إصلاح طقم أكريليكي - معقـد,500.0
6128091,REPAIR ACRYLIC DENTURE - SIMPLE,إصلاح طقم أكريليكي - بسيط,120.0
6128092,REPAIR OF BROKEN COMPLETE OR PARTIAL DENTURE - NO TEETH DAMAGED ,تصليح طقم مكسور,250.0
6128093,REPAIR OF CHIPPED PORCELAIN (INTRA ORALLY),إصلاح بورسلين مشروخ داخل الفم,425.0
6128094,REPAIR OF CHIPPED PORCELAIN (LABORATORY),إصلاح بورسلين مشروخ في المعمل ,850.0
6128095,REPAIR OF PERFORATED ROOT,اجراء اصلاح  ثقب بجذور الاسنان,500.0
6128096,RESIN BONDED BRIDGE PER UNIT,الجسور الملصفه للقطعه الواحده,1000.0
6128097,"RETENTIVE WINGS, 1ST PAIR - ACID ETCH MARYLAND",جسور مريلاند حافظـة + الزوج الأول,1525.0
6128098,ROOT CANAL TREATMENT FOR ANTERIOR TEETH,علاج اعصاب الاسنان الاماميه,1500.0
6128099,ROOT CANAL TREATMENT FOR POSTERIOR TEETH,علاج اعصاب الاسنان الخلفيه,2000.0
6128100,SPLINTS/GUARDS,تـجـبـيـــرة,375.0
6128101,STAINLESS STEEL CROWN,تـاج معدني ,260.0
6128102,TELESCOPIC CROWNS,تليسه تليسكوبيك,1000.0
6128103,THREE UNIT ONLAYS RETAINED BRIDGE,جسر الاسنان  ثلاث قطع مثبت بحشوات الزريكون الخارجيه,8000.0
6128104,TISSUE CONDITIONING MATERIAL,تكييف الأنسجة في حساس خال من الأسنان / طقم غير مثبت جيداً,170.0
6128105,TOOTH ADDITIONAL (EACH),إضافة مشبك واحد إلى طقم قديم,250.0
6128106,TREATMENT OF INFECTED ROOT CANANL OF ANTERIOR TEETH,علاج لجذور الاسنان  تحوى صديد  ,1500.0
6128107,UPPER CHROME COBALT PARTIAL DENTURE (1-3 TEETH / UNILATERAL),طقم جزئي كروم علوي من 1-3 أسنان,1700.0
6128108,UPPER CHROME COBALT PARTIAL DENTURE (3 OR MORE TEETH BILATERAL),طقم جزئي كروم سفلي من 1-3 أسنان,3400.0
6128109,UV LIGHT BLEACHING,تبييض الاسنان باستخدام الفوق بنفسجيه,2000.0
6128110,WHOLE PORCELAIN CROWN (AS ONE UNIT OF BRIDGE),تركيب بورسلين (وحدة من القنطرة),2500.0
6128111,ZIRCON INLAYS ,حشوات زيركون داخليه,2500.0
6128112,ZIRCON ONLAYS,حشوات زيركون خارجيه,3000.0
6129001,CO2 LASER ABLATION OF HARD / SOFT PALATE SWELLING,علاج تورم بالخد و باللثة و تجويف الفم بالليزر,9000.0
6129002,CO2 LASER ABLATION OF LARGE ORAL ULCERS (MORE THAN1.5 CM DIA),استئصال قرح كبير بالفم أكبر من 1.5 سم عن طريق الليزر,3100.0
6129003,CO2 LASER ABLATION OF LEUKOPLEBIA (MORE THAN 2 CM,استخدام الليزر لإزالة الإلتهــاب,6500.0
6129004,CO2 LASER ABLATION OF LEUKOPLEBIA (SMALL LESS THAN,أستخدام الليزر لإزالة بقع بيضـاء,3900.0
6129005,CO2 LASER ABLATION OF LIP / CHEEK SWELLING,علاج تورم بالخد و الشفة بالليزر,7800.0
6129006,CO2 LASER ABLATION OF ORAL ULCERS (MULTIPLE-MORE THAN 3 ULCERS),اسئتصال قرح بالفم متعدد و أكثر من 3 عن طريق الليزر,2600.0
6129007,CO2 LASER ABLATION OF ORAL ULCERS LESS THAN 0.5 CM(UPTO 3 ULCERS),استئصال قرح بالفم أقل من 2/1 سم عن طريق الليزر,1300.0
6129008,CO2 LASER ABLATION OF TONGUE SWELLING (SMALL),علاج تورم صغير بالخد و اللسان بالليزر,7800.0
6129009,CO2 LASER COAGULATION OF ANGIOMOTOUS LESION,تصليح تهتك الوعية بالليـزر,13000.0
6129010,CO2 LASER EXCISION OF HEAD & NECK MALIGNANCY,استئصال ورم بالرأس و الرقبة بالليزر,7800.0
6129011,CO2 LASER EXCISION OF HYPER PLASTIC GINGIVAL SWELL,استئصال تورم عالي باللثة بالليـزر,4000.0
6129012,CO2 LASER FRAENECTOMIES (LABIAL OR LINGUAL),استئصال اللجـام اللسـانـي,3900.0
6129013,CO2 LASER GLOSSECTOMY (IN ASOSCIATION WITH ND: YAG,استئصال جزء من اللسـان بالليزر,15600.0
6129014,CO2 LASER HAEMOSTASIS IN POST-EXTRACTION HAEMOPHIL,إيـقـاف الـنـزف,1300.0
6129015,CO2 LASER PALLIATIVE TREATMENT FOR TERMINAL CANCER,علاج تحفظي بالجلسة من الحالات المناظرة للأورام بالليزر,3900.0
6129016,CO2 LASER REPOSITIONING OF MENISCUS IN TMS SURGERE,استخدام الليزر في جراحات الحلــق,7800.0
,SKINCARE SERVICES,خدمات العناية بالبشرة,
9141001,CHEMICAL PEEL SUPERFICIAL (FRUIT ACID PEEL) (SKINCARE),التقشير الكيميائي - سطحي ,500.0
9141002,CHEMICAL PEEL LIGHT (FRUIT ACID PEEL) (SKINCARE),التقشير الكيميائي - الخفيف,750.0
9141003,CHEMICAL PEEL MEDIUM (SKINCARE),التقشير الكيميائي - وسط ,1200.0
9141004,CHEMICAL PEEL DEEP (SKINCARE),التقشير الكيميائي - عميق,1500.0
9141005,CHEMICAL PEEL FOR THE BACK - PER SESSION (SKINCARE),التقشير الكيميائى لمنطقة الظهر,1200.0
9141006,HAIR TRANSPLANTATION FOR MOUSTACHE-SMALL AREA (SKINCARE),زراعة الشعر للشنب - منطقة صغيرة ,5000.0
9141007,HAIR TRANSPLANTATION FOR MOUSTACHES- MEDIUM AREA (SKINCARE),زراعة الشعر للشنب - منطقة وسط,6000.0
9141008,HAIR TRANSPLANTATION FOR MOUSTACHES LARGE AREA (SKINCARE),زراعة الشعر للشنب - منطقة كبيرة ,7500.0
9141009,HAIR TRANSPLANTATION (300-400) GRAFT (SKINCARE),زراعة الشعر ( 300 - 400 ) بصيلة ,9000.0
9141010,HAIR TRANSPLANTATION (400-500) GRAFT (SKINCARE),زراعة الشعر ( 400 - 500 ) بصيلة ,10000.0
9141011,HAIR TRANSPLANTATION (500-600) GRAFT (SKINCARE),زراعة الشعر ( 500 - 600 ) بصيلة ,12000.0
9141012,HAIR TRANSPLANTATION (600-700) GRAFT (SKINCARE),زراعة الشعر ( 600 - 700 ) بصيلة ,13000.0
9141013,HAIR TRANSPLANTATION (700-800) GRAFT (SKINCARE),زراعة الشعر ( 700 - 800 ) بصيلة ,15000.0
9141014,PUVA PER SESSION (SKINCARE),العلاج بالأشعة الضوئية ,80.0
9141015,EYE BROW TRANSPLANT (SKINCARE),زراعة الحواجب,3000.0
9141016,FACIAL CLEANSING SKIN CARE (SKINCARE),تنظيف بشرة ,300.0
9141017,SKIN BIOPSY (SKINCARE),خزعة جلدية ,300.0
9141018,TRICHOGRAM (SKINCARE),فحص الشعر ,300.0
9141019,CRYO CAUTERY - FEW LESION (SKINCARE),الكي بالتبريد  - عدد قليل,150.0
9141020,CRYO CAUTERY - MULTIPLE LESION (SKINCARE),الكي بالتبريد  - عدد كثير,300.0
9141021,ELECTROLYSIS PER SESSION (SKINCARE),إزالة الشعر كهربائياً,500.0
9141022,ELECTRO CAUTERY - FEW LESION (SKINCARE),الكي بالكهرباء - عدد قليل ,150.0
9141023,ELECTRO CAUTERY - MULTIPLE LESION (SKINCARE),الكي بالكهرباء - عدد كثير,300.0
9141024,EXCISION OF MOLE - SMALL (SKINCARE),إستئصال شامة - صغير ,750.0
9141025,EXCISION OF MOLE - MEDIUM (SKINCARE),إستئصال شامة - وسط,1000.0
