Code,Discription,Price,SBS CODE,category
FMLAB-9164,ACETONE TOTAL,369,73050-39-70,Laboratory
FMLAB-9394,"BORDETELLA PERTUSSIS (WHOOP,CO UCH)",369,73050-45-60,Laboratory
FMLAB-9408,CAFFEINE,369,73300-00-10,Laboratory
FMLAB-9429,CLOMETHIAZOLE,369,73300-08-90,Laboratory
FMLAB-9644,PHENOL,369,73300-01-90,Laboratory
FMLAB-9743,THIORIDAZINE,369,73300-06-30,Laboratory
FMXRY-0094,PANORAMA & CEPHALO 2 VIEWS,369,83700-00-00,Radiology
FMANAP0060,G.A. ETT ANAESTHESIA,363,92514-99-00,services
FMDER-0243,LASER HAIR REMOVAL OF MOUSTACH.,363,99999-99-99,services
FMDER-0244,LASER FOR HYPERPIGMENTATION / FRECKLE / UNIT.,363,14106-00-00,services
FMDER-0254,MESOTHERAPY 2nd SESSION W/O ROLLER,363,99999-99-99,services
FMDNTF0024,AMALGAM FILLING 2 S X 2,363,512,services
FMDNTP0102,WALKING BLEACH PER VISIT,363,117,services
FMDNTP0127,TOOTH JEWELLERY COLOR,363,99999-99-99,services
FMDNTS0075,BIOPSY OF SOFT TISSUE - SMALL,363,30075-01-01,services
FMDNTS0235,ARTHODONTIC SESSION PER MOUTH TYPE II,363,871,services
FMDNTS0269,OPEN REDUCTION+T.O.W. FRACTURE COMPOUND,3069,359,services
FMNSCA0018,OPEN LUMBAR DISCECTOMY (MULTIPLE),3069,48636-00-00,services
FMENDE0018,UNCOMPLETED PROCEDURE,363,30473-00-00,services
FMERDA0038,CONSULTANT TO/FROM OTHER HOSPT,363,96037-00-00,services
FMERDA0080,CHEMOTHERAPY (2) DAYS TREA.ER,363,96206-00-00,services
FMIVF-0024,SEMEN ASSESMENT,363,73400-02-40,services
FMLAB-2027,D-XYLOSE IN URINE,363,73050-39-00,Laboratory
FMLAB-3034,FREE P.S.A.,363,73050-30-30,Laboratory
FMLAB-5021,BALADIA CHECK UP,363,73000-00-20,Laboratory
FMLAB-9056,EPSTEIN BARR VIRUS IGG (J) SPECIFIC ABS.,363,73100-21-70,Laboratory
FMLAB-9057,EPSTEIN BARR VIRUS IGM (J) SPECIFIC ABS.,363,73100-21-60,Laboratory
FMLAB-9279,THEREOGLOBULIN,363,73050-35-00,Laboratory
FMLAB-9365,ANTI - JO-1,363,83700-00-00,Laboratory
FMLAB-9473,ECHINOCOSSU ABS IHA & MULTILOC ULAR,363,73100-22-30,Laboratory
FMLAB-9654,PNEUMOCOCCAL ABS,363,92165-00-00,Laboratory
FMOBG-0090,CRYOCAUTERY OF CERVIX,363,35608-00-00,services
FMOBG-0091,THERMO-CAUTERY OF CERVIX,363,35608-00-00,services
FMNSCA0020,LUMBAR LAMINOTOMY OR LAMINECTO,3069,90024-00-00,services
FMOBG-0143,ENDOMETRIAL PREMESTRUAL CURR.  (WITH OR W/THOUT ANAESTHESIA),363,35640-01-00,services
FMOBG-0172,"VESTIBULE HEMATOMA, SMALL",363,30223-00-00,services
FMOBGZ9999,USE OF DELIVERY ROOMS,363,83630-00-00,services
FMNSCA0033,FIXATIONOF SACRAL FRACTURE,3069,48678-00-00,services
FMOPTL0010,EXAMINATION UNDER ANAESTHESIA,363,96037-00-00,services
FMORT-9000,C.P. PROGRAM - 2 SESSION (P.D),363,99999-99-99,services
FMPDT-0010,HEART MONITOR - 24 HOURS,363,11722-00-00,services
FMPDT-0027,OXYGEN APPLICATION W/ FUNNEL   FOR 24 HRS INCLUDING O2,363,92044-00-00,services
FMPDT-0088,I.V.SHOCK TRT(PLASMA EX.)INC.  B.P. FOR 1HR W/O MEDICATION,363,96199-19-00,services
FMORT-0033,FIXATIONOF SACRAL  FRACTURE,3069,48678-00-00,services
FMPDT-0151,CHECK UP & VACC.II (CLINICAL   EXAM.&ROUT. VACC FOR 2 YEARS,363,96037-00-00,services
FMPSD-1051,LASER HAIR REMOVAL OF MOUSTACH,363,47921-00-01,services
FMPSD-1052,LASER FOR HYPERPIGMENTATION / FRECKLE / UNIT,363,47921-00-01,services
FMPSYB0031,SOMLEC RELAXATION THERAPY,363,83700-00-00,services
FMSUR-9088,RASCIOTOMY,363,30226-00-01,services
FMDER-0107,THERMAL HOT - MASK TREATMENT   FOR MATURE SKIN,358,99999-99-99,services
FMDER-0112,DESINCRUSTATION MEDIUM AREA,358,99999-99-99,services
FMLAB-1060,"POST OP HEMOSTATIC PROFILE (PT,PTT,FIBRINOGEN)",358,73100-02-30,Laboratory
FMLAB-9021,ANTIHYALURONIDASE ABS.,358,73250-00-20,Laboratory
FMLAB-9167,FREE HAEMOGLOBIN,358,73050-18-90,Laboratory
FMLAB-9191,AMIKACIN (SERUM),358,73300-00-00,Laboratory
FMLAB-9201,BRUCELLA ABS (CSF),358,73100-19-90,Laboratory
FMLAB-9216,FOETAL HEMOGLOBIN,358,73100-07-00,Laboratory
FMLAB-9248,IGG QUANTITATIVE (CSF),358,73050-30-60,Laboratory
FMNUM-0006,ULTRASONOGRAPHY (BRAIN),358,55028-00-00,services
FMOBG-0008,COLPOSCOPY W/BIOPSY OR VAGINAL TREATMENT,358,35614-00-00,services
FMXRY-0107,FLUROSCOPY IN O.R. 15 MINUTES,358,60503-00-00,Radiology
FMANA-0008,AXILLARY PLEXUS - ANESTHESIA,352,18254-00-01,services
FMANA-0009,BRACHIAL PLEXUS - ANESTHESIA,352,18254-00-01,services
FMANA-0010,SPINAL ANESTHESIA,352,18216-31-00,services
FMANA-0011,CAUDAL ANESTHESIA,352,18216-29-00,services
FMANA-0022,SUPRA-PUBIC CATHETERIZATION,352,37011-00-00,services
FMORT-0735,LUMBAR LAMINOTOMY OR  LAMINECTO,3069,40300-00-00,services
FMLAB-1051,OSMOTIC FRAGILITY TEST (QUANTI TATIVE),352,73100-08-00,Laboratory
FMORT-0738,OPEN LUMBAR DISCECTOMY  (MULTIPLE),3069,40300-01-00,services
FMLAB-3005,CA 125,352,73100-14-00,Laboratory
FMLAB-3006,CA 15-3,352,73100-13-80,Laboratory
FMLAB-3007,CA 19-9,352,73100-13-90,Laboratory
FMLAB-4001,ACETAMINOPHEN,352,73300-03-60,Laboratory
FMLAB-4005,BENZODIAZEPINES,352,73300-06-70,Laboratory
FMLAB-4019,THEOPHYLLINE,352,73300-03-00,Laboratory
FMLAB-4036,TRAMADOL LEVEL,352,73300-09-40,Laboratory
FMLAB-9098,MYOGLOBIN (URINE),352,73050-25-10,Laboratory
FMLAB-9151,NSE (NEURO.SPEC.ENDOLASE),352,83700-00-00,Laboratory
FMLAB-9203,11 DEOXY-CORTISOL (COMPOUND S),352,73050-11-10,Laboratory
FMLAB-9218,"GENTAMICIN PEAK, SERUM",352,73300-01-20,Laboratory
FMLAB-9311,DIPTHERIA ABS,352,73100-20-90,Laboratory
FMLAB-9434,CLOZAPINE,352,73300-00-50,Laboratory
FMLAB-9453,CYSTINE PHOTOMETRIC,352,73050-10-70,Laboratory
FMLAB-9463,DICLOFENAC,352,73100-09-80,Laboratory
FMLAB-9465,DIMETRACRIN (ISTONIL),352,73300-03-00,Laboratory
FMLAB-9471,DOXEPINE/DESMETHYLDOXEPINE,352,73300-03-00,Laboratory
FMERDC0026,AMBULANCE W / NURSE & DOCTOR (MADINAH TO MAKKAH),3080,83500-00-80,services
FMLAB-9594,MEXITIL,352,73300-03-70,Laboratory
FMLAB-9607,MYELOPEROXIDASE ABS (MPO),352,73050-25-20,Laboratory
FMLAB-9612,NETILMYCIN,352,73300-03-70,Laboratory
FMLAB-9615,NITRAZEPAM (MOGADON),352,73300-08-90,Laboratory
FMLAB-9616,NOCARDIA ABS,352,73100-25-20,Laboratory
FMLAB-9632,PARATHYROID ABS,352,73050-36-30,Laboratory
FMLAB-9641,PETHIDINE CONFIRMATION,352,73300-08-30,Laboratory
FMLAB-9680,PROPAFENONE,352,73300-01-60,Laboratory
FMLAB-9707,RIFAMPICIN,352,73300-09-70,Laboratory
FMLAB-9752,TOBRAMYCIN,352,73300-03-20,Laboratory
FMORW-0125,"DROP FOOT SPLINT ""POLYMOPYLENE """,352,96092-00-00,services
FMORW-0142,SHOES SPECIAL ORTHO DENNIS BROWN,352,96092-00-00,services
FMPTD-0138,REHAB. PT. W/ VERTIGO(12 SESS) ONE MONTH,352,95550-03-00,services
FMSUR-1014,CIRCUMCISION - NB OR UNDER 6,352,30653-00-00,services
FMCAR-0014,ECHO M-MODE ONLY,347,55113-00-00,services
FMCTS-0043,EXCISION OF LYMPH NODE,347,90282-00-00,services
FMCTS-0045,ASPIRATION BIOPSY,347,38418-05-01,services
FMCTS-0079,SUPERFICIAL LYMPHNODE BIOPSY,347,30075-00-00,services
FMOPTH0013,LASER CAPSULECTOMY,3080,90077-00-01,services
FMENTL0030,SPEECH THERAPY CONSULTATION (INPATIENT),347,83600-01-50,services
FMICU-0004,INTERCOSTAL TUBE INSERTION,347,38806-00-00,services
FMINT-0057,COMPLIANCE,347,99999-99-99,services
FMLAB-1207,CBC AUTO DIFF WITH PERIPHERAL SMEAR,347,73100-01-80,Laboratory
FMLAB-3004,C.E.A.,347,73050-06-70,Laboratory
FMLAB-3035,HYDROXY PROLINE,347,73050-20-30,Laboratory
FMLAB-5005,ANTI CMV IGG,347,73100-20-70,Laboratory
FMLAB-5006,ANTI CMV IGM,347,73100-20-80,Laboratory
FMLAB-5017,ANTI-HEPATITIS C (HCV),347,73100-27-60,Laboratory
FMLAB-9093,MICROSOMAL (THYROID) ABS.,347,73100-17-20,Laboratory
FMOHU-0005,INTER COSTAL TUBE INSERTION,347,90175-04-00,services
FMPDS-0081,EMERGENCY P.SURGERY CONSUL.,347,96037-00-00,services
SUR-0012,Ischio Rectal Abscess 1 & D,3080.0000000000005,32174-02-00,Package
FMOPTE0010,TREATMENT WITH BETA RAYS,346,15000-00-00,services
FMDER-0177,BLEACHING - WHOLE BODY,341,99999-99-99,services
FMDER-0178,CELLULAR BODY WRAP,341,99999-99-99,services
FMDNTC0047,BIOPSY OF SOFT TISSUE,341,30075-01-01,services
FMDNTF0014,KETAC FILLING TWO SURFACE,341,83700-00-00,services
FMDNTI0049,H.A. GRANULES FILLER IN - MODERATE CAVITY,341,243,services
FMDNTP0053,REPAIR OF CASTING CLASP,341,97762-00-00,services
FMDNTS0007,SIMPLE EXT. REMAINING ROOT,341,97311-01-00,services
FMDNTS0022,"I & D OF INTRA-ORAL ABSCESS ""SUPERFACIAL""",341,96215-00-00,services
FMDNTS0124,DRESSING OF WOUND (LARGE),341,30055-00-30,services
FMDNTS0231,H.A. GRANULES FILLER IN SMALL  CAVITY,341,99999-99-99,services
FMLAB-3001,17-KETOSTEROIDS,341,73050-21-50,Laboratory
FMLAB-3002,17-OXOGENIC STEROIDS (17-OGS),341,73300-03-70,Laboratory
FMLAB-3022,PSA,341,73050-30-10,Laboratory
FMLAB-9036,CHLOMIPRAMINE,341,73300-05-90,Laboratory
FMLAB-9120,RENIN (P),341,73050-32-40,Laboratory
FMLAB-9223,FREE CORTISOL (URINE),341,73050-09-00,Laboratory
FMLAB-9316,LAMOTRIGIN,341,73300-01-50,Laboratory
FMLAB-9788,BASAL MEMBRANE ABS,341,90354-00-00,Laboratory
FMLAB-9849,ANTI CYCLIC CITROLLINATED PEPTIDE,341,73100-12-80,Laboratory
MS-P-000370,PLATE RECONSTRUCTION LCP 3.5MM 7X10X82 IRINE# A72490708,3080.385,61573,supplies
FMORT-0424,DRESSING OF WOUND - LARGE,341,30055-00-30,services
FMPDS-0009,CIRCUMCISSION 3 MONTHS,341,30653-00-20,services
FMPSD-1021,REMOVAL OF STITCHES UNDER SEDATION,341,92200-00-00,services
FMOPT-1020,IRIDOPLASTY (RECONSTRUCTION OF PUPIL),3102,42764-03-01,services
FMPTD-2173,HEAD UP TILLTING TEST,341,11724-00-00,services
FMSUR-1042,INCISION & DRAINAGE OF ABCESS UNDER LA,341,34512-00-00,services
FMLAB-9380,ATENOLOL (TENORMIN),336,73300-03-70,Laboratory
FMLAB-9761,TRANSKETOLASE ENZYME,336,73050-11-60,Laboratory
FMORT-0172,INTRA-ART INJ. TO SHOULDER &   MEDICATION,336,50124-01-31,services
MS-W-000402,WIRE HI-TORQUE CONNECT 250 X 195CM 0.018CM ABBOTT # 1012594,3150,58115,supplies
FMORT-0359,ZINKLEIHM BANDAGE OF KNEE,336,96092-00-00,services
FMORT-0360,ZINKLEIHM BANDAGE OF ANKLE,336,96092-00-00,services
FMORT-0362,ABOVE ELBOW SLAB,336,96092-00-00,services
FMORT-0363,BELOW KNEE SLAB,336,96092-00-00,services
FMORT-0365,FOREARM CIRCULAR CAST,336,96092-00-00,services
FMORT-0372,DESAULETTE BANDAGE,336,96092-00-00,services
FMORT-0391,PARAVETEBRAL INJ. W/ MEDICINE,336,39013-00-00,services
FMORT-0397,LEUCOTAP BANDAGE,336,96092-00-00,services
FMORT-0447,RECONS.OF AMP.FINGER W/O GRAFT,336,46444-00-01,services
FMORT-0448,MANIPULATION OF STEEL JOINT UNDER G.A.,336,50115-00-00,services
FMORT-0534,ULTRASOUND OF INFANT HIP[,336,55816-00-01,services
FMORT-0535,ULTRASOUND OF SOFT TISSUE,336,90908-00-00,services
FMORT-0540,MALLET SPLINT,336,96092-00-00,services
FMORT-0677,"BI. ALLEOLAR FRACTURE, ANKLE",3152,47597-00-01,services
FMORT-0618,THUMB & FINGER ORTHOSIS,336,96092-00-00,services
FMORW-0012,FOREARM SLAB W/O COVER,336,96092-00-00,services
FMANA-9903,ULTRASOUND GUIDE NERVE BLOCK,330,99999-99-99,services
FMDER-0027,GONOZYME SWAB,330,73050-40-80,services
FMDER-0034,TRICHOGRAM,330,99999-99-99,services
FMDER-0225,HYDRADERMIE MACHINE(4X) FACIAL,330,83700-00-00,services
FMENTE2014,PARTIAL EXCISION & RECONSRUCTN OF THE PINNA,3190,45660-00-01,services
FMDNTLA0005,NIGHT - WITE UPPER AND LOWER,330,965,services
FMDNTLA0006,NIGHT - GURD UPPER AND LOWER,330,965,services
FMDNTP0150,DURAPHAT,330,123,services
FMDNTP0162,PULP CAPPING *,330,97411-00-00,services
FMDNTP0167,COMPOSITE VENEER *,330,97582-01-00,services
FMDNTS-0012,S.TISSUE IMPAC 3RD MOLLAR,330,322,services
FMENTE6028,REVISING A MAP FOR COCHLEAR IMPLANT,330,96092-00-00,services
FMENTE9912,TINNITUS MATCHING TEST,330,96065-00-00,services
FMENTE9913,TINNITUS MEASURING TEST,330,96065-00-00,services
FMENTE3014,RECONSTRUCTION OF EXTERNAL EAR EAR STENOSIS,3190,45660-00-01,services
FMENTS0010,TRANSANTRAL APPROACH FOR CORR- ECTION BLOW-OUT FRACT. ORBIT,3190,45590-00-01,services
FMERDV0006,HOTEL CONSULTATION,330,83600-00-00,services
FMENTS0015,TRANSNASAL ETHMOIDECTOMY,3190,41737-02-00,services
FMOPTF0006,COBINED GLAUCOMA & CATARACT,3190,42701-00-01,services
FMOPTF0007,COMPLICATED CATARACT,3190,42701-00-01,services
FMPSD-1039,FRACTURE MENDIBLE TWO SITES FIXATION,3190,47756-00-01,services
FMLAB-3030,VIT B 12,330,73050-10-40,Laboratory
FMLAB-3048,KEPRA LEVEL (LEVETIRAZETAM),330,73050-29-80,Laboratory
FMLAB-5018,ANTI-HEPATITIS DELTA ABS,330,73100-22-80,Laboratory
FMLAB-5026,CHLAMYDIA TR. ABS,330,73050-51-80,Laboratory
FMLAB-5036,HEPATITIS DELTA AG,330,73050-49-20,Laboratory
FMLAB-5043,HIV,330,73050-49-40,Laboratory
FMLAB-5068,"BRUCELLA (IGG,IGM) ELIZA TECHNIQUE",330,73100-19-90,Laboratory
FMLAB-6075,GLIADINE ABS,330,73050-14-10,Laboratory
FMLAB-8031,ALUMINIUM(U),330,73050-02-00,Laboratory
FMLAB-9017,ANGIOSTENSIN-1 CONVERTING ENZYME (ACE),330,73050-03-50,Laboratory
FMLAB-9024,BUCCAL SMEAR (J),330,73050-44-30,Laboratory
FMLAB-9088,LIVER/KIDNEY MEMBRANE ABS[LKM],330,73250-00-20,Laboratory
FMLAB-9146,PYRUVATE,330,73050-31-70,Laboratory
FMLAB-9171,TRICHNOSIS ABS,330,73100-26-80,Laboratory
FMLAB-9268,TPA(TISSUE POLYPEPTIDE ANTIGEN ),330,83700-00-00,Laboratory
FMPSDF0006,ABDOMINAL OR PECTORAL FLAP TO  THUMB (1ST STAGE),3190,45221-01-00,services
FMLAB-9353,ALUMINUM (DIALYSATE OR WATER),330,73050-02-00,Laboratory
FMLAB-9377,ASPERGILLUS FUMIGATUS METABOLI C ABS,330,73100-19-10,Laboratory
FMLAB-9378,ASPERGILLUS FUMIGATUS SOMATIC  ABS,330,73100-19-10,Laboratory
FMLAB-9412,CARDIAC MUSCLE ABS,330,73250-00-20,Laboratory
FMLAB-9475,ECP (EOSINOPHIL CATIONIC PROTE IN),330,73400-01-20,Laboratory
FMLAB-9540,IGA SECRETOR ABS,330,73050-14-10,Laboratory
FMLAB-9584,MACA (TUMOUR MARKER),330,73350-07-10,Laboratory
FMLAB-9586,MENINGITIS SCREEN,330,73100-25-10,Laboratory
FMLAB-9608,MYOCARDIAL ABS,330,73250-00-20,Laboratory
FMLAB-9685,PROTEIN (F),330,73050-30-40,Laboratory
FMLAB-9693,PROTRIPTHYLINE,330,73300-05-60,Laboratory
FMLAB-9786,ZINC PROTOPORPHYRINS,330,73050-28-80,Laboratory
FMLAB-9876,TRYPTASE,330,73050-11-60,Laboratory
FMNUM-0024,EMG COMP. 2 NURSE,330,11012-00-00,services
FMSUR-2066,LOCAL EXCISN OR DESTRUCTION OF LESION OR TISSUE OF RECTUM,3190,90341-00-00,services
FMOBG-0048,REMOVAL ENCERCLAGE SUTURE G.A.,330,16512-00-00,services
FMODT-0052,ORTHODONTIC FOLLOWUP TYPE I,330,99999-99-99,services
FMSUR-2115,TRANSDUCTINAL AMPUTATION SPINCTEROTOMY,3190,30458-01-00,services
FMSUR-2118,CHOLESYSTOGASTROENTERIC FISTULECTOMY,3190,90304-00-00,services
FMSUR-2128,TRANSDUCTINAL AMPUTATION & SPHINCTEROPLASTY,3190,32126-00-00,services
FMPSDP0002,CLEANING EXTRA (COURSE 4 TIMES 800),330,99999-99-99,services
FMPSDP0020,PATH STEAM,330,22065-00-60,services
FMSUR-4016,SUPERFICIAL PAROTEDECTOMY,3190,30253-00-00,services
FMXRY-0202,BA. SWALLOW (ESOP) DOUBLE CONT,330,58909-00-00,Radiology
FMXRY-0214,OPER. OR POST OP CHOLANGIOGRAM,330,58927-00-00,Radiology
FMXRY-0219,URETHROGRAM,330,58718-01-00,Radiology
FMXRY-0265,VOIDING CYSTOURETEROGRAM(VCUG),330,61397-00-00,Radiology
FMXRY-0500,ULTRASOUND THYROID,330,55032-00-00,Radiology
FMXRY-0501,ULTRASOUND UPPER ABDOMEN OR PELVIS,330,55036-00-00,Radiology
FMXRY-0503,ULTRASOUND BREAST,330,55070-00-00,Radiology
FMXRY-0504,ULTRASOUND SOFT TISSUE,330,90908-00-00,Radiology
FMXRY-0506,ULTRASOUND TESTES,330,55048-00-00,Radiology
FMXRY-0511,ULTRASOUND DIAGONOSTIC ONE ORGAN,330,90908-00-00,Radiology
FMXRY-0529,ULTRASOUND DOPPLER FOR MESENTRIC ARTERY,330,55276-00-00,Radiology
FMXRY-0532,ULTRASOUND DOPPLER FOR ONE VESSEL,330,90911-00-00,Radiology
FMXRY-0903,ADDITIONAL POSITION,330,99999-99-92,Radiology
FMOBG-0065,A.I.H.,329,16512-00-00,services
FMOPTC0001,EXCISN OF SMALL CHALAZION,329,42575-00-01,services
FMDER-0044,KERATOLITIC APPLICATION - ARM,325,90660-00-00,services
FMURO-0031,RENAL CYST RESECTION,3190,36558-01-00,services
FMDER-0068,SENSITIVITY TEST,325,12000-00-00,services
FMDER-0116,STRETCH MARK TREATMENT PER TREATMENT,325,99999-99-99,services
FMDER-0119,CELLULITE TREATMENT PER TREAT.,325,99999-99-99,services
FMDER-0123,WEIGHT REDUC. BY DEEP HEAT METHOD AND BODY WRAP PER TREAT,325,92178-00-90,services
FMDER-0189,MICRO-DERMABRADER PROCEDURE SMALL,325,99999-99-99,services
MS-P-003791,PLATE RECONSTRUCTION CURVED 3.5X88MM 6 HOLE SYNTHES#245.906 SYNTHES # 245.906,3243.1875,61573,supplies
FMDER-0208,AGE JEUNESSE EYE WRINKLE PER   TREATMENT,325,99999-99-99,services
FMDNTO0041,ORTHODONTIC STUDY MODELS,325,97071-00-00,services
FMDNTO0042,PHOTOCCLUSSION ANALYSIS,325,97221-00-00,services
FMDNTO0043,CEPHALOMETRIC COMPUTER ANALYS.,325,97081-00-00,services
FMENTE0004,IMPEDANCEMETRY (T + ART + ARD),325,11324-00-01,services
FMENTE0006,SPECIAL TEST BATTERY,325,99999-99-99,services
FMENTE3004,TREATMENT OF OTOMYCOSIS-BILAT.,325,90111-00-02,services
FMORT-0619,CLOSED REDUCTION AND INTERNAL FIXATION OF TIBIA (ILN),3267,47546-01-01,services
FMENTP2003,INCISION & DRAINAGE OF TONSIL- LAR ABSCESS,325,41807-00-00,services
FMENTP2004,INCISION & DRAINAGE OF PERIT-  ONSILLAR ABSCESS,325,41807-00-00,services
FMERDA0021,HOME VISIT BY G.P. ON DUTY,325,96237-00-30,services
FMLAB-9287,BETA-HYDROXY-BUTRATE,325,73000-01-30,Laboratory
FMLAB-9338,ACETYSALICYLIC ACID,325,73300-09-70,Laboratory
FMLAB-9511,HAEMOGLOBIN FREE,325,73050-18-90,Laboratory
FMLAB-9571,LODOCAINE,325,73300-01-60,Laboratory
FMLAB-9701,RABA ABS,325,73050-26-80,Laboratory
FMLAB-9720,SMALL BOWEL MUCOSA ABS,325,73050-14-10,Laboratory
FMLAB-9725,SPECIFIC GRAVITY,325,73050-33-70,Laboratory
FMLAB-9772,VASCULAR ABS,325,73250-00-20,Laboratory
FMORW-0096,FOREARM SLAB WITH COVER,325,96092-00-00,services
FMORW-0097,ABOVE ELBOW ORTHO. W/O COVER,325,96092-00-00,services
FMSUR-3033,CAROTID DOUPLEX,325,55113-00-00,services
FMURO-0058,DIAGNOSTIC SONOGRAPHY,325,90908-00-11,services
FMXRY-0612,TELERADIOLOGY CONSULTATION -   X-RAY MAMMOGRAPHY,325,83600-03-50,Radiology
FMLAB-9759,TPA (TISSUE POLYPEPTIDE AG.),322,73350-02-50,Laboratory
FMLAB-9760,TPS (TISSUE POLYPEPTIDE SPEC.  AG.),322,73250-01-20,Laboratory
FMLAB-2142,ANTI THYROGLUBULIN,319,73100-27-50,Laboratory
FMLAB-5084,H. PYLORI AG IN STOOL,319,73050-48-80,Laboratory
FMLAB-6053,SEMEN EXAMINATION,319,73400-03-30,Laboratory
FMLAB-8011,SLIDE SCREENING REFERRAL,319,73200-07-60,Laboratory
FMLAB-9204,17 - HYDROXY CORTICOSTEROIDS,319,73050-19-90,Laboratory
FMLAB-9228,AMYLASE ISOENZYME,319,73050-03-00,Laboratory
FMLAB-9252,SOLUBLE LIVER AG,319,73250-00-20,Laboratory
FMLAB-9498,FRANCISELLA TULARENSIS ABS,319,73100-21-90,Laboratory
FMLAB-9518,HBF CELLS (KLEUHAUER BETKE),319,73100-07-00,Laboratory
FMLAB-9633,PARATHYROID  TISSUE ABS,319,73050-26-70,Laboratory
FMLAB-9679,PROZAMINE,319,73300-06-30,Laboratory
FMLAB-9742,TETRAHYDROCORTISONE,319,73050-09-10,Laboratory
FMLAB-9746,THYMUS ABS,319,90045-00-00,Laboratory
FMLAB-9749,THYROID COLLOID ABS,319,73050-35-40,Laboratory
FMOPTA0028,SCREENING PERIMETRY,319,96040-00-00,services
FMPSD-0026,CIRCUMCISIONS,319,30653-00-00,services
FMPSD-1028,DRESSING UNDER GA (MINOR),319,30055-00-00,services
FMPTD-2155,Cupping Therapy,319,96162-00-00,services
FMXRY-0065,"BOTH KNEES AP.,LAT.",319,57518-01-12,Radiology
FMXRY-0093,PANORAMA & CEPHALO 1 VIEW,319,57930-00-00,Radiology
FMXRY-0100,COMPLETE LIMB ONE SIDE,319,57524-02-01,Radiology
FMXRY-0201,OESOPHAGOGRAM-DOUBLE CONT.,319,58909-00-00,Radiology
FMLAB-9053,DNA BINDING (AG),317,73250-00-20,Laboratory
FMLAB-9417,CH 100 COMPLEMENT,314,73100-12-60,Laboratory
FMLAB-9755,TOTAL COMPLEMENT (CHI00),314,73100-12-60,Laboratory
FMORT-0686,PARAPLEGIC CONSULTATION,314,95550-02-00,services
FMPSD-1024,REMOVAL OF TIE OVER DRESSING (OPD) MINOR,314,96094-00-00,services
FMENDE0038,E.S. WITH STONE EXTRACTION,3278,30485-01-00,services
FMANA-0017,INSERTION OF SUB-CLAVIAN CATH.,308,13815-00-00,services
FMANA-0054,NITROUS OXIDE - 1/2 TANK,308,92210-00-00,services
FMDNTS0267,OPEN REDUCTION+MINIPLATE FIXATION SIMPLE,3289,359,services
FMENTL0023,DELAYED SPEECH & LANG.DEVELOP- MENT,308,95550-05-00,services
FMENTO0003,SUTURE OF LACERATION OF SOFT - PALATE,308,30029-00-10,services
FMERDA0030,CONTROL OF EPISTAXIS BY ANTERIOR NASAL PACKING,308,41677-00-00,services
FMINT-0006,ABDOMINAL PARACENTESIS,308,30406-00-00,services
FMINT-0031,PLEURAL BIOPSY,308,38418-01-01,services
FMLAB-1152,"L F T(L.F.T,SGOT,SGPT,LDH,BILIBURN,TOTAL PROTEIN,A",308,73000-00-90,Laboratory
FMLAB-9087,LIVER MEMBRANE ABS (B),308,73250-00-20,Laboratory
FMLAB-9186,ANTI BASAL MEMBRANE,308,83700-00-00,Laboratory
FMLAB-9352,APRAZOLAM,308,73300-06-70,Laboratory
FMLAB-9364,ANTI HU,308,73100-21-00,Laboratory
FMLAB-9493,FLUORIDE (S.U),308,73050-13-30,Laboratory
FMLAB-9500,FUROSEMIDE,308,73300-03-70,Laboratory
FMLAB-9602,MUMPS IGG & IGM,308,73100-24-90,Laboratory
FMLAB-9663,PREGNANTRIOL,308,73050-29-40,Laboratory
FMLAB-9678,PROINSULIN,308,73050-31-50,Laboratory
FMLAB-9762,TRAZODONE,308,73300-05-60,Laboratory
FMLAB-9765,TRIMIPRAMINE,308,73300-05-90,Laboratory
FMLAB-9955,HLA-B-27 (HISTOCOMPATIBILITY ANTIGE,308,73100-28-20,Laboratory
FMNBD-0003,TICU(INCUBATOR MONITOR OXYGEN),308,92044-00-00,services
FMDNTS0277,SEQUESTRECTOMY LARGE,3289,332,services
FMOBG-0068,PRE-NATAL PROGRAM 6 SESSION,308,35507-01-00,services
FMOBG-0138,PUDENDAL BLOCK ANAESTHESIA,308,92510-99-00,services
FMORD-0002,MEDIUM BONE (BONE BANK),308,90594-00-00,services
FMPDT-0011,INSERTION OF UMBILICAL CANNULA AND STERILE BANDAGING,308,13303-00-00,services
FMPDT-0078,CONT.CONTROL OF PULSE BY MONITOR UP TO 24 HRS,308,11722-00-00,services
FMPDT-0099,PSYCHP. CONS.INCLUDING PRNTS.  DISTURBED BEHAVIOR 1 SESSION,308,96237-00-00,services
FMORT-0174,REPAIR OF PARS DEFECT,3289,48678-00-00,services
FMPDT-0143,INCUBATOR 5 TO 24 HRS,308,83610-03-00,services
FMPDT-0145,CONT. CNTRL.PLSE. ECG 5-12 HRS,308,11708-00-00,services
FMPDT-0155,"SCHL.STUD,PAED,CLIN.DNT,OPT,   CBC, STOOL & URINE ANALYSIS",308,96037-00-00,services
FMPDT-0159,PULSE OXIMETER 12 - 24 HOURS,308,11600-03-00,services
FMPSD-0029,"REMOVAL OF FIXATION (SCREWS, PLATES, WIRES ETC.)",308,47927-00-01,services
FMPSYA0028,WEISLER - BELLEVUE TEST,308,92204-00-00,services
FMPSYA0029,STANDFORD BINNET TEST,308,96037-00-00,services
