Service Code,Service Description,Price,Gross/Net,Discount %,Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
7128085,BX HISTOPATH. FOR ESOPHAGEAL + 2 SP STAINS ,710.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128086,BX HISTOPATH. FOR GASTRIC / ANTRAL / PYLORIC + 2 SP STAINS ,710.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128087,BX HISTOPATH. FOR  LIVER + 3 SP STAINS,810.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128088,BX HISTOPATH. FORLYMPH NODE + 1 SP STAINS ,610.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128089,BX HISTOPATH. FOR  SKIN + 3 SP STAINS,810.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128090,BX HISTOPATH. FOR RENAL + 3 SP STAINS ,810.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128091,BX HISTOPATH. FOR TESTICULAR  + 1 SP STAINS (ONE SIDE),610.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128092,BX HISTOPATH. FOR NASAL POLYP + 1 SP STAINS  (ONE SIDE),610.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128093,BX HISTOPATH. FORM PERITONEAL MASS OR CYST (5-10 CM),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128094,BX HISTOPATH. FORM PROSTATE TRUS (5-10 SEPARATE CONTAINERS),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-50,"Surgical pathology -level ii , gross and microscopic examination appendix, incidental fallopian tube, sterilization fingers/toes, amputation, traumatic foreskin, newborn hernia sac, any location hydrocele sac nerve skin, castration vaginal mucosa, incidental vas deferens, sterilization"
7128095,BX HISTOPATH. FORM MULTIPLE SCROTAL NODULES (5-10),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-50,"Surgical pathology -level ii , gross and microscopic examination appendix, incidental fallopian tube, sterilization fingers/toes, amputation, traumatic foreskin, newborn hernia sac, any location hydrocele sac nerve skin, castration vaginal mucosa, incidental vas deferens, sterilization"
7128096,BX HISTOPATH. FORM MYOMECTOMIES MULTIPLE (5-10 FIBROIDS),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128097,BX HISTOPATH. FORM OVARIAN CYST (ONE SIDE),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-60,"Surgical pathology - level iii , gross and microscopic examination abortion, induced abscess aneurysm - arterial/ventricular anus, tag appendix, other than incidental artery, atheromatous plaque bartholin's gland cyst bone fragment(s), inflammatory - nasal/sinusoidal skin - cyst/tag/debridement soft tissue, debridement soft tissue, lipoma spermatocele tendon/tendon sheath testicular appendage thrombus or embolus tonsil and/or adenoids varicocele vas deferens, other than sterilization vein, varicosity"
7128098,BX HISTOPATH. FORM SUBTOTAL HYSTECTOMY,840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128099,BX HISTOPATH. FORM UNILATERAL OOPHRECTOMY ± TUBE,840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128100,BX HISTOPATH. FORM PELVIC MASS (5-10 CM),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128101,BX HISTOPATH. FORM PELVIC CYST (5-10 CM),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128102,BX HISTOPATH. FORM PLACENTA,840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-50,"Surgical pathology -level ii , gross and microscopic examination appendix, incidental fallopian tube, sterilization fingers/toes, amputation, traumatic foreskin, newborn hernia sac, any location hydrocele sac nerve skin, castration vaginal mucosa, incidental vas deferens, sterilization"
7128103,BX HISTOPATH. FORM BROAD LIGAMENT MASS OR CYST,840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128104,BX HISTOPATH. FORM AMPUTATION (ONE TOE),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-50,"Surgical pathology -level ii , gross and microscopic examination appendix, incidental fallopian tube, sterilization fingers/toes, amputation, traumatic foreskin, newborn hernia sac, any location hydrocele sac nerve skin, castration vaginal mucosa, incidental vas deferens, sterilization"
7128105,BX HISTOPATH. FORM AMPUTATION (ONE FINGER ),840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-50,"Surgical pathology -level ii , gross and microscopic examination appendix, incidental fallopian tube, sterilization fingers/toes, amputation, traumatic foreskin, newborn hernia sac, any location hydrocele sac nerve skin, castration vaginal mucosa, incidental vas deferens, sterilization"
7128106,BX HISTOPATH. FORM PART OF DIABETIC FOOT,840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-50,"Surgical pathology -level ii , gross and microscopic examination appendix, incidental fallopian tube, sterilization fingers/toes, amputation, traumatic foreskin, newborn hernia sac, any location hydrocele sac nerve skin, castration vaginal mucosa, incidental vas deferens, sterilization"
7128107,BX HISTOPATH. FOR M SUBTOTAL THYROIDECTOMY,840.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128108,BX HISTOPATH. FORB SLEEVE GASTROSTOMY,1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-40,"Surgcal pathology- level i,gross examination only"
7128109,BX HISTOPATH. FORB JEJUNECTOMY (PARTIAL),1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128110,BX HISTOPATH. FORB HEMICOLECTOMY,1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128111,BX HISTOPATH. FORB COLORECTAL EXCISION (PARTIAL),1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128112,BX HISTOPATH. FORB GASTROSTOMY,1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128113,BX HISTOPATH. FORB PANCREATECTOMY (PARTIAL),1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
7128114,BX HISTOPATH. FORB MANDIBLECTOMY (PARTIAL),1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-60,"Surgical pathology - level iii , gross and microscopic examination abortion, induced abscess aneurysm - arterial/ventricular anus, tag appendix, other than incidental artery, atheromatous plaque bartholin's gland cyst bone fragment(s), inflammatory - nasal/sinusoidal skin - cyst/tag/debridement soft tissue, debridement soft tissue, lipoma spermatocele tendon/tendon sheath testicular appendage thrombus or embolus tonsil and/or adenoids varicocele vas deferens, other than sterilization vein, varicosity"
7128115,BX HISTOPATH. FORB SALIVARY GLAND EXCISION,1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-70,"Surgical pathology-level iv , gross and microscopic examination abortion - spontaneous/missed artery, biopsy bone marrow, biopsy bone exostosis brain/meninges, other than for tumor resection breast, biopsy, not requiring microscopic evaluation of surgical margins breast, reduction mammoplasty bronchus, biopsy cell block, any source cervix, biopsy colon, biopsy duodenum, biopsy endocervix, curettings/biopsy endometrium, curettings/biopsy esophagus, biopsy extremity, amputation, traumatic fallopian tube, biopsy fallopian tube, ectopic pregnancy femoral head, fracture fingers/toes,  uterine myomectomy - without uterus lip, biopsy/wedge resection lung, transbronchial biopsy lymph node, biopsy muscle, biopsy nasal mucosa, biopsy nasopharynx/oropharynx, biopsy nerve, biopsy odontogenic/dental cyst omentum, biopsy ovary with or without tube, non-neoplastic ovary, biopsy/wedge resection parathyroid gland peritoneum, biopsy pituitary tumor placenta, other than third trimester pleura/pericardium - biopsy/tissue polyp, cervical/endometrial polyp, colorectal polyp, stomach/small intestine prostate, needle biopsy prostate, tur salivary gland, biopsy sinus, paranasal biopsy skin, other than cyst/tag/debridement/plastic repair small intestine, biopsy soft tissue, other than tumor/mass/lipoma/debridement spleen stomach, biopsy synovium testis, other than tumor/biopsy/castration thyroglossal duct/brachial cleft cyst tongue, biopsy tonsil, biopsy trachea, biopsy ureter, biopsy urethra, biopsy urinary bladder, biopsy uterus, with or without tubes and ovaries, for prolapse vagina, biopsy vulva/labia, biopsy"
7128116,BX HISTOPATH. FORB LARYNGECTOMY (PARTIAL),1500.0,Gross,15.0,yes,31.0,Portal Laboratory,NP Code: 73200-06-90,"Surgical pathology - level vi , gross and microscopic examination bone resection breast, mastectomy - with regional lymph nodes colon, segmental resection for tumor colon, total resection esophagus, partial/total resection extremity, disarticulation fetus, with dissection larynx, partial/total resection - with regional lymph nodes lung - total/lobe/segment resection pancreas, total/subtotal resection prostate, radical resection small intestine, resection for tumor soft tissue tumor, extensive resection stomach - subtotal/total resection for tumor testis, tumor tongue/tonsil -resection for tumor urinary bladder, partial/total resection uterus, with or without tubes and ovaries, neoplastic vulva, total/subtotal resection"
