Unified Codes,Unified Descr.,LOS, SBS Codes,type,Gross Price,Unnamed: 6
FMOPT-4211,Pars Plana Vitrectomy+ Band Insertion,1,42725-00-01,PKG,12500,
FMOPT-4212,Scleral Buckling,1,42776-00-01,PKG,8500,
FMOPT-4213,Endolaser Photocogulation,1,42809-01-01,PKG,3500,
FMOPT-4214,Intra Ocular Gas Injection,1,42740-02-01,PKG,6000,
FMOPT-4215,Readmission For Revision Of Operation,1,90061-00-01,PKG,2500,
FMOPT-4216,Admission For Medical Treatment For Emergencies Excluding Medication,1,90061-00-01,PKG,2000,
FMOPT-4222,Intravitreal Injection WithOUT Medication,,42740-02-02,PKG,1800,
FMOPT-4223,LENS ASPIRATION + SPECIAL LENS ,DAY CASE,90089-00-01,PKG,11200,
FMOPT-4224,COMPLICATED WEAK ZONULES CATARACT EXTRACTION + CAPSOULAR TENsioN RING (CTR) ,DAY CASE,90089-00-01,PKG,8800,
FMOPT-4225,COMPLICATED SUBLAXATED CATARACT LENS EXTRACTION ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4226,COMPLICATED PHACO WITH RELEASE OF POSTERIOR SYNECHIAE ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4227,COMPLICATED INTUMESCENT CATARACT EXTRACTION ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4228,COMPLICATED CATARACT REMOVAL WITH CORNEAL SCARING ,DAY CASE,90066-00-01,PKG,7600,
FMOPT-4229,COMPLICATED PHACO WITH POSTERIOR POLAR CATRACT WITHOUT ANTERIOR VITRECTOMY ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4230,CATARACT EXTRACTION FOR VITRECTOMIZED EYE ,DAY CASE,90089-00-01,PKG,8400,
FMOPT-4231,CATARACT EXDTRACTION BY PHACO WITH SPECIAL IOL IMPLANTATION ,DAY CASE,90089-00-01,PKG,11200,
FMOPT-4232,CATARACT EXTRACTION + KERATOTOMY ,DAY CASE,90089-00-01,PKG,7120,
FMOPT-4233,LENSECTOMY + IOL IMPLANTATION+ANTERIOR VITRECTOMY ,DAY CASE,90089-00-01,PKG,8800,
FMOPT-4234,CATARACT NIGRA REMOVAL ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4235,WHITE CATARACT EXTRACTION + ANTERIOR CAPSULE STAIN ,DAY CASE,90089-00-01,PKG,7840,
FMOPT-4236,LENS ASPIRATION ,DAY CASE,90089-00-01,PKG,5600,
FMOPT-4237,AHMED  VALVE IMPLANTATION ,DAY CASE,90089-00-01,PKG,9600,
FMOPT-4238,PHACO + PC IOL + TRABECULECTOMY ,DAY CASE,90089-00-01,PKG,8800,
FMOPT-4239,COMPLICATED VIT + PHACO + IOL ,DAY CASE,90089-00-01,PKG,15600,
FMOPT-4240,EXCHANGE OF IOL WITH OUT IOL ,DAY CASE,90089-00-01,PKG,5200,
FMOPT-4241,"PPV , LENS MATERIAL OR DISLOCATED IOL REMOVAL & SCLERAL FIXATION IOL ",DAY CASE,90089-00-01,PKG,15600,
FMOPT-4242,PARSPLANA LENSECTOMY + VITRECTOMY+ RETINAL DETACHMENT+ SCLERAL BUCKLE ,DAY CASE,90089-00-01,PKG,17200,
FMOPT-4243,SILICONE OIL REMOVAL WITH VITRECTOMY ,DAY CASE,90089-00-01,PKG,14800,
FMOPT-4244,REPEATED RETINAL DETACHMENT REPAIRED ,DAY CASE,90089-00-01,PKG,15600,
FMOPT-4245,SIMPLE VIT. + PHACO ,DAY CASE,90089-00-01,PKG,14800,
FMOPT-4246,COMPLICATED DIABETIC VITRECOY + anti VEGF injection  ,DAY CASE,90089-00-01,PKG,15840,
FMOPT-4247,SIMPLE DIABETIC VTIRECTOY + anti VEGF injection ,DAY CASE,90089-00-01,PKG,15040,
FMOPT-4248,VITREOUS TAP AND ANTIBIOTIC INJECATION ,DAY CASE,90089-00-01,PKG,2800,
FMOPT-4249,INDIRECT LASER TREATMENT FOR RETINAL ABNORMALITIES - ONE EYE ,DAY CASE,90089-00-01,PKG,4400,
FMOPT-4250,PATTERN FOCAL & GRID MACULAR LASER (1 EYE) ,DAY CASE,90089-00-01,PKG,4000,
FMOPT-4251,LASER PANRETINAL PHOTO. (1EYE/MULTIPLE SITTINGS) ,DAY CASE,90089-00-01,PKG,4000,
FMOPT-4252,VITREO RETINAL READJUSTMENT ,DAY CASE,90089-00-01,PKG,4400,
FMOPT-4253,PKP + ECCE + PC IOL (8250 CORNEAL) ,DAY CASE,90066-00-01,PKG,18800,
FMOPT-4254,Descemet's stripping automated  endothelial keratoplasty (DSAEK) ,DAY CASE,90089-00-01,PKG,19600,
FMOPT-4255,CORRECTION OF MYOPIA WITH TORIC ICL - ONE EYE ,DAY CASE,90089-00-01,PKG,9600,
FMOPT-4256,INTACS IMPLANTATION WITHOUT INTACS 1 EYE ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4257,ICL ROTATION ,DAY CASE,90089-00-01,PKG,2000,
FMOPT-4258,RECONSTRUCTION OF ORBITAL BONE FRACTURE ,DAY CASE,90089-00-01,PKG,10000,
FMOPT-4259,BRAW PLASTY ONE EYE ,DAY CASE,90089-00-01,PKG,7840,
FMOPT-4260,UNILATERAL FULL MYECTOMY OF LOWER LID ,DAY CASE,90086-00-01,PKG,5200,
FMOPT-4261,CORRECTION OF LID RETRACTION ,DAY CASE,90086-00-01,PKG,6000,
FMOPT-4262,BOTOX INJECTION (T.A) ,DAY CASE,90089-00-01,PKG,1600,
FMOPT-4263,EXCISION OF LID TUMOR WITH RECONSTRUCTION USING FLAP OR GRAFT ,DAY CASE,90086-00-01,PKG,6240,
FMOPT-4264,OPERATION ON 2 EXT. MUSCLE + ADJUSTABLE ,DAY CASE,90089-00-01,PKG,7600,
FMOPT-4265,OPERATION ON MORE THAN 2 EXT. MUSCLE ,DAY CASE,90089-00-02,PKG,9200,
FMOPT-4266,OPERATION ON 2 EXTRAOCULAR MUSCLE ,DAY CASE,90089-00-01,PKG,6960,
FMOPT-4267,OPERATION ON SUPERIOR OBLIQUE MUSCLE ,DAY CASE,90089-00-01,PKG,6000,
FMOPT-4268,ADVANCEMENT OF EXT. MUS. ( 1 MUS.) ,DAY CASE,90089-00-01,PKG,4800,
FMOPT-4269,BILATERAL SQUINT REPAIR ONE MUSCLE UGA ,DAY CASE,90089-00-01,PKG,9600,
FMOPT-4270,BILATERAL SQUINT  REPAIR TWO MUSCLES UGA ,DAY CASE,90089-00-02,PKG,13600,
FMOPT-4271,BILATERAL SQUINT REPAIR THREE MUSCLES OR MORE UGA ,DAY CASE,90089-00-01,PKG,15200,
FMOPT-4272,DEEP LAMELLAR KERATOPLASTY (D. L .KP.) ,,42659-00-01,PKG,16568.5905,
FMOPTA0002,Tonometry,,92016-00-01,services,117,
FMOPTA0003,Slit Lamp,,42503-00-01,services,160,
FMOPTA0004,Fundus Examination,,42503-00-01,services,150,
FMOPTA0005,Prescription For Glasses,,96024-00-00,services,201,
FMOPTA0006,Gionioscopy,,42503-00-01,services,168,
FMOPTA0007,Perimetry (Visual Field),,96040-00-00,services,960,
FMOPTA0008,Fluroscein Angiography - One Eye,,96188-00-00,services,650,
FMOPTA0009,Biometry - One Eye,,55030-00-21,services,970,
FMOPTA0010,Fundus Photography,,96188-00-00,services,311,
FMOPTA0011,Eye Dressing,,96092-00-00,services,135,
FMOPTA0012,Eye Suture Removal,,42668-00-01,services,277,
FMOPTA0014,RETRUBULBER ANAESTHESIA,,18240-00-01,services,511,
FMOPTA0016,Opthalmic Pachymetry,,42503-00-01,services,730,
FMOPTA0018,Corneal Topography (Pentacam) - One Eye,,90067-00-31,services,712,
FMOPTA0019,Hess Test,,83700-00-00,services,290,
FMOPTA0020,Synptophore Examination,,96044-00-01,services,258,
FMOPTA0021,Multivision Contrast Test,,96039-00-00,services,258,
FMOPTA0025,Keratometry,,83700-00-00,services,75,
FMOPTA0026,Refraction Test,,96043-00-01,services,65,
FMOPTA0027,Schirmer'S Test,,83700-00-00,services,250,
FMOPTA0055,Biometry - Two Eyes,,55030-00-22,services,1500,
FMOPTA0056,Corneal Topography (Pentacam) - Two Eyes,,90067-00-31,services,1350,
FMOPTB0003,Tinted Contact Lens (Two),,96092-00-20,services,1385,
FMOPTB0006,Extended Wear Contact Lens(One),,96092-00-20,services,580,
FMOPTB0008,Therapeutic Contact Lens (One),,96092-00-20,services,1435,
FMOPTB0013,Acuvue Disposable Lens,,83700-00-00,services,290,
FMOPTB0016,Cosmetic Contact Lens(Two),,96092-00-20,services,3195,
FMOPTB0018,Hard Contact Lens (Two),,96092-00-20,services,3890,
FMOPTC0002,Excision Of Chalazion - Large,,42575-00-01,services,732,
FMOPTC0003,Excision Of Chalazion - Multiple,,42575-00-01,services,1432,
FMOPTC0004,Incision Of Eyelid Stye,,90084-00-01,services,439,
FMOPTC0005,Excision Of Minor Lesion Of Eyelid,,31230-00-01,services,783,
FMOPTC0006,Excision Of Major Lesion Of Eyelid,,90086-00-01,services,2535,
FMOPTC0011,Other Repair Of Eyelid,,90085-00-01,services,2957.715,
FMOPTC0013,MAJOR LID LACERATION,,30052-01-01,services,1845,
FMOPTC0018,Eye Lid Electrolysis (Both Eyes),,42587-04-02,services,482,
FMOPTC0019,Epilaiton Of The Eyelashes,,90086-00-01,services,205,
FMOPTC0022,Lash Removal By Argon Laser,,90076-02-01,services,3570,
FMOPTD0002,REMVL OF MULTIPLE CONJ. F.B.,,30061-04-01,services,508,
FMOPTD0003,REMVL OF EMBEDED F.B. OF CONJ. BY INCISION,,42644-03-01,services,942,
FMOPTD0004,REPAIR OF MILD CONJ. LACERATN,,42632-02-01,services,633,
FMOPTD0007,Subconjunctival Injection,,42824-01-01,services,194,
FMOPTD0008,PICKING OF P.T.D.,,42587-04-01,services,633,
FMOPTD0010-O,Removal Of Conjunctiva Cyst - Large,,42683-00-01,services,2315,
FMOPTD0011,REMVL OF CONJ. PAPILLAE OF     SPRING CATARRH,,42683-00-01,services,942,
FMOPTE0001,Foreign Body Removal - Superficial,,30061-04-01,services,342,
FMOPTE0002,SUPERFICIAL MULTI.CORNEAL F.B.,,30061-04-01,services,593,
FMOPTE0003,NEGLECTED CORNEAL F.B,,30061-02-01,services,490,
FMOPTE0005,Foreign Body Removal - Deep,,42644-02-01,services,623,
FMOPTE0006,CAUTERY & SCRAPING OF CORNEAL  ULCER,,42797-03-01,services,508,
FMOPTE0010,TREATMENT WITH BETA RAYS,,15000-00-00,services,615,
FMOPTE0011,Corneal Graft Suture Removal,,42668-00-01,PKG,1104.5727,
FMOPTE0017,REPAIR OF RUPTURED GLOBE,,42554-00-00,services,7000,
FMOPTE0027,Silicon Oil Removal,,42815-00-01,services,9210,
FMOPTE0040,CROSS LINKING ONE EYE WITH ISOTONIC RIBOFLAVIN,,83700-00-00,services,7500,
FMOPTE0041,CROSS LINKING ONE EYE WITH ISOTONIC AND HYPOTONIC RIBOFLAVIN,,83700-00-00,services,9000,
FMOPTF0011,Laser Correction For Both Eyes,,90076-02-01,services,4025,
FMOPTH0008,Laser For Retinopathy 1 Setting,,90080-00-01,services,3080,
FMOPTH0009,Laser For Retinopathy 2 Setting,,42809-01-01,services,3555,
FMOPTH0010,Laser For Retinopathy 3 Setting,,42809-00-01,services,6150,
FMOPTH0012,Yag Laser Iridotomy - One Eye,,42764-00-01,services,5940,
FMOPTH0013,Laser Capsulectomy,,42734-01-01,PKG,2761.43175,
FMOPTH0014,Removal Of Mole Cyst,,31230-00-01,services,422,
FMOPTH0018,MICROPULSETRANSSCLERALCILIARYTREATMENT,,42770-00-01,services,4500,
FMOPTH0021,Micropulse Panretinal Treatment (Six Settings 1 Month),,14106-00-00,services,7462,
FMOPTH0023 ,Femtolasik For Both Eyes,1,90064-01-02,PKG,15000,
FMOPTI0006,Lacrimal Duct Probing,,42614-01-00,services,342,
FMOPTI0007,THREE SMIB OPERATION,,42593-00-01,services,342,
FMOPTL0006,Intense Pulsed Light Session (Ipl) - Both Eyes,,90111-00-01,services,525,
FMOPTL0068,Punctum Plug Implant - One Eye,,42620-00-01,services,1640,
FMOPTL0075,Punctum Plug Implant - Two Eyes,,42620-00-02,services,2120,
FMORDZ0001,Operationtheatre Charges,,83610-00-00,services,452,
FMORDZ0002,ASSISTANT SURGEON,,83600-02-40,services,1048,
FMORDZ9998,Recovery Room Fee,,83610-04-20,services,617,
FMORT-0003,Bone Graft Out Of Iliac Bone- Crest,,47726-00-01,PKG,10200,
FMORT-0005,Transplantation Of Bone To Unspec. Site,1,48239-00-00,PKG,23100,
FMORT-0006,"Transplant Bone To Scapula, Clavicle,Thorax (Ribs/Sternum)",,48239-00-00,PKG,6000,
FMORT-0007,Transplant Of Bone Graft To Humerus,,48212-00-01,PKG,18000,
FMORT-0008,Transplant Of Bone Graft To Radius & Ulna,,48218-00-01,PKG,17100,
FMORT-0009,Transplant Of Bone Graft To - Carpals & Metacarpals,,48239-00-00,PKG,2400,
FMORT-0010,Transplant Of Bone Graft To - Femur,,48200-00-00,PKG,18000,
FMORT-0011,Transplant Of Bone Graft To Patella,,48239-00-00,PKG,17100,
FMORT-0012,Transplant Of Bone Graft To Tibiaa & Fibula],,48206-00-00,PKG,17100,
FMORT-0013,Transplant Of Bone Graft To - Tarsal & Metatarsals,,48239-00-00,PKG,2400,
FMORT-0014,Transplant Of Bone Graft To Vertebrae,,48239-00-00,PKG,21240,
FMORT-0015,Bone Bank Graft,DAY CASE,48239-00-00,PKG,3675,
FMORT-0016,Bone Lengthening W/Bone Graft At Unspec. Site,,50303-00-00,PKG,19800,
FMORT-0017,Bone Lenghtening W/Bone Graft At Femur,,50303-00-00,PKG,24000,
FMORT-0018,Bone Lenghtening W/ Bone Graft At Tibia & Fibula,,50303-00-00,PKG,19800,
FMORT-0019,Bone Shortening At Unspec.Site,,90572-00-01,PKG,14580,
FMORT-0020,Bone Shortening At Femur,,48424-07-00,PKG,18000,
FMORT-0021,Bone Shortening At Tibia And Fibula,,48418-01-00,PKG,16200,
FMORT-0023,"Int. Fixatn Of One At Scapula, Clavicle,Thorax(Ribs/Sternum)",,47921-00-01,PKG,21600,
FMORT-0031,Reinsert.Of Int. Fixatn Deviceat Unspec. Site,,47921-00-01,PKG,26100,
FMORT-0032,"Reinsert.Of Int.Fixatn Device At Scapula.Clavicle,Thorax(R/S",,47921-00-01,PKG,25020,
FMORT-0034,Reinsert.Of Int. Fixatn Deviceat Radius & Ulna,,47921-00-01,PKG,21240,
FMORT-0035,Reinsert Of Int.Fixatn Deviceat Carpals & Metacarpals,,47921-00-01,PKG,21240,
FMORT-0036,Reinsert Of Int. Fixatn Deviceat Femur,,47921-00-01,PKG,25380,
FMORT-0037,Reinsert Of Int. Fixatn Deviceat Patella,,47921-00-01,PKG,21240,
FMORT-0038,Reinsert Of Int. Fixatn Deviceat Fibula & Tibula,,47921-00-01,PKG,23760,
FMORT-0039,Reinsert Of Int. Fixatn Deviceat Tarsals & Metatarsals,,47921-00-01,PKG,19980,
FMORT-0040,Revisn Of Displ.Or Broken Fix. Devise Unspec. Site,,47921-00-01,PKG,24000,
FMORT-0041,"Revisn Of Displ.Or Broken Fix. Dev.At Scapula,Clavicle,Thorax",,47921-00-01,PKG,16200,
FMORT-0042,Revisn Of Displ.Or Broken Fix. Device At Humerus,,47921-00-01,PKG,24120,
FMORT-0043,Revisn Of Displ.Or Broken Fix. Device At Radius & Ulna,,47921-00-01,PKG,22500,
FMORT-0044,Revisn Of Displ.Or Broken Fix. Device At Carpals & Metacarpal,,47921-00-01,PKG,16200,
FMORT-0045,Revisn Of Displ.Or Broken Fix. Device At Femur,,47921-00-01,PKG,24120,
FMORT-0046,Revisn Of Displ.Or Broken Fix. At Patella,,47921-00-01,PKG,18090,
FMORT-0047,Revisn Of Displ.Or Broken Fix. Device At Tarsals & Metatarsal,,47921-00-01,PKG,18720,
FMORT-0049,"Remvl Of Int. Fixatn Device At Scapula,Clavicle,Thorax (R/S)",,47921-00-01,PKG,15300,
FMORT-0050,Remvl Of Int. Fixatn Device At Humerus,,47930-00-01,PKG,13200,
FMORT-0051,Removal Of Int. Fixator At Radius And Ulna,,47930-00-01,PKG,10800,
FMORT-0052,Remvl Of Int. Fixatn Device At Carpals & Metacarpals,,47921-00-01,PKG,9600,
FMORT-0053,Remvl Of Int. Fixatn Device At Femur,,47930-00-01,PKG,13200,
FMORT-0054,Remvl Of Int. Fixatn Device At Patella,,47930-00-01,PKG,10800,
FMORT-0055,Remvl Of Int. Fixatn Device At Tarsals & Metatarsals,,47921-00-01,PKG,10800,
FMORT-0065,Closed Reduct Of Fract.W/O Int Fix. At Unspec. Site,1,99999-99-99,PKG,12600,
FMORT-0066,Closed Reduct. W/O.Int.Fix.At Radius Ulna,,47363-00-01,PKG,6480,
FMORT-0067,Closed Reduct Of Frac W/O Int. Fix Carpal,,47348-00-01,PKG,5400,
FMORT-0068,Closed Reduct Of Fract W/O Int Fix At Phalanges - Hand,,47300-00-01,PKG,7110,
FMORT-0069,Closed Reduct Of Fract W/O Int Fix At Femur,,47516-01-01,PKG,10890,
FMORT-0070,Closed Reduct Of Fract W/O Int Fix Tibia & Fibula,,47564-00-01,PKG,9000,
FMORT-0071,Closed Reduct Of Fract W/O Intfix At Tarsal & Mata,,47621-00-01,PKG,7110,
FMORT-0072,Closed Reduct Of Fract W/O Intfix At Phalanges-Foo,,47672-00-01,PKG,7110,
FMORT-0073,Closed Reduct Of Fract W/ Int. Fix At Unspec. Site,1,99999-99-99,PKG,15750,
FMORT-0074,Closed Reduct Of Fract W/ Int. Fix At Humerus,,47456-01-01,PKG,17730,
FMORT-0075,Closed Reduct Of Fract W/ Int.Fix At Carpals & Met,,47348-01-01,PKG,10380,
FMORT-0076,Cr Of Fract W/ Int.Fix At Phalanges-Hand,,47300-01-01,PKG,11430,
FMORT-0077,Closed Reduct Of Fract W/ Int.Fix At Femur,,47531-00-01,PKG,11430,
FMORT-0078,Closed Reduct Of Fract W/ Int.Fix At Tibia & Fibula,,47566-00-01,PKG,17730,
FMORT-0079,Closed Reduct Of Fract W/ Int. Fix At Tarsals & Metatarsals],,47621-01-01,PKG,11430,
FMORT-0080,Closed Reduction Of Fract/W Int.Fix.At Phalange Fo,,47672-00-01,PKG,11430,
FMORT-0081,Open Reduct Of Fract W/O Int. Fix At Unspec Site,1,99999-99-99,PKG,12600,
FMORT-0082,Open Reduct Of Fract W/O Int. Fix At Humerus,1,47429-00-01,PKG,16800,
FMORT-0083,Open Reduct Of Fract W/O Int. Fix At Radius & Ulna,1,47393-00-01,PKG,12600,
FMORT-0084,Open Reduct Of Fract W/O Int. Fix At Carpals & Metacarpals,1,47342-00-01,PKG,12600,
FMORT-0085,Open Reduct Of Fract. W/O Int.Fix At Phalanges-Hand,1,47306-00-01,PKG,12600,
FMORT-0086,Open Reduct Of Fract W/O Int. Fix At Femur,1,47528-00-01,PKG,16800,
FMORT-0087,Open Reduct Of Fract W/O Int. Fix At Tarsals & Metatarsals,1,47630-00-01,PKG,12600,
FMORT-0088,Open Reduct Of Fract W/O Int. Fix At Phalanges - Foot,1,47672-02-01,PKG,12600,
FMORT-0090,Open Reduct Of Fract W/Int Fix At Unspec Site.,,99999-99-99,PKG,21600,
FMORT-0091,Open Reduction Internal Fixation Humerus,,47429-00-01,PKG,25380,
FMORT-0092,Open Reduct Of Fract W/ Int Fix At Radius & Ulna,,47393-01-01,PKG,21600,
FMORT-0093,Open Reduct Of Fract W/ Int Fix At Carpals & Metac,,47351-01-01,PKG,16200,
FMORT-0094,Open Reduct Of Fract W/Int Fix At Phalanges-Hand,,47306-01-01,PKG,16200,
FMORT-0095,Open Reduct Of Fract W/ Int Fix At Femur,,47528-01-01,PKG,25380,
FMORT-0096,Open Reduct Of Fract W/Int Fixat Tibia & Fibula,,47566-01-01,PKG,25380,
FMORT-0097,Open Reduct Of Fract W/Int Fix At Tarsals & Metatarsals,,47624-01-01,PKG,16200,
FMORT-0098,Open Reduct Of Fract W/Int Fix At Phalanges-Fot,,47672-03-01,PKG,16200,
FMORT-0099,Open Reduct Of Separated - Epiphysis At Unspec Site.,,90581-00-01,PKG,18720,
FMORT-0100,Open Reduct Of Separated Epiphysis At Radius & Ulna,,90541-00-01,PKG,14400,
FMORT-0101,Open Reduct Of Separated - Epiphysis At Femur,,47525-01-01,PKG,18720,
FMORT-0102,Open Reduct Of Separated - Epiphysis At Tibia & Fibula,,90581-00-01,PKG,18720,
FMORT-0103,Closed Reduct Of Separated - Epiphysis At Unspec. Site,,90581-00-01,PKG,12000,
FMORT-0104,CLOSED REDUCT OF SEPARATED - EPIPHYSIS AT RADIUS & ULNA,,90541-00-01,PKG,12000,
FMORT-0105,Closed Reduct Of Separated - Epiphysis At Femur,,47525-00-01,PKG,16200,
FMORT-0106,Closed Reduct Of Separated - Epiphysis At Tibia & Fibula,,90581-00-01,PKG,12000,
FMORT-0107,Debridement Of Compound Fract. At Unspec. Site,,90580-00-01,PKG,10440,
FMORT-0108,Debridement Of Compound Fract.At Humerus,,90580-00-01,PKG,10440,
FMORT-0109,Debridement Of Compound Fract. At Radius & Ulna,,90580-00-01,PKG,8820,
FMORT-0110,Debridement Of Compound Fract. At Carpals & Metacarpals,,90580-00-01,PKG,8820,
FMORT-0111,Debridement Of Compound Fract. At Phalanges-Hand,,90580-00-01,PKG,8820,
FMORT-0112,Debridement Of Compound Fract. At Femur,,90580-00-01,PKG,10440,
FMORT-0113,Debridement Of Compound Fract. At Tibia & Fibula,,90580-00-01,PKG,8820,
FMORT-0114,Debridement Of Compund Fract. At Tarsals & Metatarsals,,90580-00-01,PKG,8820,
FMORT-0115,Debridement Of Compound Fract. At Phalanges -Foot,,90580-00-01,PKG,8820,
FMORT-0116,Closed Reduct Of Dislocatn At Unspec. Site,,99999-99-99,PKG,8160,
FMORT-0117,Closed Reduction Of Dislocation Of Shoulder,,47009-00-02,PKG,8160,
FMORT-0118,Closed Reduct Of Dislocatn At Elbow,,47018-00-01,PKG,8160,
FMORT-0119,Closed Reduct Of Dislocatn At Wrist,,47024-02-01,PKG,7740,
FMORT-0120,Closed Reduct Of Dislocatn At Hand & Finger,,47042-00-01,PKG,7740,
FMORT-0121,Closed Reduct Of Dislocatn At Hip,,47036-00-01,PKG,8160,
FMORT-0122,Closed Reduct Of Dislocatn At Knee,,47054-00-01,PKG,8160,
FMORT-0123,Closed Reduct Of Dislocatn At Ankle,,47063-00-01,PKG,8160,
FMORT-0124,Closed Reduct Of Dislocatn At Foot & Toe,,47069-00-01,PKG,7740,
FMORT-0125,Open Reduct Of Dislocatn At Unspec. Site,1,99999-99-99,PKG,26250,
FMORT-0126,Open Reduct Of Dislocatn At Shoulder,,47012-00-01,PKG,22860,
FMORT-0127,Open Reduct Of Dislocatn At Elbow,,47021-00-01,PKG,22860,
FMORT-0128,Open Reduct Of Dilocation At Wrist,,47027-02-01,PKG,22860,
FMORT-0129,Open Reduct Of Dislocation At Hand & Finger,,47039-00-01,PKG,16560,
FMORT-0130,Open Reduct Of Dislocation At Hip,,47051-00-01,PKG,22860,
FMORT-0131,Open Reduct Of Dislocation At Knee,,47060-00-01,PKG,22860,
FMORT-0132,Open Reduct Of Dislocation At Ankle,,47066-00-01,PKG,22860,
FMORT-0133,Open Reduct Of Dislocation At Foot & Toe,,47072-00-01,PKG,16560,
FMORT-0136,Excisn Of Miniscus Per Artrosc,,49560-03-01,PKG,10800,
FMORT-0138,Arthrotomy For Removal Of Prosthesis At Knee,,49515-00-01,PKG,20340,
FMORT-0139,Arthrotomy For Removal Of Prosthesis At Hip,,49312-00-00,PKG,22860,
FMORT-0140,Arthrotomy For Removal Of Prosthesis At Ankle,,90606-01-00,PKG,10800,
FMORT-0141,Biopsy-Joint Structure Of - Shoulder,,48945-01-01,PKG,10890,
FMORT-0142,Biopsy-Joint Structure Of Unspec. Site,,50100-01-01,PKG,10260,
FMORT-0143,Biopsy-Joint Structure Of Elbow,,49118-01-01,PKG,9540,
FMORT-0144,Biopsy-Joint Structure Of Wrist,,49218-01-01,PKG,9540,
FMORT-0145,Biopsy-Joint Structure Of Hand & Finger,,50100-01-01,PKG,7110,
FMORT-0146,Biopsy-Joint Structure Of Hip,,49303-00-00,PKG,10890,
FMORT-0147,Biopsy-Joint Structure Of Knee,,49500-00-01,PKG,10890,
FMORT-0148,Biopsy-Joint Structure Of Ankle,,49700-01-01,PKG,9540,
FMORT-0149,Biopsy Of Structure Of Foot & Toe,,50100-01-01,services,1918,
FMORT-0150,Biopsy-Joint Structure Of Spine,,50100-01-01,PKG,15300,
FMORT-0151,Club Foot Release,,50321-00-00,PKG,18600,
FMORT-0152,Correctin Of Metatarsus Varus,,48400-02-01,PKG,12600,
FMORT-0153,Release Of Adherent Jnt Capsul Cartilage-Unspec. Site.,1,90570-00-01,PKG,10500,
FMORT-0154,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Shoulder",,90570-00-01,PKG,10920,
FMORT-0155,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Elbow",,90570-00-01,PKG,11070,
FMORT-0156,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Wrist",,90570-00-01,PKG,9180,
FMORT-0157,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Hand*Finger",,90570-00-01,PKG,7290,
FMORT-0158,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Hip",,90570-00-01,PKG,10920,
FMORT-0159,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Knee",,49500-04-01,PKG,10920,
FMORT-0160,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Ankle",,90570-00-01,PKG,7920,
FMORT-0161,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Foot & Toe",,90570-00-01,PKG,7290,
FMORT-0162,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Spine",,90570-00-01,PKG,10920,
FMORT-0163,Excision Of Destruction Inter- Vertebral Disc,,40303-00-00,PKG,32040,
FMORT-0165,Complete Or Partl.Resec Of Synovial Memb.Unspec.Site,1,50104-00-01,PKG,11550,
FMORT-0166,Complete Or Partl.Resection Of Synovial Membr.-Shoulder,,48936-00-01,PKG,9600,
FMORT-0167,Complete Or Partl.Resection Of Synovial Memb.-Elbow,,49109-01-01,PKG,9600,
FMORT-0168,Complete Or Partl.Resection Of Synovial Memb.-Wrist,,46342-00-01,PKG,9450,
FMORT-0169,Complete Or Partl.Resection Of Synovial Memb.-Hand & Finger,,50104-00-01,PKG,7650,
FMORT-0170,Complete Or Partl. Resection Of Hip,,49312-00-00,PKG,24000,
FMORT-0171,Complete Of Partl Resection Of Knee,,90574-01-01,PKG,19800,
FMORT-0172,INTRA ART. INJ. TO SHOULDER AND MEDICATION,,50124-01-31,services,664,
FMORT-0173,Complete Or Partl. Resection Of Ankle,,90574-01-01,PKG,15300,
FMORT-0174,Other Local Excisn Or Destrctnof Lesion Of Jnt.-Unspec.Site,1,90574-00-01,PKG,14700,
FMORT-0175,Other Local Excisn Or Destrctnof Lesion-Shoulder,,31205-00-10,PKG,12060,
FMORT-0176,Other Local Excisn Or Destrctnof Lesion - Elbow,,31205-00-10,PKG,12060,
FMORT-0177,Other Local Excisn Or Destrctnof Lesion-Wrist,,31235-02-11,PKG,10800,
FMORT-0178,Other Local Excisn Or Destrctnof Lesion-Hand & Finger,,31235-02-11,PKG,9540,
FMORT-0179,Other Local Excisn Or Destrctnof Lesion - Hip,,31235-03-11,PKG,12060,
FMORT-0180,Other Local Excisn Or Destrctnof Lesion-Knee,,31235-03-11,PKG,12060,
FMORT-0181,Other Local Excisn Or Destrctnof Lesion - Ankle,,31235-04-11,PKG,9540,
FMORT-0191,Atlas Axis Spinal Fusion,,48660-00-00,PKG,55680,
FMORT-0193,Dorsal Spinal Fusion (Posterior Scolosis Correction),,48642-00-00,PKG,90720,
