SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
7121380,LABORATORY,CHEMISTRY,INSULIN RECEPTOR ABS IGG,817
7121381,LABORATORY,CHEMISTRY,"INSULIN, SERUM",190
7121382,LABORATORY,CHEMISTRY,INTERLEUKIN 2 RECEPTOR (S),684
7121383,LABORATORY,CHEMISTRY,INTERLEUKIN 6,703
7121384,LABORATORY,CHEMISTRY,INTRINSIC FACTOR ABS,380
7121385,LABORATORY,CHEMISTRY,IODINE,295
7121386,LABORATORY,CHEMISTRY,IONIZED CALCIUM,238
7121387,LABORATORY,CHEMISTRY,"IRON, SERUM",95
7121388,LABORATORY,CHEMISTRY,ISLET CELL  ABS,309
7121389,LABORATORY,CHEMISTRY,JAK-2 GENE ANALYSIS,3848
7121390,LABORATORY,CHEMISTRY,JAK-2-GENE (V617F MUTATION),5130
7121391,LABORATORY,CHEMISTRY,KAPPA PROBE ISH,2470
7121392,LABORATORY,CHEMISTRY,LACTIC ACID (SERUM),62
7121393,LABORATORY,CHEMISTRY,LAMBDAMRNA PROBE,2470
7121394,LABORATORY,CHEMISTRY,LAMOTRIGEN,395
7121395,LABORATORY,CHEMISTRY,LDH,129
7121396,LABORATORY,CHEMISTRY,LDH ISOENZYMES,342
7121397,LABORATORY,CHEMISTRY,LDL-CHOLESTEROL,129
7121398,LABORATORY,CHEMISTRY,LEAD U,333
7121399,LABORATORY,CHEMISTRY,LEGIONELLA ABS.,1112
7121400,LABORATORY,CHEMISTRY,LEGIONELLA PNEMOPHILA ANTIGEN,266
7121401,LABORATORY,CHEMISTRY,LEISHMANIA ANTIBODIES,475
7121402,LABORATORY,CHEMISTRY,LEPTIN,509
7121403,LABORATORY,CHEMISTRY,LEPTOSPIRA ABS,713
7121404,LABORATORY,CHEMISTRY,LEVETIRAZETAM,423
7121405,LABORATORY,CHEMISTRY,LH,190
7121406,LABORATORY,CHEMISTRY,LIPASE,95
7121407,LABORATORY,CHEMISTRY,"LIPID PROFILE: T. CHOL., HDL , LDL, TRIGLYCERIDES",380
7121408,LABORATORY,CHEMISTRY,LIPOPROTEIN A,238
7121409,LABORATORY,CHEMISTRY,LIPOPROTEIN ELECTROPHORESIS,404
7121410,LABORATORY,CHEMISTRY,LISTERIA ABS,390
7121411,LABORATORY,CHEMISTRY,LITHIUM,190
7121412,LABORATORY,CHEMISTRY,LIVER CYTOSOL1 IGG SPEC.  ABS (LCI),276
7121413,LABORATORY,CHEMISTRY,"LIVER FUNCTION TEST (TO/DIR BIL, SGOT, SGPT, ALK.PH)",380
7121414,LABORATORY,CHEMISTRY,LIVER KIDNEY MICROSOMAL ANTIBODIES,556
7121415,LABORATORY,CHEMISTRY,LUPUS ANTICOAGULANT,784
7121416,LABORATORY,CHEMISTRY,LYSOSME,547
7121417,LABORATORY,CHEMISTRY,MAGNESIUM (SERUM),76
7121418,LABORATORY,CHEMISTRY,MAMAGLOBULIN,547
7121419,LABORATORY,CHEMISTRY,MEASLES ABS IGG & IGM,509
7121420,LABORATORY,CHEMISTRY,MELANOSOME (HMB45,547
7121421,LABORATORY,CHEMISTRY,MELATONIN,466
7121422,LABORATORY,CHEMISTRY,MERCURY,494
7121423,LABORATORY,CHEMISTRY,METANEPHINES & NORMATANEPHRINES,737
7121424,LABORATORY,CHEMISTRY,"METANEPHRINES, URINE",404
7121425,LABORATORY,CHEMISTRY,METHEAMOGLOBIN,266
7121426,LABORATORY,CHEMISTRY,METHOTREXATE,461
7121427,LABORATORY,CHEMISTRY,METHYLATION ANALYSIS,3563
7121428,LABORATORY,CHEMISTRY,METHYLMALONIC ACID,551
7121429,LABORATORY,CHEMISTRY,METHYLTETRAHYDROFOLATE REDUCTASE,1796
7121430,LABORATORY,CHEMISTRY,MICROALBUMIN,114
7121431,LABORATORY,CHEMISTRY,MICROALBUMINURIA,124
7121432,LABORATORY,CHEMISTRY,MICROSOMAL ANTIBODY,404
7121433,LABORATORY,CHEMISTRY,MITOCHONDRIAL ANTIBODY,404
7121434,LABORATORY,CHEMISTRY,MOLECULAR GENETIC ANALYSIS FOR ALPHA THALASSEMIA,8123
7121435,LABORATORY,CHEMISTRY,MOLECULAR GENETIC ANALYSIS FOR BETA THALASSEMIA,5558
7121436,LABORATORY,CHEMISTRY,MOLECULAR GENETIC ANALYSIS FOR X LINKED ADRENOLEUKODYSTROPHY,10830
7121437,LABORATORY,CHEMISTRY,MOLECULAR GENETIC FOR NTRK1 GENE,11400
7121438,LABORATORY,CHEMISTRY,MOLECULAR GENETIC STUDY (DNA ANALYSIS),4275
7121439,LABORATORY,CHEMISTRY,MOLECULAR GENETIC TEST FOR NPHS1 - CARRIER GENE,2850
7121440,LABORATORY,CHEMISTRY,MONOSPOT ABS,737
7121441,LABORATORY,CHEMISTRY,MRD (MINIMAL RESIDUAL DISEASE) TEST,3705
7121442,LABORATORY,CHEMISTRY,MUCOPOLYSACCARIDES DIFFERENTIATION,1045
7121443,LABORATORY,CHEMISTRY,MUMPS IGG & IGM,333
7121444,LABORATORY,CHEMISTRY,MUMPS VIRUS ANTIBODY,404
7121445,LABORATORY,CHEMISTRY,MUSK ABS,428
7121446,LABORATORY,CHEMISTRY,MYCOPHENOLIC ACID,266
7121447,LABORATORY,CHEMISTRY,MYCOPLASMA PNEUMONIA ABS.,404
7121448,LABORATORY,CHEMISTRY,MYELIN BASCI PROTEIN,547
7121449,LABORATORY,CHEMISTRY,MYELOPEROXIDASE,547
7121450,LABORATORY,CHEMISTRY,MYELOPEROXIDASE ABS (MPO),352
7121451,LABORATORY,CHEMISTRY,MYO-D1,547
7121452,LABORATORY,CHEMISTRY,MYOGLOBIN QUANT,323
7121453,LABORATORY,CHEMISTRY,"MYOSIN, SMOOTH MUSCLE",547
7121454,LABORATORY,CHEMISTRY,NAPSIN A,547
7121455,LABORATORY,CHEMISTRY,NEONATAL SCREENING,784
7121456,LABORATORY,CHEMISTRY,NEURONE SPECIFIC ENOLASE,437
7121457,LABORATORY,CHEMISTRY,NT-PRO-BNP,428
7121458,LABORATORY,CHEMISTRY,OCT ¾,760
7121459,LABORATORY,CHEMISTRY,OCT-04,547
7121460,LABORATORY,CHEMISTRY,OESTRADIOL,190
7121461,LABORATORY,CHEMISTRY,OLIGOCLONAL BAND,475
7121462,LABORATORY,CHEMISTRY,OPIATES,238
7121463,LABORATORY,CHEMISTRY,ORGANIC ACID SCREEN,1235
7121464,LABORATORY,CHEMISTRY,OSMOLALITY,285
7121465,LABORATORY,CHEMISTRY,"OSMOLARITY, SERUM / URINE",129
7121466,LABORATORY,CHEMISTRY,OSTEOCALCIN,475
7121467,LABORATORY,CHEMISTRY,OXALATE,214
7121468,LABORATORY,CHEMISTRY,P-ANCA,285
7121469,LABORATORY,CHEMISTRY,PANCREATIC ELASTASE (FAECES),475
7121470,LABORATORY,CHEMISTRY,PARACETAMOL,380
7121471,LABORATORY,CHEMISTRY,PARAGONIMUS ABS,295
7121472,LABORATORY,CHEMISTRY,PARATHYROID HORMONE (PTH),547
7121473,LABORATORY,CHEMISTRY,PARIETAL CELL ANTIBODY,404
7121474,LABORATORY,CHEMISTRY,PARVO VIRUS ABS B-19 IGG & IGM,589
7121475,LABORATORY,CHEMISTRY,PARVORIRUS B19,547
7121476,LABORATORY,CHEMISTRY,PAX-5,547
7121477,LABORATORY,CHEMISTRY,PAX-8,760
7121478,LABORATORY,CHEMISTRY,PD-1,760
7121479,LABORATORY,CHEMISTRY,PERICARDIAL FLUID (PHYSICAL&CHEMICAL TEST ONLY),190
7121480,LABORATORY,CHEMISTRY,PERITONEAL FLUID (PHYSICAL&CHEMICAL ONLY),190
7121481,LABORATORY,CHEMISTRY,PHENCYCLIDINE,238
7121482,LABORATORY,CHEMISTRY,PHENOBARBITAL,262
7121483,LABORATORY,CHEMISTRY,PHENOL,490
7121484,LABORATORY,CHEMISTRY,PHENYTOIN,190
7121485,LABORATORY,CHEMISTRY,PHOSPOROUS (SERUM),62
7121486,LABORATORY,CHEMISTRY,PKU SCREEN,494
7121487,LABORATORY,CHEMISTRY,PLASMINOGEN,390
7121488,LABORATORY,CHEMISTRY,PLATELET ANTIBODIES,4256
7121489,LABORATORY,CHEMISTRY,PLEURAL FLUID (PHYSICAL&CHEMICAL ONLY),190
7121490,LABORATORY,CHEMISTRY,PM1 ABS,380
7121491,LABORATORY,CHEMISTRY,PNEUMOCYSTIC CARINII,2850
7121492,LABORATORY,CHEMISTRY,POLIO VIRUS ANTIBODY,404
7121493,LABORATORY,CHEMISTRY,POLYOMA JCV-DNA,1026
7121494,LABORATORY,CHEMISTRY,PORPHOBILINOGEN QUANT.,233
7121495,LABORATORY,CHEMISTRY,PORPHYRINS,1235
7121496,LABORATORY,CHEMISTRY,POTASSIUM URINE,62
7121497,LABORATORY,CHEMISTRY,"POTASSIUM, SERUM OR URINE",62
7121498,LABORATORY,CHEMISTRY,"POTASSIUM, STOOL",124
7121499,LABORATORY,CHEMISTRY,PR,855
7121500,LABORATORY,CHEMISTRY,PRA (PANEL REACTIVE ANTIBODY),1710
7121501,LABORATORY,CHEMISTRY,PREGNANDIOL,404
7121502,LABORATORY,CHEMISTRY,PRENATAL SCREENING FOR HIGH RISK PREGNANCY/CRYPTOGENETIC TEST,7695
7121503,LABORATORY,CHEMISTRY,PRESEPSIN,333
7121504,LABORATORY,CHEMISTRY,PRICKLE CELL DESMOSMES ABS,219
7121505,LABORATORY,CHEMISTRY,PRO INSULIN INTACT,304
7121506,LABORATORY,CHEMISTRY,PROGESTERONE,190
7121508,LABORATORY,CHEMISTRY,PROLACTIN,547
7121509,LABORATORY,CHEMISTRY,PROSTATE SPECIFIC ANTIGEN,547
7121510,LABORATORY,CHEMISTRY,PROSTATIC ACID PHOSPHATASE,428
7121511,LABORATORY,CHEMISTRY,PROTEIN A AND LEUCOCYTE,466
7121512,LABORATORY,CHEMISTRY,PROTEIN C (ANTIGEN & ACTIVITY),1221
7121513,LABORATORY,CHEMISTRY,PROTEIN C ACTIVITY,618
7121514,LABORATORY,CHEMISTRY,"PROTEIN S (TOTAL,FREE & ACTIVITY)",1900
7121515,LABORATORY,CHEMISTRY,PROTEIN S ACTIVITY,618
7121516,LABORATORY,CHEMISTRY,PROTEIN TOTAL,143
7121517,LABORATORY,CHEMISTRY,PROTHROMBIN MUTATION ,874
7121518,LABORATORY,CHEMISTRY,PSAP (PROSTATIC ACID PHOSPHATASE),547
7121519,LABORATORY,CHEMISTRY,PSEUDOCHOLINESTERASE,114
7121520,LABORATORY,CHEMISTRY,PTEN,760
7121521,LABORATORY,CHEMISTRY,PTEN (BREAST CANCER),1045
7121522,LABORATORY,CHEMISTRY,PTH INTACT,585
7121523,LABORATORY,CHEMISTRY,PYRILINKS D,404
7121524,LABORATORY,CHEMISTRY,PYRUVATE KINASE,124
7121525,LABORATORY,CHEMISTRY,Q FEVER (COXIELLA BURNETTI IGG & IGM ABS),637
7121526,LABORATORY,CHEMISTRY,QUALITATIVE MOLECULAR BLR/ABL DIAGNOSTICS,3306
7121527,LABORATORY,CHEMISTRY,QUANTIFERON (TB GOLD),1026
7121528,LABORATORY,CHEMISTRY,QUANTIFERON TBGOLD PLUS,1549
7121529,LABORATORY,CHEMISTRY,QUANTITATIVE MOLECULAR BCR/ABL DIAGONOSTICS,6612
7121530,LABORATORY,CHEMISTRY,RAST,404
7121531,LABORATORY,CHEMISTRY,RCC,547
7121532,LABORATORY,CHEMISTRY,"RENAL (KIDNEY) FUNCTION TESTS (BUN, CR, NA, K, CL & URIC ACID)",380
7121533,LABORATORY,CHEMISTRY,RENAL TUBULAR DYSGENESIS (AGT) SINGLE GENE ANALYSIS,3088
7121534,LABORATORY,CHEMISTRY,RENIN .,433
7121535,LABORATORY,CHEMISTRY,RESPIRATORY SYNCTIAL VIRUS ABS.,404
7121536,LABORATORY,CHEMISTRY,RETT SYNDROME (MECP2-GENE) TEST,14108
7121537,LABORATORY,CHEMISTRY,RHINOVIRUS RNA,1758
7121538,LABORATORY,CHEMISTRY,RIBOSOMAL ABS,537
7121539,LABORATORY,CHEMISTRY,RICKETTSIA ABS,684
7121540,LABORATORY,CHEMISTRY,RIVOTRIL,333
7121541,LABORATORY,CHEMISTRY,RNP / SM,247
7121542,LABORATORY,CHEMISTRY,RO,561
7121543,LABORATORY,CHEMISTRY,"RUBELLA, IGG SPECIFIC",404
7121544,LABORATORY,CHEMISTRY,"RUBELLA, IGM SPECIFIC",404
7121545,LABORATORY,CHEMISTRY,"SACCAROMYCES IGA, IGG, IGM ABS STRUCTURE",333
7121546,LABORATORY,CHEMISTRY,SALMONEILA ABS,390
7121547,LABORATORY,CHEMISTRY,SCHAWACHMAN DIAMOND SYNDROME,21660
7121548,LABORATORY,CHEMISTRY,SCHISTOSOMA ANTIBODY,404
7121549,LABORATORY,CHEMISTRY,SCL 70 ABS,333
7121550,LABORATORY,CHEMISTRY,SECRETOR IGA (SALIVA),323
7121551,LABORATORY,CHEMISTRY,SELENIUM,390
7121552,LABORATORY,CHEMISTRY,SEMEN ANALYSIS,114
7121553,LABORATORY,CHEMISTRY,SEROTONIN,247
7121554,LABORATORY,CHEMISTRY,SERUM B-CROSSLAPS (CTX),570
7121557,LABORATORY,CHEMISTRY,SHBG (SEX HORMONE BINDING GLOBULIN),409
7121558,LABORATORY,CHEMISTRY,SHIGELLA ABS,380
7121559,LABORATORY,CHEMISTRY,SIROLIMUS,561
7121560,LABORATORY,CHEMISTRY,SMOOTH MUSCLE ANTIBODY,404
7121561,LABORATORY,CHEMISTRY,SODIUM URINE,62
7121563,LABORATORY,CHEMISTRY,"SODIUM, STOOL",124
7121564,LABORATORY,CHEMISTRY,SOLUBLE LIVER ANTIGEN ABS,285
7121565,LABORATORY,CHEMISTRY,SPERM VITALITY,190
7121566,LABORATORY,CHEMISTRY,SPERMATOZOAL ANTIBODIES,475
7121567,LABORATORY,CHEMISTRY,"SPINAL MUSCULAR ATROPHY (SMN1,MLPA)",4560
7121568,LABORATORY,CHEMISTRY,SSA AND SSB ABS (ANTI RO / ANTI LA),680
7121569,LABORATORY,CHEMISTRY,STONE ANALYSIS,190
7121570,LABORATORY,CHEMISTRY,STRIATED MUSCLE ANTIBODY,404
7121571,LABORATORY,CHEMISTRY,SULFONYLUREA STRUCTURE,1093
7121572,LABORATORY,CHEMISTRY,SV40,760
7121573,LABORATORY,CHEMISTRY,SYNOVIAL FLUID EXAMINATION,129
7121574,LABORATORY,CHEMISTRY,T + B LYMPHOCYTE DIFFERENTIATION,1330
7121575,LABORATORY,CHEMISTRY,T B G,238
7121576,LABORATORY,CHEMISTRY,T.B MONOCLONAL ANTIBODIES,404
7121577,LABORATORY,CHEMISTRY,T4 AND T8 LIMPHOCYTES,475
7121578,LABORATORY,CHEMISTRY,TACROLIMUS,509
7121579,LABORATORY,CHEMISTRY,TAENIA ABS,461
7121580,LABORATORY,CHEMISTRY,TAG-72,547
7121581,LABORATORY,CHEMISTRY,TAU-PROTEIN,784
7121582,LABORATORY,CHEMISTRY,TB PCR,1668
7121583,LABORATORY,CHEMISTRY,TDT,547
7121584,LABORATORY,CHEMISTRY,TESTOSTERONE,475
7121585,LABORATORY,CHEMISTRY,THEOPHYLLIN LEVEL,190
7121586,LABORATORY,CHEMISTRY,"THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME(SLC19A2, REF)",9063
7121587,LABORATORY,CHEMISTRY,THIOCYANATE & CYANIDE,295
7121588,LABORATORY,CHEMISTRY,THYREOGLOBULIN,409
7121589,LABORATORY,CHEMISTRY,THYROGLOBULIN ANTIBODY,404
7121590,LABORATORY,CHEMISTRY,THYROID ANTIBODY,404
7121591,LABORATORY,CHEMISTRY,THYROID MICROSOMAL ABS,114
7121592,LABORATORY,CHEMISTRY,THYROID UPTAKE,190
7121593,LABORATORY,CHEMISTRY,THYROXINE BINDING GLOBULIN,209
7121594,LABORATORY,CHEMISTRY,TORCH SCREENING,665
7121595,LABORATORY,CHEMISTRY,TOTAL AND DIRECT BILIBURIN,114
7121596,LABORATORY,CHEMISTRY,"TOTAL BILIBURIN, NEONATAL",57
7121598,LABORATORY,CHEMISTRY,TOTAL CHOLESTEROL,95
7121599,LABORATORY,CHEMISTRY,TOTAL CO2,62
7121600,LABORATORY,CHEMISTRY,TOTAL HLA TYPING,2518
7121601,LABORATORY,CHEMISTRY,TOTAL IRON BINDING CAPACITY (TIBC),162
7121603,LABORATORY,CHEMISTRY,TOXOCARA ABS CANIS IGG & IGM WESTERNBLOT,874
7121604,LABORATORY,CHEMISTRY,"TOXOPLASMOSIS, IGG SPECIFIC",404
7121605,LABORATORY,CHEMISTRY,"TOXOPLASMOSIS, IGM SPECIFIC",404
7121606,LABORATORY,CHEMISTRY,TPMT ACTIVITY,285
7121607,LABORATORY,CHEMISTRY,TRACP,547
7121608,LABORATORY,CHEMISTRY,"TRANFERRITIN, SERUM",404
7121609,LABORATORY,CHEMISTRY,TRANSFERRIN,300
7121610,LABORATORY,CHEMISTRY,TREPONEMAL IGG AND IGG ABS IMMUNOBLOT,1368
7121611,LABORATORY,CHEMISTRY,TREPONEMAL PALLIDUM ANTIBODIES,361
7121612,LABORATORY,CHEMISTRY,TRIGLYCERIDES,190
7121613,LABORATORY,CHEMISTRY,TRIPLE TEST,561
7121614,LABORATORY,CHEMISTRY,TROP T.,190
7121615,LABORATORY,CHEMISTRY,TRYPSIN,404
7121617,LABORATORY,CHEMISTRY,TRYPTASE,547
7121618,LABORATORY,CHEMISTRY,TSC 1 GENE,24463
7121619,LABORATORY,CHEMISTRY,TSC 2 GENE,24463
7121620,LABORATORY,CHEMISTRY,TSH,547
7121622,LABORATORY,CHEMISTRY,TSH RECEPTOR ANTIBODY    ,556
7121623,LABORATORY,CHEMISTRY,TSH-NEONATAL,190
7121624,LABORATORY,CHEMISTRY,U1-NRNP,285
7121626,LABORATORY,CHEMISTRY,UROPLAKIN III,547
7121627,LABORATORY,CHEMISTRY,VANCOMYCIN PEAK,604
7121628,LABORATORY,CHEMISTRY,VANCOMYCIN TROUGH,604
7121629,LABORATORY,CHEMISTRY,"VANILLYMANDELIC ACID (VMA), URINE",404
7121630,LABORATORY,CHEMISTRY,VARICELLA ZOSTER IGM & IGG SPEC ABS,855
7121631,LABORATORY,CHEMISTRY,VASOPRESSIN (ADH),903
7121632,LABORATORY,CHEMISTRY,VENOUS BLOOD GASES,238
7121633,LABORATORY,CHEMISTRY,VERY LONG CHAIN FATTY ACIDS (VLCFA),1416
7121634,LABORATORY,CHEMISTRY,VIGABATRIN,556
7121635,LABORATORY,CHEMISTRY,VILLIN,547
7121636,LABORATORY,CHEMISTRY,VIMENTIN,547
7121637,LABORATORY,CHEMISTRY,VITAMIN A (RETINOL),247
7121638,LABORATORY,CHEMISTRY,VITAMIN B2 (FAD),418
7121639,LABORATORY,CHEMISTRY,VITAMIN C (ASCORBIC ACID),689
7121640,LABORATORY,CHEMISTRY,"VITAMIN D1,25 (1.25 DIHYDROXY-CHOLECALCIFEROL)",950
7121641,LABORATORY,CHEMISTRY,VITAMIN E,404
7121642,LABORATORY,CHEMISTRY,VITAMIN K1,437
7121643,LABORATORY,CHEMISTRY,VITAMINE B1 THIAMINE,295
7121644,LABORATORY,CHEMISTRY,"VITAMINE B12, SERUM",404
7121645,LABORATORY,CHEMISTRY,VITAMINE B6 (PYRIDOXYL PHOSPHATE),428
7121646,LABORATORY,CHEMISTRY,VITAMINE D3 (25 HYDROXICHOLICALCIFEROL),547
7121647,LABORATORY,CHEMISTRY,VORICONAZOLE,556
7121648,LABORATORY,CHEMISTRY,WAALER ROSE,404
7121649,LABORATORY,CHEMISTRY,WARFARIN,418
7121650,LABORATORY,CHEMISTRY,WESTERNBLOT ECHINOCOCCUS GRANULOSA IGG & IGM,1596
7121651,LABORATORY,CHEMISTRY,WESTERNBLOT ECHINOCOCCUS MULTIOCULARIS IGG & IGM,1596
7121652,LABORATORY,CHEMISTRY,XYLOSE,148
7121653,LABORATORY,CHEMISTRY,ZAP-70,855
7121654,LABORATORY,CHEMISTRY,ZINC,333
7121655,LABORATORY,CHEMISTRY,ZONISAMIDE,342
7121656,LABORATORY,CHEMISTRY,GESTATIONAL DIABETES SCREENING (OGTT / 50 Grs) ONE TEST,119
7121657,LABORATORY,CHEMISTRY,GESTATIONAL DIABETES SCREENING (OGTT / 75 Grs) TWO TESTS,190
7121658,LABORATORY,CHEMISTRY,GESTATIONAL DIABETES CONFIRMATION (OGTT / 100 Grs) FOUR TESTS,333
7121659,LABORATORY,CHEMISTRY,NON-INVASIVE PRE-NATAL TESTING (NIPT) ANY METHOD,3040
7122001,LABORATORY,HEMATOLOGY,ANTI FACTOR XA DETERMINATION (ANTI-XA),428
7122002,LABORATORY,HEMATOLOGY,BLEEDING TIME,38
7122003,LABORATORY,HEMATOLOGY,BONE MARROW ( B.M. ) ASPIRATIONAL BIOPSY,3800
7122004,LABORATORY,HEMATOLOGY,BONE MARROW EXAMINATION,404
7122006,LABORATORY,HEMATOLOGY,CLOTTING TIME,38
7122008,LABORATORY,HEMATOLOGY,D-DIMER,238
7122009,LABORATORY,HEMATOLOGY,ERYTHROCYTE SEDIMENTATION RATE (ESR),38
7122010,LABORATORY,HEMATOLOGY,FIBRINOGEN,238
7122011,LABORATORY,HEMATOLOGY,FILARIAL EXAMIANTION,62
7122012,LABORATORY,HEMATOLOGY,G6PD (QUANTITATIVE),162
7122014,LABORATORY,HEMATOLOGY,HEINZ BODY STAIN,62
7122015,LABORATORY,HEMATOLOGY,HEMATOCRITE,34
7122016,LABORATORY,HEMATOLOGY,HEMOGLOBIN,34
7122017,LABORATORY,HEMATOLOGY,HEMOGLOBIN F DETERMINATION (KLEINHAUER),162
7122018,LABORATORY,HEMATOLOGY,HEMOGLOBIN H INCLUSION,238
7122019,LABORATORY,HEMATOLOGY,"IMMUNOPHENOTYPING FOR LEUKOMIA / LYMPHOMA (WHOLE BLOOD, BONE MARROW)",3705
7122020,LABORATORY,HEMATOLOGY,L.E. PREPARATION,81
7122021,LABORATORY,HEMATOLOGY,LEISHMANIA SMEAR,95
7122022,LABORATORY,HEMATOLOGY,LOW MOLECULAR WEIGHT HEPARIN DETERMINATION (LMWH),428
7122023,LABORATORY,HEMATOLOGY,MALARIA EXAMINATION,62
7122024,LABORATORY,HEMATOLOGY,OSMOTIC FRAGILITY TEST,238
7122025,LABORATORY,HEMATOLOGY,"PARTIAL THROMBOPLASTINE TIME (PTT,APTT)",238
7122026,LABORATORY,HEMATOLOGY,PERIPHERAL SMEAR,62
7122027,LABORATORY,HEMATOLOGY,PLATELET COUNT,34
7122028,LABORATORY,HEMATOLOGY,PROTHROMBINE TIME (PT),95
7122029,LABORATORY,HEMATOLOGY,RETICULOCYTE COUNT,34
7122030,LABORATORY,HEMATOLOGY,SICKLE CELL SCREEN,48
7122031,LABORATORY,HEMATOLOGY,THALASSEMIA SCREENING,380
7122032,LABORATORY,HEMATOLOGY,WBC COUNT,34
7123001,LABORATORY,MICROBIOLOGY,ACID FAST STAINING,62
7123002,LABORATORY,MICROBIOLOGY,ANAEROBIC CULTURE,148
7123004,LABORATORY,MICROBIOLOGY,C & S (CULTURE & SENSITIVITY),138
7123005,LABORATORY,MICROBIOLOGY,C & S AXILLA,129
7123006,LABORATORY,MICROBIOLOGY,C & S BLOOD,129
7123007,LABORATORY,MICROBIOLOGY,C & S CERVICAL SMEAR,129
7123008,LABORATORY,MICROBIOLOGY,C & S CONJUNCTIVA,129
7123009,LABORATORY,MICROBIOLOGY,C & S EAR DISCHARGE,129
7123010,LABORATORY,MICROBIOLOGY,C & S GASTRIC ASPIRATE,129
7123011,LABORATORY,MICROBIOLOGY,C & S PROSTRATE,129
7123012,LABORATORY,MICROBIOLOGY,C & S PUS,129
7123013,LABORATORY,MICROBIOLOGY,C & S RECTAL,129
7123014,LABORATORY,MICROBIOLOGY,C & S SEMEN,129
7123015,LABORATORY,MICROBIOLOGY,C & S SKIN,129
7123016,LABORATORY,MICROBIOLOGY,C & S SPUTUM,129
7123017,LABORATORY,MICROBIOLOGY,C & S STOOL,129
7123018,LABORATORY,MICROBIOLOGY,C & S SWINE FLU (H1N1),143
7123019,LABORATORY,MICROBIOLOGY,C & S THROAT,129
7123020,LABORATORY,MICROBIOLOGY,C & S UMBILICAL,129
7123021,LABORATORY,MICROBIOLOGY,C & S URINE,129
7123022,LABORATORY,MICROBIOLOGY,C & S VAGINAL,129
7123023,LABORATORY,MICROBIOLOGY,DIRECT FUNGAL WET MOUNT,62
7123024,LABORATORY,MICROBIOLOGY,"FERN TEST (TEST FOR LEAKAGE OF THE
AMNIOTIC FLUID)",48
7123025,LABORATORY,MICROBIOLOGY,FOOD TESTING FOR COLIFORMS,323
7123026,LABORATORY,MICROBIOLOGY,GENE XPERT MTB/RIF,2375
7123027,LABORATORY,MICROBIOLOGY,GRAM STAINING,62
7123028,LABORATORY,MICROBIOLOGY,GROUP A STREPTOCOCCAL AG,190
7123029,LABORATORY,MICROBIOLOGY,NASAL SWAB FOR MRSA AND S. AUREUS BY PCR,475
7123030,LABORATORY,MICROBIOLOGY,"ROUTINE CULTURE, MYCOLOGY",129
7123031,LABORATORY,MICROBIOLOGY,WATER TESTING: ROUTINE BACTERIOLOGICAL ANALYSIS,404
7124002,LABORATORY,URINE AND STOOL ANALYSIS,"GLUCOSE, URINE",62
7124003,LABORATORY,URINE AND STOOL ANALYSIS,"KETONES, URINE",34
7124004,LABORATORY,URINE AND STOOL ANALYSIS,"PROTEIN, URINE",34
7124005,LABORATORY,URINE AND STOOL ANALYSIS,"PROTEIN, 24 HOURS URINE",162
7124006,LABORATORY,URINE AND STOOL ANALYSIS,"CREATININE, 24 HOURS URINE",162
7124007,LABORATORY,URINE AND STOOL ANALYSIS,"CALCIUM, 24 HOURS URINE",162
7124009,LABORATORY,URINE AND STOOL ANALYSIS,"OCCULT BLOOD, STOOL",62
7124010,LABORATORY,URINE AND STOOL ANALYSIS,"FECAL FAT, STAIN",62
7124011,LABORATORY,URINE AND STOOL ANALYSIS,"REDUCING SUBSTANCE, STOOL",62
7124012,LABORATORY,URINE AND STOOL ANALYSIS,"SODIUM, 24 HOURS URINE",162
7124013,LABORATORY,URINE AND STOOL ANALYSIS,"POTASSIUM, 24 HOURS URINE",162
7124014,LABORATORY,URINE AND STOOL ANALYSIS,"PHOSPHOROUS, 24 HOURS URINE",162
7124015,LABORATORY,URINE AND STOOL ANALYSIS,APT TEST,81
7124016,LABORATORY,URINE AND STOOL ANALYSIS,URINARY UREA NITROGEN,62
7124017,LABORATORY,URINE AND STOOL ANALYSIS,"BENCE JONES PROTEIN, URINE",162
7124018,LABORATORY,URINE AND STOOL ANALYSIS,URINE URIC ACID,62
7124019,LABORATORY,URINE AND STOOL ANALYSIS,ROTA VIRUS ( STOOL),62
7124020,LABORATORY,URINE AND STOOL ANALYSIS,ADENO VIRUS ( STOOL),62
7124021,LABORATORY,URINE AND STOOL ANALYSIS,"URIC ACID, 24 HOURS URINE",162
7124022,LABORATORY,URINE AND STOOL ANALYSIS,"COPPER, 24 HOURS URINE",124
7124023,LABORATORY,URINE AND STOOL ANALYSIS,"AMYLASE, 24 HOURS URINE",190
7124024,LABORATORY,URINE AND STOOL ANALYSIS,"GLUCOSE, 24 HOURS URINE",190
7124025,LABORATORY,URINE AND STOOL ANALYSIS,"UREA, 24 HOURS URINE",190
7124026,LABORATORY,URINE AND STOOL ANALYSIS,"MAGNESIUM, 24 HOURS URINE",190
7125001,LABORATORY,IMMUNO/SEROLOGY,ANTI-NUCLEAR ANTIBODY (ANA),190
7125002,LABORATORY,IMMUNO/SEROLOGY,ASO TITER,129
