Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
Radiology ,FMXRAY1139,Ct. Abdomen & Pelvis (Urography Protocol),0,Service,56507-00-00,2250,2025
Radiology ,FMXRAY1141,Ct. Abdomen Angiography (Aortography),0,Service,59970-04-00,3000,2700
Radiology ,FMXRAY1145,Ct. Spine (Whole),0,Service,56233-00-00,2700,2430
Radiology ,FMXRAY1146,Ct. Msk (Shoulder Joint Protocol),0,Service,56619-00-01,1650,1485
Radiology ,FMXRAY1148,Ct. Msk (Wrist Joint Protocol),0,Service,56619-00-01,1650,1485
Radiology ,FMXRAY1149,Ct. Msk (Sacroiliac Joint Protocol),0,Service,60100-00-00,1650,1485
Radiology ,FMXRAY1151,Ct. Msk (Knee Joint Protocol),0,Service,56619-00-01,1650,1485
Radiology ,FMXRAY1153,Ct. Msk (Clavicle Bone Protocol),0,Service,60100-00-00,1650,1485
Radiology ,FMXRAY1154,Ct. Msk (Humerous Bone Protocol),0,Service,56619-00-01,1650,1485
Radiology ,FMXRAY1155,Ct. Msk (Forearm Bones Protocol),0,Service,56619-00-02,1650,1485
Radiology ,FMXRAY1156,Ct. Msk (Hand Bones Protocol),0,Service,56619-00-02,1650,1485
Radiology ,FMXRAY1157,Ct. Msk (Pelvic Bone Protocol),0,Service,56409-00-00,1650,1485
Radiology ,FMXRAY1158,Ct. Msk Femur Bone Protocol),0,Service,56619-00-01,1650,1485
Radiology ,FMXRAY1160,Ct. Msk (Foot Bones Protocol),0,Service,56619-00-02,1650,1485
Radiology ,FMXRAY1161,Ct. Angiography (Cta & Ctv) For Upper Limb,0,Service,57350-01-00,3000,2700
Radiology ,FMXRAY1162,Ct. Angiography (Cta & Ctv) For Lower Limb,0,Service,57350-07-02,3000,2700
Radiology ,FMXRAY1163,Ct. Scout (Leg Length),0,Service,60100-00-00,900,810
Radiology ,FMXRAY1164,Ct. Additional Contrast,0,Service,60100-00-00,600,540
Radiology ,FMXRAY1165,X-Ray Skull Ap & Lat.,0,Service,57901-00-10,440,396
Radiology ,FMXRAY1167,X-Ray Facial Bone 2 View,0,Service,57912-00-00,440,396
Radiology ,FMXRAY1177,X-Ray Acromio-Clavicular Joint,0,Service,55808-00-01,275,247.5
Radiology ,FMXRAY1178,X-Ray A.C. Joint With Weight Bearing,0,Service,57706-00-01,275,247.5
Radiology ,FMXRAY1181,X-Ray Scapula ( Y ) Shap View,0,Service,57700-00-11,275,247.5
Radiology ,FMXRAY1186,X-Ray Ribs Unilateral (2 View),0,Service,58521-01-00,440,396
Radiology ,FMXRAY1188,X-Ray Ribs Bilateral (2 View),0,Service,58524-00-00,660,594
Radiology ,FMXRAY1210,X-Ray Elbow For Coronoid Process (4 Views),0,Service,57506-01-21,550,495
Radiology ,FMXRAY1215,X-Ray Scaphoid (4 Views),0,Service,57506-03-21,550,495
Radiology ,FMXRAY1217,X-Ray Hand Ap. & Obl.,0,Service,57506-04-11,440,396
Radiology ,FMXRAY1224,X-Ray Pelvis Ap,0,Service,57715-00-00,330,297
Radiology ,FMXRAY1238,X-Ray Skyline View For Patella (Unilateral),0,Service,57518-01-11,330,297
Radiology ,FMXRAY1240,X-Ray Leg Ap & Lat.,0,Service,57518-02-01,440,396
Radiology ,FMXRAY1245,X-Ray Heel (Both Sides).,0,Service,57518-03-12,330,297
Radiology ,FMXRAY1247,X-Ray Foot Ap & Lat. & Obl.,0,Service,57518-04-21,550,495
Radiology ,FMXRAY1256,X-Ray Abdomen Flat (Kub),0,Service,58700-00-00,187.55,170.5
Radiology ,FMXRAY1261,X-Ray Pediatric Chest & Abdomen Ap,0,Service,58500-00-10,330,297
Radiology ,FMXRAY1262,X-Ray Pediatric Chest & Abdomen Ap/Cross-Table Lateral,0,Service,58900-00-40,550,495
Radiology ,FMXRAY1266,Fluroscopy. Ba. Study (Small Bowel Series Protocol),0,Service,58909-00-00,880,792
Radiology ,FMXRAY1269,Fluroscopy. Ba. Study (Bariatric Surgery Protocol),0,Service,58916-00-00,1100,990
Radiology ,FMXRAY1270,Fluroscopy. Pediatric. Upper G.I. (Tof Protocol),0,Service,58909-00-00,1100,990
Radiology ,FMXRAY1271,Fluroscopy. Pediatric. Upper G.I. (Bowel Rotation Protocol),0,Service,58909-00-00,1100,990
Radiology ,FMXRAY1272,Fluroscopy. Pediatric. Lower G.I. (Hirschsprung Protocol),0,Service,60503-00-00,1100,990
Radiology ,FMXRAY1273,Fluroscopy. Pediatric. Lower G.I. (Intussusception Hydrostatic/Pneumatic Reduction),0,Service,60503-00-00,2200,1980
Radiology ,FMXRAY1280,Fluroscopy. T-Tube Cholangiography,0,Service,58927-00-00,880,792
Radiology ,FMXRAY1285,Fluroscopy. Loopogram,0,Service,90906-00-00,880,792
Radiology ,FMXRAY1286,Fluroscopy. Video-Fluoroscopic Swallow Study (Vfss),0,Service,58909-01-00,1650,1485
Radiology ,FMXRAY1287,Fluroscopy. Diaphragm (Dymanic Assessment),0,Service,58506-00-00,660,594
Radiology ,FMXRAY1288,Fluroscopy. Guided Tube Locolization,0,Service,58506-00-10,880,792
Radiology ,FMXRAY1289,Us. Abdomen And Pelvis (Viscera),0,Service,55036-00-00,732.05,665.5
Radiology ,FMXRAY1293,Us. Breast (Male),0,Service,55070-00-00,500,450
Radiology ,FMXRAY1294,Us. Soft Tissue (One Area),0,Service,55844-00-00,880,792
Radiology ,FMXRAY1295,Us. Pediatric. Transfontanel,0,Service,55028-00-00,660,594
Radiology ,FMXRAY1296,Us. Pediatric. Pelvis & Perineum (Ambiguous Genitalia),0,Service,55065-00-00,500,450
Radiology ,FMXRAY1297,Us. Pediatric. Both Hip,0,Service,55816-00-02,500,450
Radiology ,FMXRAY1298,Us. Penile Soft Tissue,0,Service,55048-00-00,870,783
Radiology ,FMXRAY1299,Us. Msk (Shoulder),0,Service,55808-00-01,1445,1300.5
Radiology ,FMXRAY1300,Us. Msk (Wrist),0,Service,55800-00-01,660,594
Radiology ,FMXRAY1302,Us. Msk (Knee),0,Service,55828-00-01,660,594
Radiology ,FMXRAY1303,Us. Msk (Ankle),0,Service,55836-00-01,660,594
Radiology ,FMXRAY1305,Us. Pediatric Spine,0,Service,55852-00-00,660,594
Radiology ,FMXRAY1306,Us. Chest,0,Service,55812-00-00,660,594
Radiology ,FMXRAY1307,Us. Abdomenal Wall,0,Service,55812-00-00,660,594
Radiology ,FMXRAY1308,Us. Contrast Enhanced (Ceus) - One Area,0,Service,55276-00-00,1320,1188
Radiology ,FMXRAY1309,Us. Elastography Application (Additional),0,Service,90908-00-00,880,792
Radiology ,FMXRAY1310,Us. Portable In O.R.,0,Service,92204-00-00,880,792
Radiology ,FMXRAY1311,Us. Portable In I.P.,0,Service,92204-00-00,770,693
Radiology ,FMXRAY1315,Doppler. Vertebro-Basilar With Dynamic,0,Service,55274-00-00,1100,990
Radiology ,FMXRAY1319,Doppler. Aorta & Ivc,0,Service,55276-00-00,1100,990
Radiology ,FMXRAY1320,Doppler. Upper Limb Arter. (Right),0,Service,55248-00-00,1980,1782
Radiology ,FMXRAY1321,Doppler. Upper Limb Arter. (Left),0,Service,55248-00-00,880,792
Radiology ,FMXRAY1323,Doppler. Upper Limb Vein (Right),0,Service,55252-00-00,660.66,600.6
Radiology ,FMXRAY1324,Doppler. Upper Limb Vein (Left),0,Service,55252-00-00,880,792
Radiology ,FMXRAY1325,Doppler. Upper Limb Vein. (2 Sides),0,Service,55252-01-00,1430,1287
Radiology ,FMXRAY1326,Doppler. Lower Limb Arter. (Right),0,Service,55238-00-00,660.66,600.6
Radiology ,FMXRAY1328,Doppler. Lower Limb Arter. (2 Sides),0,Service,55238-01-00,2073.5,1866.15
Radiology ,FMXRAY1329,Doppler. Lower Limb Vein (Right),0,Service,55244-00-00,880,792
Radiology ,FMXRAY1333,Doppler. Penile (With Injection),0,Service,55282-00-00,1320,1188
Radiology ,FMXRAY1334,Doppler. Transplant (Liver),0,Service,55276-00-00,990,891
Radiology ,FMXRAY1335,Doppler. Transplant (Kidney),0,Service,55278-00-00,990,891
Radiology ,FMXRAY1336,Doppler. Av Fistula,0,Service,55276-00-00,990,891
Radiology ,FMXRAY1337,Doppler. Portable In O.R.,0,Service,99999-99-92,880,792
Radiology ,FMXRAY1338,Doppler. Portable In I.P.,0,Service,99999-99-92,1100,990
Radiology ,FMXRAY1340,W.H. Breast Us (1 Side),0,Service,55070-00-00,469.48,426.8
Radiology ,FMXRAY1341,W.H. Breast Us (2 Sides),0,Service,55076-00-00,935,841.5
Radiology ,FMXRAY1345,W.H. Mammography 2D + Us,0,Service,55070-00-00,1520,1368
Radiology ,FMXRAY1347,W.H. Mammography 3D (Tomosynthesis) + Us,0,Service,99999-99-92,1155,1039.5
Radiology ,FMXRAY1349,W.H. Mammogram Stereotactic Breast Biopsy,0,Service,90724-00-01,1320,1188
Radiology ,FMXRAY1350,W.H. Mammogram Breast (Wire/Marker) Localization,0,Service,59303-00-00,550,495
Radiology ,FMXRAY1351,W.H. Breast Tru-Cut Biopsy,0,Service,90908-00-11,1100,990
Radiology ,FMXRAY1352,W.H. Breast Fna,0,Service,73200-02-60,1100,990
Radiology ,FMXRAY1353,W.H. Breast Dynamic Mri,0,Service,90901-10-21,2200,1980
Radiology ,FMXRAY1354,W.H. Fetal Scan At 1St Trimester,0,Service,55700-01-00,550,495
Radiology ,FMXRAY1355,W.H. Fetal Scan At 2Nd Trimester,0,Service,55700-01-00,550,495
Radiology ,FMXRAY1356,W.H. Fetal Doppler,0,Service,55700-00-00,385,346.5
Radiology ,FMXRAY1357,W.H. Amniocentesis (Us Guidance),0,Service,90908-00-11,1650,1485
Radiology ,FMXRAY1358,W.H. Mri Fetus & Placenta,0,Service,90901-05-10,1980,1782
Radiology ,FMXRAY1359,W.H. Mri Female Pelvis (Standard Protocol,0,Service,90901-06-10,2200,1980
Radiology ,FMXRAY1456,Panorama (3D),0,Service,57960-00-00,770,693
Radiology ,FMXRAY1461,Nm. Cerebral Perfusion (Tc99M),0,Service,61402-00-00,2530,2277
Radiology ,FMXRAY1465,Nm. V/Q Lung Scan (Perfusion Only) + Spect/Ct,0,Service,56301-00-00,3575,3217.5
Radiology ,FMXRAY1469,Nm. V/Q Lung (Perfusion & Ventillation) + Spect/Ct,0,Service,61348-00-00,5720,5148
Radiology ,FMXRAY1471,Nm. Liver And Spleen Scan (Sulfur Colloid Scan) + Spect/Ct,0,Service,61353-00-00,4510,4059
Radiology ,FMXRAY1472,Nm. Bone Scan (Whole Body 1 Phase),0,Service,61421-00-00,1207.58,1097.8
Radiology ,FMXRAY1473,Nm. Bone Scan (Whole Body 2 Phase),0,Service,61421-00-00,2970,2673
Radiology ,FMXRAY1475,Nm. Bone Scan (3 Phase Scan) + Spect/Ct,0,Service,61425-00-00,3300,2970
Radiology ,FMXRAY1476,Nm. Renal (Dmsa Scan),0,Service,61386-01-00,3025,2722.5
Radiology ,FMXRAY1477,Nm. Renal (Dmsa Scan) + Spect/Ct,0,Service,61387-00-00,3575,3217.5
Radiology ,FMXRAY1478,Nm. Renal (Dtpa Scan Standard Protocol),0,Service,61386-00-00,2860,2574
Radiology ,FMXRAY1480,Nm. Renal (Mag3 Scan),0,Service,61390-00-00,5280,4752
Radiology ,FMXRAY1482,Nm. Gastric Emptying + Ge Reflux (Tc99M Pertech),0,Service,61373-00-00,4290,3861
Radiology ,FMXRAY1483,Nm. Meckel'S Scan,0,Service,61368-00-00,2530,2277
Radiology ,FMXRAY1487,Nm. Thyroid (Diagnostic I-123),0,Service,61473-00-00,3190,2871
Radiology ,FMXRAY1491,Nm. Thyroid (Theraputic I-131 - 20 Mci),0,Service,61473-00-00,3630,3267
Radiology ,FMXRAY1492,Nm. Thyroid (Theraputic I-131 - 25 Mci),0,Service,16009-00-00,4290,3861
Radiology ,FMXRAY1493,Nm. Thyroid (Theraputic I-131 - 30 Mci),0,Service,61473-00-00,4785,4306.5
Radiology ,FMXRAY1494,Nm. Thyroid (Theraputic I-131 - 50 Mci),0,Service,61426-00-00,16500,14850
Radiology ,FMXRAY1495,Nm. Thyroid (Theraputic I-131 - 80 Mci),0,Service,61473-00-00,19800,17820
Radiology ,FMXRAY1498,Nm. Thyroid (Theraputic I-131 - 150 Mci),0,Service,61473-00-00,29700,26730
Radiology ,FMXRAY1499,Nm. Parathyroid Scan (Tc99M),0,Service,61480-00-00,3850,3465
Radiology ,FMXRAY1502,Nm. Mibg + Spect/Ct,0,Service,90910-00-00,7370,6633
Radiology ,FMXRAY1503,Nm. Octreotide Scan,0,Service,61369-00-00,6600,5940
Radiology ,FMXRAY1504,Nm. Upper Limb Lymphoscintigraphy,0,Service,61469-00-00,3135,2821.5
Radiology ,FMXRAY1506,Nm. Sentinal Lymph Node Scan,0,Service,61469-00-00,4620,4158
Radiology ,FMXRAY1508,Nm. Labeled Wbc Scan,0,Service,12530-00-00,6600,5940
Radiology ,FMXRAY1509,Nm. Labeled Wbc Scan + Spect/Ct,0,Service,12530-00-00,7150,6435
Radiology ,FMXRAY1510,Nm. Rbc Scan,0,Service,61356-00-00,6600,5940
Radiology ,FMXRAY1511,Nm. Rbc Scan + Spect/Ct,0,Service,61356-00-00,7150,6435
Radiology ,FMXRAY1512,Nm. Cardiac (Stress & Rest Myocardial Perfusion Scan),0,Service,61310-00-00,5610,5049
Radiology ,FMXRAY1513,Nm. Cardiac (Viability Scan),0,Service,61320-00-00,4510,4059
Radiology ,FMXRAY1514,Nm. Cardiac (Pyp Scan),0,Service,61320-01-00,2310,2079
Radiology ,FMXRAY1515,Nm. Cardiac (Pyp Scan) + Spect/Ct,0,Service,61320-01-00,3190,2871
Radiology ,FMXRAY1516,Nm. Pet/Ct Whole Body,0,Service,61523-00-00,13200,11880
Radiology ,FMXRAY1517,Nm. Pet/Ct Cardiac,0,Service,57360-00-00,9350,8415
Radiology ,FMXRAY1518,Nm. Pet/Ct Brain,0,Service,61559-00-00,9350,8415
Radiology ,FMXRAY1519,Nm. Additional Spect/Ct,0,Service,90910-00-00,660,594
Radiology ,FMXRAY1520,Nm. Ct Only (Radiotherapy Pre-Treatment Plan),0,Service,90910-00-00,660,594
Radiology ,FMXRAY1523,Dexa (Bmd) Whole Body,0,Service,12309-00-00,1320,1188
Radiology ,FMXRAY1524,Teleradiology Consultation,0,Service,96037-00-00,591.69,537.9
Radiology ,FMXRAY1526,X-Ray Cd Upload,0,Service,99999-99-92,10,9
Radiology ,FMXRAY1527,X-Ray Cd Upload With Reporting,0,Service,99999-99-92,100,90
Radiology ,FMXRAY1528,Ultrasound Cd Upload,0,Service,99999-99-92,10,9
Radiology ,FMXRAY1529,Ultrasound Cd Upload With Reporting,0,Service,99999-99-92,150,135
Radiology ,FMXRAY1530,Mammogram Cd Upload,0,Service,99999-99-92,10,9
Radiology ,FMXRAY1531,Mammogram Cd Upload With Reporting,0,Service,99999-99-92,200,180
Radiology ,FMXRAY1532,Ct Cd Upload,0,Service,99999-99-92,10,9
Radiology ,FMXRAY1533,Ct Cd Upload With Reporting,0,Service,99999-99-92,300,270
Radiology ,FMXRAY1534,Mri Cd Upload,0,Service,99999-99-92,10,9
Radiology ,FMXRAY1535,Mri Cd Upload With Reporting,0,Service,99999-99-92,300,270
Radiology ,FMXRAY1536,Additional Cd Printing,0,Service,99999-99-92,50,45
Radiology ,FMXRAY1538,Mri Brain Angiography (Mra) With Contrast,0,Service,90901-00-20,2200,1980
Radiology ,FMXRAY1539,Mri Neck Angiography (Mrv) Without Contrast,0,Service,90902-00-00,1980,1782
Radiology ,FMXRAY1540,Mri Neck Angiography (Mra) With Contrast,0,Service,90901-02-20,1980,1782
Radiology ,FMXRAY1542,Mri Pelvis Angiography (Mra) Without Contrast,0,Service,90902-05-00,2200,1980
Radiology ,FMXRAY1543,Mri Abdomen Angiography (Mrv) With Contrast,0,Service,90901-05-20,2640,2376
Radiology ,FMXRAY1544,Mri Pelvis Angiography (Mra) With Contrast,0,Service,90901-06-20,2640,2376
Radiology ,FMXRAY1547,Ct Brain Angiography (Ctv),0,Service,59970-04-00,3000,2700
Radiology ,FMXRAY1548,Ct Neck Angiography (Ctv),0,Service,59970-04-00,3000,2700
Radiology ,FMXRAY1550,Ct Abdomen & Pelvis (Liver Volumetry Protocol),0,Service,56501-00-00,2250,2025
Radiology ,FMXRAY1551,"Ct Chest, Abdomen, Pelvis With Contrast (Cap Protocol)",0,Service,56307-01-00,3000,2700
Radiology ,FMXRAY1553,Ct Angiography (Ctv) For Lower Limb,0,Service,57350-07-01,6025,5422.5
Radiology ,FMXRAY1554,Ct. Mako Preoperative (Right),0,Service,60100-00-00,1000,900
Radiology ,FMXRAY1555,Ct. Mako Preoperative (Left),0,Service,60100-00-00,1000,900
Radiology ,FMXRAY1556,Ct. Mako Preoperative (Bilateral),0,Service,60100-00-00,1600,1440
Radiology ,FMXRAY1557,X-Ray Shoulders Both Ap Stress View,0,Service,57700-00-21,440,396
Radiology ,FMXRAY1558,X-Ray Feet Ap & Obl.,0,Service,57518-04-11,450,405
Radiology ,FMXRAY1560,X-Ray C-Arm Guidance (< 1 Hour),0,Service,60503-00-11,1600,1440
Radiology ,FMXRAY1561,X-Ray C-Arm Guidance (1-2 Hour),0,Service,60503-00-11,2000,1800
Radiology ,FMXRAY1562,X-Ray C-Arm Guidance (> 2 Hour),0,Service,60503-00-12,3000,2700
Radiology ,FMXRAY1563,Fluroscopy Fluoro Guidance (< 1 Hour),0,Service,58506-00-00,1600,1440
Radiology ,FMXRAY1564,Fluroscopy Fluoro Guidance (1-2 Hour),0,Service,60503-00-11,2000,1800
Radiology ,FMXRAY1570,Wh Obstetric Us In Early Pregnancy (1St Trimester),0,Service,55700-02-00,550,495
Radiology ,FMXRAY1571,"Wh Obstetric Us (Routine Anatomy Scan, Biophysical Profile)",0,Service,55700-01-00,1000,900
Radiology ,FMXRAY1572,Wh Obstetric Us (Detailed Anatomy Scan),0,Service,55700-02-00,1500,1350
Radiology ,FMXRAY1573,Wh Additional 3D/4D Application,0,Service,99999-99-92,300,270
Radiology ,FMXRAY1574,Wh Transvaginal Us Hysteroscopy,0,Service,35630-00-00,2000,1800
Radiology ,FMXRAY1575,Wh Transvaginal 4D,0,Service,55065-00-10,1000,900
Radiology ,FMXRAY1576,Ir Angiography Guidance (< 1 Hour),0,Service,59970-00-00,1600,1440
Radiology ,FMXRAY1577,Ir Angiography Guidance (1-2 Hour),0,Service,59970-00-00,2000,1800
Radiology ,FMXRAY1578,Ir Angiography Guidance (> 2 Hour),0,Service,59970-00-00,3000,2700
Radiology ,FMXRAY1579,Cd X-Ray Consultation,0,Service,83600-01-60,50,45
Radiology ,FMXRAY1580,Cd Mammogram Consultation,0,Service,83600-01-60,100,90
Radiology ,FMXRAY1581,Cd Ultrasound Consultation,0,Service,83600-01-60,75,67.5
Radiology ,FMXRAY1582,Cd Ct Consultation,0,Service,83600-01-60,100,90
Radiology ,FMXRAY1583,Cd Mri Consultation,0,Service,83600-01-60,200,180
Radiology ,FMXRAY1584,Cd Nuclear Imaging Consultation,0,Service,83600-01-60,300,270
Radiology ,FMXRAY1586,X-Ray Bone Age 1 View ,0,Service,58300-00-00,250,225
LABORATORY,FMENDE0190,Rapid H.Pylori Test During Endoscope,0,Service,73050-17-60,100,90
LABORATORY,FMLAB9953,Nipt,0,Service,73350-06-60,9000,8100
LABORATORY,FMLAB-1006,Platelet Aphresis,0,Service,13750-03-00,4180,3762
LABORATORY,FMLAB-1009,Rhesus (Rh) Factor 500Ml,0,Service,73250-00-90,200,180
LABORATORY,FMLAB-1090,"Csf Profile Without Culture (Tp, Wbcs, Rbcs, Chloride, Ldh, Rbs)",0,Service,73400-00-70,390,351
LABORATORY,FMLAB-1112, Serology Screening Ii,0,Service,73100-01-10,525,472.5
LABORATORY,FMLAB-1201 ,Total & Specific Ige (Against 295 Allergens) Alex2 ,0,Service,73100-10-20,1200,1080
LABORATORY,FMLAB-1209,Trio Whole Exome Sequencing Analysis,0,Service,73350-05-50,9295,8365.5
LABORATORY,FMLAB-1210,Whole Exome Sequencing Analysis,0,Service,73350-05-50,5141,4626.9
LABORATORY,FMLAB-1211,Whole Genome Sequencing Analysis,0,Service,73350-05-50,7737,6963.3
LABORATORY,FMLAB-1212,Panel Test - Ngs Small Euro ,0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1213,Panel Test - Ngs Medium ,0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1214,Panel Test - Ngs Large ,0,Service,73350-05-50,5141,4626.9
LABORATORY,FMLAB-1215,Carrier Testing Specific Familial Variant Per Variant ,0,Service,73200-05-40,4622,4159.8
LABORATORY,FMLAB-1216,"Next-Generation Sequencing Analysis Of Genes For Breast And Ovarian Cancer Risk Such As Atm, Bard1, Brca1, Brca2, Brip1, Cdh1, Chek2, Mre11, Nbn, Palb2, Rad51D, Stk11 And Tp53",0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1217,"Next-Generation Sequencing Analysis Of Genes For Colorectal Cancer Such As Apc, Bmpr1A, Epcam, Mlh1, Msh2, Msh3, Msh6, Mutyh, Nthl1, Pms2, Pole, Pold1, Pten, Smad4, Stk11, Tgfbr2, Tp53",0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1218,"Gastric Cancer, Hereditary Diffuse (Cdh1) Cdh1 ",0,Service,73350-05-60,4622,4159.8
LABORATORY,FMLAB-1219,"Pancreatic Cancer, Familial (Ngs),  Genes: Atm, Brca1, Brca2, Cdkn2A, Mlh1, Msh2, Msh6, Palb2, Prss1, Stk11",0,Service,73350-05-60,4622,4159.8
LABORATORY,FMLAB-1220,"Melanoma, Malignant Type 3 (Cdk4) Cdk4 ",0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1221,"Renal Tubular Acidosis (Ngs) Atp6V0A4,Atp6V1B1,Ca2,Slc4A1, Slc4A4 ",0,Service,73350-05-50,5141,4626.9
LABORATORY,FMLAB-1224,"Bowel Cancer By Ngs Panel, Genes: Apc, Bmpr1A, Epcam, Mlh1, Msh2, Msh3, Msh6, Mutyh, Nthl1, Pms2, Pole, Pold1, Pten, Smad4, Stk11, Tgfbr2, Tp53",0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1225,"Endometrial Cancer By Ngs Panel, Genes: Mlh1, Msh2, Msh6, Pms2 And Epcam",0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1226,"Melanoma Cancer By Ngs Panel, Genes: Bap1, Brca2, Cdk4, Cdkn2A, Mc1R, Mitf, Pten, Pot1, Tp53",0,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1227,Lung Cancer Panel,0,Service,73350-01-20,4622,4159.8
LABORATORY,FMLAB-1229,Body Fluid Examination Profile,0,Service,73200-00-10,585.64,532.4
LABORATORY,FMLAB-1300,Digeorge/Velocardiofacial-1 (22Q11.2) By Fish,0,Service,73200-00-50,1700,1530
LABORATORY,FMLAB-1507,Turner Syndrome By Fish,0,Service,73200-05-30,3620,3258
LABORATORY,FMLAB-1599,Dna Testing Beta Thalassemia,0,Service,73350-02-90,9405,8464.5
LABORATORY,FMLAB-1620,Oncotype Dx Breast,0,Service,73200-06-20,32000,28800
LABORATORY,FMLAB-1627,Jack2-Mutation Analysis,0,Service,73350-02-20,5500,4950
LABORATORY,FMLAB-2034,Hemoglobin Electrophoresis,0,Service,73050-18-00,693,630
LABORATORY,FMLAB-2045,Oral Glucose Tolerance Test (75G) Ogtt,0,Service,66542-00-20,352,316.8
LABORATORY,FMLAB-2047,Alpha Hydroxybutryric Dehydrogenase,0,Service,73100-09-80,690,621
LABORATORY,FMLAB-2057,Microalbuminuria,0,Service,73050-00-90,175.45,159.5
LABORATORY,FMLAB-2092,Vanillylmandelic Acid (Vma),0,Service,73050-38-30,1620,1458
LABORATORY,FMLAB-5032,Hbs Ab,0,Service,73100-23-80,715,643.5
LABORATORY,FMLAB-7035,Hypertension Profile,0,Service,83700-00-00,1322.53,1202.3
LABORATORY,FMLAB-7043,"Diabetic Panel (2) (Cr, Hba1C, Microalb, Urea, Tsh, T4 )",0,Service,73000-00-40,1060,954
LABORATORY,FMLAB-7059,Er Profile I (Cbc & Urine Analysis),0,Service,73100-00-90,675.4,614
LABORATORY,FMLAB-7063,Acth Stimulation/ Synacthen Test,0,Service,30097-00-00,2700,2430
LABORATORY,FMLAB-8096,"Vancomycin Peak, Serum",0,Service,73300-03-40,918,826.2
LABORATORY,FMLAB-8108,Rosette Test,0,Service,73100-07-00,918,826.2
LABORATORY,FMLAB-8130,Anti-Xa (Anti Active Factor X),0,Service,73100-06-20,2109,1898.1
LABORATORY,FMLAB-8131,Rapid Malaria Antigen Test,0,Service,73050-60-60,308,277.2
LABORATORY,FMLAB-8136,Tissue Transglutamin Igg (Ttg Igg),0,Service,73100-14-90,619,557.1
LABORATORY,FMLAB-9145,Zinc(Serum),0,Service,73050-39-10,675,607.5
LABORATORY,FMLAB-9296,Folate (Folic Acid In Erythrocyte),0,Service,73050-13-50,550,495
LABORATORY,FMLAB-9499,Fungus Serology (Aspergillus And Candida),0,Service,73100-19-10,3865,3478.5
LABORATORY,FMLAB-9837,"Anemia Profile (Cbc, Iron, Ferritin, Reticulocyte Count)",0,Service,73000-00-20,2290,2061
LABORATORY,FMLAB-9911,Urea Breath Test,0,Service,73050-17-60,742.5,668.25
LABORATORY,FMLAB-9941,"Gentamicin Trough, Serum",0,Service,73300-01-20,798,718.2
LABORATORY,FMLAB-9952,Thyroglobulin Antibodies,0,Service,73050-35-00,1050,945
LABORATORY,FMLAB-9991,Sexually Transmitted Diseases (Stds) Panel,0,Service,73100-20-30,1140,1026
LABORATORY,FMLAB-9992,Cryptosporidiosis Screening And Identification In Stool,0,Service,73050-45-50,165,148.5
LABORATORY,FMLAB-9993,Pdgfra/Fip1L1 (Fish),0,Service,73200-05-30,3000,2700
LABORATORY,FMLAB-9994,Mds With  5Q-  By Fish,0,Service,73200-05-30,3000,2700
LABORATORY,FMLAB9995,Sars Cov2 (Covid-19) Antigen - Poct,0,Service,73100-26-20,70,63
LABORATORY,FMLAB-9995,Celiac Disease Screening,0,Service,73350-04-30,1500,1350
LABORATORY,FMLAB-9998,Tryptase,0,Service,73050-20-60,296.45,269.5
LABORATORY,FMLAB-9999,Chromogranin A,0,Service,73100-14-50,257.73,234.3
LABORATORY,FMLABH0001,Factor Xiii,0,Service,73100-03-50,900,810
LABORATORY,FMLABM0018,Anti-Tissue Transglutaminase(Iga),0,Service,73050-14-10,412.5,371.25
LABORATORY,FMLABM0065,Endotoxin In Water,0,Service,73050-44-90,350,315
LABORATORY,FMLABM0159,Apc And Mutyh Associated Polyposis Panel,0,Service,73350-05-60,1700,1530
LABORATORY,FMLABM0164,Hla Resolution Typing (Class I And Class Ii)/ Recipient,0,Service,73100-29-00,4000,3600
LABORATORY,FMLABM0166,Hla Initial Cross Match Recipient,0,Service,73100-28-80,1100,990
LABORATORY,FMLABM0167,Hla Pra Class I Sa - Luminex,0,Service,73350-03-20,1900,1710
LABORATORY,FMLABM0170,Hla Pra Class Ii Sa - Luminex,0,Service,73350-03-50,1800,1620
LABORATORY,FMLABM0301,Covid-19 Pcr,0,Service,73050-58-10,100,90
LABORATORY,FMPOCT-1,Point Of Care Arterial Blood Gas (Abg),0,Service,73050-14-50,470,423
LABORATORY,FSLAB0001,Dlbcl By Fish,0,Service,73100-13-70,6000,5400
LABORATORY,FSLAB0003,Cancer Colon Panel ( Kras - Nras - Braf - Msi - Pd-L1 - Her2/Neu ),0,Service,73200-09-50,7000,6300
LABORATORY,FSLAB0004,Pd-L1 Immunostaining ,0,Service,73100-13-70,950,855
