Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Column7,Class A ,VIP,Comment
SURGERY,FMSUR-3261,Laparascopic Resection And Anastomosis,PKG,30515-04-00,0.0,14535.0,14535.0,14535.0,current Price
SURGERY,FMSUR-3262,Laparascopic Resction Of Diverticulam,PKG,32030-01-00,0.0,16792.0,16792.0,16792.0,current Price
SURGERY,FMSUR-3264,Sils Appendectomy,PKG,30571-00-00,0.0,10032.0,10032.0,10032.0,current Price
SURGERY,FMSUR-3265,Sils Cholecystectomy,PKG,43900-00-00,0.0,14877.0,14877.0,14877.0,current Price
SURGERY,FMSUR-3266,Sils Tapp (Hernioplasty),PKG,30403-01-00,0.0,16720.0,16720.0,16720.0,current Price
SURGERY,FMSUR-3267,Sils Varicocelectomy,PKG,32508-00-01,0.0,9196.0,9196.0,9196.0,current Price
SURGERY,FMSUR-3268,Laparascopic Adrenalectomy,PKG,36500-01-00,0.0,22207.0,22207.0,22207.0,current Price
SURGERY,FMSUR-3270,Laparoscopic Operating Fowler – Stephens (1St Stage),PKG,37604-09-00,0.0,10450.0,10450.0,10450.0,current Price
SURGERY,FMSUR-3271,Laparoscopic Operating Fowler – Stephens (2Nd Stage),PKG,37604-09-00,0.0,10032.0,10032.0,10032.0,current Price
SURGERY,FMSUR-3272,Laparoscopic Orchiectomy Of Intra-Abdomenal Or Intra Canalicular Testis,PKG,30641-00-00,0.0,29925.0,29925.0,29925.0,current Price
SURGERY,FMSUR-3273,Laparascopic Ovarian Drilling (Unilateral),PKG,35637-08-01,0.0,8875.375,8875.38,8875.38,current Price
SURGERY,FMSUR-3274,Laparascopic Ovarian Drilling (Bilateral),PKG,35637-08-02,0.0,11034.25,11034.25,11034.25,current Price
SURGERY,FMSUR-3275,Laparascopic Removal Of Missed Iucd,PKG,35506-02-00,0.0,8875.375,8875.38,8875.38,current Price
UROLOGY,FMURO-3041,Unilateral Orchidopexy,PKG,37604-10-00,0.0,5996.875,5996.88,5996.88,current Price
UROLOGY,FMURO-3061,Bilateral Ligation Of Varicocele,PKG,30635-00-02,0.0,7915.875,7915.88,7915.88,current Price
UROLOGY,FMURO-3065,Cystocsopy And U/S Lithtripsy,PKG,36546-00-00,0.0,7915.875,7915.88,7915.88,current Price
UROLOGY,FMURO-3069,Excision Of Bladder Ulcer,PKG,90360-00-00,0.0,5996.875,5996.88,5996.88,current Price
SURGERY,FMSUR-3280,Laparascopic Checking Of Tubal Patency,PKG,35703-00-00,0.0,7196.25,7196.25,7196.25,current Price
SURGERY,FMSUR-3281,Laparascopic Salpingo-Oophorectomy (Unilateral),PKG,35638-02-00,0.0,8875.375,8875.38,8875.38,current Price
SURGERY,FMSUR-3282,Laparascopic Salpingo-Oophorectomy (Bilateral),PKG,35638-03-00,0.0,11274.125,11274.13,11274.13,current Price
UROLOGY,FMURO-3081,Repair Of Fracture Penis,PKG,37408-01-00,0.0,5996.875,5996.88,5996.88,current Price
Dental,FMDNTS0097,Removal Of Plate Or Wire Post,PKG,52102-00-01,0.0,7820.875,7820.88,7820.88,current Price
SURGERY,FMSUR-3285,Diagnostic Laparascopy + Canalization Of Tube,PKG,30390-00-00,0.0,8875.375,8875.38,8875.38,current Price
SURGERY,FMSUR-3292,Laparoscopic Gastric Banding,PKG,30511-13-00,0.0,29925.0,29925.0,29925.0,current Price
SURGERY,FMSUR-3293,Laparoscopic Sleeve Gastrectomy,PKG,30511-09-00,0.0,23750.0,23750.0,23750.0,current Price
SURGERY,FMSUR-3294,Biliopancreatic Diversion (Bpd) Scopinaro Procedure,PKG,30518-00-00,0.0,35511.0,35511.0,35511.0,current Price
SURGERY,FMSUR-3295,Laparoscopic Sleeve Gastrectomy With Band Removal,PKG,30511-09-00,0.0,28500.0,28500.0,28500.0,current Price
SURGERY,FMSUR-3296,Laparoscopic Gastric Banding With Cholecystectomy,PKG,30511-13-00,0.0,34666.0,34666.0,34666.0,current Price
SURGERY,FMSUR-3297,Laparoscopic Sleeve Gastrectomy With Cholecystectomy,PKG,30511-09-00,0.0,37202.0,37202.0,37202.0,current Price
SURGERY,FMSUR-3298,Laparoscopic Roux-En-Y Gastric Bypass With Cholecystectomy,PKG,30445-00-00,0.0,37202.0,37202.0,37202.0,current Price
SURGERY,FMSUR-3299,Laparoscopic Roux-En-Y Gastric Bypass With Band Removal,PKG,90942-01-00,0.0,37202.0,37202.0,37202.0,current Price
SURGERY,FMSUR-3300,Laparoscopic Roux-En-Y Gastric Bypass With Cholecystectomy And Band Removal,PKG,30445-00-00,0.0,42275.0,42275.0,42275.0,current Price
SURGERY,FMSUR-3301,Laparoscopic Mini Gastric Bypass With Cholecystectomy,PKG,30512-03-00,0.0,37202.0,37202.0,37202.0,current Price
SURGERY,FMSUR-3302,Laparoscopic Mini Gastric Bypass With Band Removal,PKG,90942-01-00,0.0,37202.0,37202.0,37202.0,current Price
SURGERY,FMSUR-3303,Laparoscopic Mini Gastric Bypass With Cholecystectomy And Band Removal,PKG,30445-00-00,0.0,42275.0,42275.0,42275.0,current Price
SURGERY,FMSUR-3304,Laparoscopic Sleeve Gastrectomy With Cholecystectomy And Band Removal,PKG,30511-09-00,0.0,42275.0,42275.0,42275.0,current Price
SURGERY,FMSUR-3305,Biliopancreatic Diversion (Bpd) Scopinaro Procedure With Cholecystectomy,PKG,30512-02-00,0.0,40584.0,40584.0,40584.0,current Price
SURGERY,FMSUR-3308,Total Reversal Of Laparoscopic Roux-En-Y Gastric Bypass,PKG,30512-00-00,0.0,32490.0,32490.0,32490.0,current Price
SURGERY,FMSUR-3309,Resizing Of Gastric Bypass Pouch Following Weight Regain,PKG,30514-01-00,0.0,32490.0,32490.0,32490.0,current Price
SURGERY,FMSUR-3310,Shortening Of Common Limb Of Gastric Bypass Following Weight Regain,PKG,48424-01-00,0.0,32490.0,32490.0,32490.0,current Price
SURGERY,FMSUR-3311,Bariatric Revision,PKG,30511-12-00,0.0,3534.0,3534.0,3534.0,current Price
SURGERY,FMSUR-3312,Major Bariatric Revision,PKG,30511-12-00,0.0,6764.0,6764.0,6764.0,current Price
SURGERY,FMSUR-3313,Laparoscopic Mini Gastric Bypass,PKG,30512-03-00,0.0,32490.0,32490.0,32490.0,current Price
SURGERY,FMSUR-3314,Laparoscopic Roux-En-Y Gastric Bypass,PKG,30512-03-00,0.0,32490.0,32490.0,32490.0,current Price
SURGERY,FMSUR-3316,Laparoscopic Band Removal,PKG,90942-01-00,0.0,16720.0,16720.0,16720.0,current Price
SURGERY,FMSUR-3317,Laparoscopic Nissen Fudoplication,PKG,30527-00-00,0.0,24225.0,24225.0,24225.0,current Price
SURGERY,FMSUR-3318,Laparoscopic Band Removal With Cholecystectomy,PKG,30445-00-00,0.0,20188.0,20188.0,20188.0,current Price
SURGERY,FMSUR-3319,Diagnostic Laparoscopic Post Bariatric Surgery,PKG,30390-00-00,0.0,8360.0,8360.0,8360.0,current Price
SURGERY,FMSUR-3320,Ivf Cycle First Attempt,PKG,13215-01-00,0.0,14535.0,14535.0,14535.0,current Price
SURGERY,FMSUR-3321,Ivf Cycle Second Attempt,PKG,13215-03-00,0.0,13566.0,13566.0,13566.0,current Price
SURGERY,FMSUR-3322,Icsi Cycle First Attempt,PKG,13251-00-00,0.0,17442.0,17442.0,17442.0,current Price
SURGERY,FMSUR-3323,Icsi Cycle Second Attempt,PKG,13251-00-00,0.0,15352.0,15352.0,15352.0,current Price
SURGERY,FMSUR-3324,Embryo Cryo Storage Fee (One Year),PKG,73400-04-30,0.0,1938.0,1938.0,1938.0,current Price
SURGERY,FMSUR-3325,Embryo Cryo Storage Fee (Two Years),PKG,73400-05-10,0.0,3838.0,3838.0,3838.0,current Price
SURGERY,FMSUR-3326,Embryo Cryo Storage Fee (3 Years),PKG,73400-05-10,0.0,5757.0,5757.0,5757.0,current Price
SURGERY,FMSUR-3327,Iui Including 3 Ultrasound & Urine Test,PKG,73400-02-70,0.0,1938.0,1938.0,1938.0,current Price
Dental,FMDNTS0136,Rotation Flap (Small),PKG,45200-00-00,0.0,6129.875,6129.88,6129.88,current Price
Dental & Maxillofacial,FMDNTC0056,Rotation Flap (Moderate),PKG,45200-00-00,0.0,6129.875,6129.88,6129.88,current Price
SURGERY,FMSUR-3330,Frozen Embryo Replacement Cycle,PKG,73400-02-20,0.0,3454.2,3454.2,3454.2,current Price
OB & GYNE,FMOBG-3020,Amputation Of Cervix,PKG,35618-03-00,0.0,5996.875,5996.88,5996.88,current Price
Orthopedics,FMORT-0788,Steam Cell,PKG,99999-99-99,0.0,21000.0,21000.0,21000.0,New
SURGERY,FMSUR-3334,Hysteroscopic Polypectomy,PKG,35633-01-00,0.0,8731.449999999999,8731.45,8731.45,current Price
SURGERY,FMSUR-3335,Hysteroscopic Removal Of Synechia,PKG,35633-00-00,0.0,11514.0,11514.0,11514.0,current Price
SURGERY,FMSUR-3336,Hysteroscopy Myomectomy,PKG,35649-01-00,0.0,11514.0,11514.0,11514.0,current Price
SURGERY,FMSUR-3337,Hysteroscopic Metroplasty,PKG,35634-00-00,0.0,11514.0,11514.0,11514.0,current Price
SURGERY,FMSUR-3338,Endometrium Oblation,PKG,35622-00-00,0.0,11514.0,11514.0,11514.0,current Price
SURGERY,FMSUR-3339,Emryo Transfer,PKG,13215-01-00,0.0,1938.0,1938.0,1938.0,current Price
SURGERY,FMSUR-3340,Pre Implantation Genetic Screeing (Pgs) 4 Embryos,PKG,73400-03-20,0.0,5277.25,5277.25,5277.25,current Price
SURGERY,FMSUR-3341,Bilateral Carotid And Vertebral Angiogram,PKG,90902-00-00,0.0,7196.25,7196.25,7196.25,current Price
OB & GYNE,FMOBG-3047,Caesarian Delivery For Twins (Uncomplicated),PKG,16520-02-00,0.0,13672.875,13672.88,13672.88,current Price
OB & GYNE,FMOBG-3048,Caesarian Delivery For Triplets (Uncomplicated),PKG,16520-04-00,0.0,15591.875,15591.88,15591.88,current Price
Ophthalmology,FMOPT-4092,Excision Of Corneal Tumour+Histopath. Analysis,PKG,42573-00-01,0.0,7915.875,7915.88,7915.88,current Price
Ophthalmology,FMOPT-4186,Iol Repositioning ( Outside Hospital ),PKG,42704-01-01,0.0,5996.875,5996.88,5996.88,current Price
Orthopedics,FMORT-0235,Other Repair Of Shoulder,PKG,90533-00-01,0.0,19258.875,19258.88,19258.88,current Price
SURGERY,FMSUR-3352,"Obliteration Of Cerebral Aneurysms By Coils – Large Aneurysms (> 10 Mm) Including The Basic Microcather, Microguide Wire And The First Coil",PKG,35412-00-00,0.0,84436.0,84436.0,84436.0,current Price
Orthopedics,FMORT-0428,Repair Of Recurr Disloc Of Shoulder,PKG,47009-00-01,0.0,19258.875,19258.88,19258.88,current Price
Orthopedics,FMORT-0429,Arthroscopy Of Knee-Diagnostic,PKG,49557-00-01,0.0,8599.875,8599.88,8599.88,current Price
Orthopedics,FMORT-0430,Arthroscopy Of Knee - Surgical,PKG,49557-00-01,0.0,8599.875,8599.88,8599.88,current Price
SURGERY,FMSUR-3356,"Embolization Of Cranial And Spinal Vascular Tumors As Pre-Operative And Decrease In Blood Supply To The Tumor Including The Basic Microcatheter, Microguide Wire And The First Coil",PKG,35321-02-00,0.0,13289.074999999999,13289.08,13289.08,current Price
SURGERY,FMSUR-3357,"Endovascular Intraarterial Fibrinolysis For Cerebrovascular Embolization / Thrombosis (Short Segment <10 Cm) Including The Basic Microcatheter, Microguide Wire",PKG,90223-01-00,0.0,32623.0,32623.0,32623.0,current Price
SURGERY,FMSUR-3358,"Endovascular Revascularization Of Cerebral Ischemia – Single Vessel Including The Basic Microcatheter, Microguide Wrie",PKG,90235-00-00,0.0,32623.0,32623.0,32623.0,current Price
SURGERY,FMSUR-3359,"Endovascular Revascularization Of Cerebral Ischemia – Mutiple Vessel Including The Basic Microcatheter, Microguide Wire",PKG,35303-06-00,0.0,38236.075,38236.08,38236.08,current Price
Orthopedics,FMORT-0532,Surgical Arthoscopy Plica Or Retinaculum Release/Arthrosco.,PKG,49560-02-01,0.0,8599.875,8599.88,8599.88,current Price
SURGERY,FMSUR-9048,Excision Of Soft Tissue Sarcoma,PKG,90575-00-01,0.0,1539.456,1539.46,1539.46,current Price
Surgery,MTSUR-0040,LYMPH NODES BIOPSY (DEEP),PKG,30075-00-00,0.0,1140.0,1140.0,1140.0,current Price
Orthopedics,FMORT-0806,Sequestrectomy Small Bone,PKG,90573-00-01,0.0,19258.875,19258.88,19258.88,current Price
Surgery,SUR-0087,Cholecystoduodenostomy,PKG,30460-00-00,0.0,14051.0,14051.0,14051.0,current Price
Surgery,SUR-0122,Varicose veins high ligation & stripping,PKG,31500-00-01,,32623.0,32623.0,32623.0,current Price
Orthopedics,FMORT-0809,Removal Of Interlocking Nail (Iln),PKG,47930-00-01,0.0,7820.875,7820.88,7820.88,current Price
UROLOGY,FMURO-0007,Cystofix Suprapubic Catheter Puncture,Service,37011-00-00,0.0,238.0,238.0,238.0,current Price
UROLOGY,FMURO-0054,Bladder Washout,Service,11921-00-00,0.0,38.0,38.0,38.0,current Price
UROLOGY,FMURO-0056,Dressing Of Wound,Service,30055-00-00,0.0,43.0,43.0,43.0,current Price
UROLOGY,FMURO-0062,Urethrocystography,Service,58721-00-00,0.0,1330.0,1330.0,1330.0,current Price
UROLOGY,FMURO-0069,Micturating Cystourethrogram (Mcug),Service,58721-00-00,0.0,404.0,404.0,404.0,current Price
UROLOGY,FMURO-0076,Embolization Of Varicocele,PKG,30635-00-01,0.0,9764.48,9764.48,9764.48,current Price
UROLOGY,FMURO-0121,Urodynamic Study,Service,11900-00-00,0.0,1995.0,1995.0,1995.0,current Price
UROLOGY,FMURO-0129,Uroflowmetery,Service,11900-00-00,0.0,190.0,190.0,190.0,current Price
UROLOGY,FMURO-0134,Doppler Study Of Penile Arteries,Service,11602-00-00,0.0,808.0,808.0,808.0,current Price
Orthopedics,FMORT-0810,Removal Of Plate And Screw,PKG,47930-00-01,0.0,7820.875,7820.88,7820.88,current Price
Orthopedics,FMORT-1020,Neurolysis,PKG,39330-00-00,0.0,19258.875,19258.88,19258.88,current Price
Orthopedics,FMORT-9915,Nerve Suture And Neurolysis,PKG,39300-00-00,0.0,19258.875,19258.88,19258.88,current Price
Orthopedics,ORT-0005,Arthodeasis Of The Big Toe,PKG,46363-00-01,0.0,3526.875,3526.88,3526.88,current Price
UROLOGY,FMURO-3010,Recircumcision Under La,PKG,30653-00-00,0.0,1938.0,1938.0,1938.0,current Price
UROLOGY,FMURO-3013,Trus & Biopsy,PKG,37218-00-00,0.0,1211.25,1211.25,1211.25,current Price
UROLOGY,FMURO-3015,Cystoscopy + Removal Of Djs Under G.A.,PKG,36821-01-00,0.0,3591.0,3591.0,3591.0,current Price
Orthopedics,ORT-0018,Removal Of Ganglion,PKG,30107-00-01,0.0,3526.875,3526.88,3526.88,current Price
Orthopedics,ORT-0054,Open Of Recurrent Dislocation Shoulder,PKG,47012-00-01,0.0,19258.875,19258.88,19258.88,current Price
UROLOGY,FMURO-3019,Cystourethroscopy + Loop Dj Stent,PKG,36821-01-00,0.0,5757.0,5757.0,5757.0,current Price
UROLOGY,FMURO-3021,Cystourethroscopy + Diathermy Coagulation Papiloma Bladder,PKG,36840-03-00,0.0,8755.4375,8755.44,8755.44,current Price
UROLOGY,FMURO-3025,Cystoscopy & Biopsy,PKG,36812-00-00,0.0,3028.125,3028.13,3028.13,current Price
UROLOGY,FMURO-3026,Cystoscopy And Dj Stent Insertion (Unilateral),PKG,36821-01-00,0.0,5208.375,5208.38,5208.38,current Price
UROLOGY,FMURO-3027,Cystoscopy And Meatotomy,PKG,37324-01-00,0.0,5157.3125,5157.31,5157.31,current Price
Orthopedics,ORT-0101,Diagnostic Arthroscopy,PKG,49557-00-01,0.0,8599.875,8599.88,8599.88,current Price
UROLOGY,FMURO-3029,Cystoscopy And Retrograde Pyelography And Dj Insertion,PKG,36821-01-00,0.0,5757.0,5757.0,5757.0,current Price
SURGERY,FMSUR-3253,Laparascopic Tubal Ligation On Cauterization Bilateral,PKG,35688-00-00,0.0,7915.875,7915.88,7915.88,current Price
UROLOGY,FMURO-3031,Cystourethroscopy & Visual Internal Urethrotomy,PKG,37324-01-00,0.0,6956.375,6956.38,6956.38,current Price
SURGERY,FMSUR-3283,Diagnostic Laparascopy + New Ostia Of Fallopian Tube (Unilateral),PKG,90434-00-01,0.0,13672.875,13672.88,13672.88,current Price
UROLOGY,FMURO-3044,Cystoscopy + Removal Of Djs Under G.A. (Bilateral),PKG,36833-01-00,0.0,5130.0,5130.0,5130.0,current Price
Orthopedics,FMORT-0018,Bone Lenghtening W/ Bone Graft At Tibia & Fibula,PKG,50303-00-00,0.0,17204.88,17204.88,17204.88,current Price
Orthopedics,FMORT-0222,Pes Aserinus Transfer,PKG,46300-01-01,0.0,17204.88,17204.88,17204.88,current Price
UROLOGY,FMURO-3047,Cystourethroscopy + Ureteric Meatotomy,PKG,36830-00-00,0.0,7148.275,7148.28,7148.28,current Price
UROLOGY,FMURO-3049,Cystourethroscopy + Turp,PKG,37224-03-00,0.0,11514.0,11514.0,11514.0,current Price
UROLOGY,FMURO-3050,Tur Bladder (Tumours),PKG,36845-06-00,0.0,8963.25,8963.25,8963.25,current Price
OB & GYNE,FMOBG-3006,Polypectomy Fract. Curretage,PKG,35633-01-00,0.0,3003.8999999999996,3003.9,3003.9,current Price
Orthopedic,FMORT-1500,CORRECTION OF CONGENITAL FOOT ANOMALY OR DEFORMITIES DUE TO SPINAL BIFIDA,PKG,90604-00-00,0.0,11515.9,11515.9,11515.9,current Price
UROLOGY,FMURO-3064,Correction Of Tortion Testes & Orchidopexy,PKG,37604-10-00,0.0,8875.375,8875.38,8875.38,current Price
UROLOGY,FMURO-3076,Nesbit Operation,PKG,37417-00-00,0.0,11034.25,11034.25,11034.25,current Price
Orthopedics,FMORT-0470,Correction Of Foot Deformities,PKG,90604-00-00,0.0,11515.9,11515.9,11515.9,current Price
Orthopedics,FMORT-0499,Open Red. For Hip In C.D.H.,PKG,47051-00-02,0.0,11515.9,11515.9,11515.9,current Price
Orthopedics,FMORT-0444,P.O.P. To Simple Fracture W/O Displacement,PKG,96092-00-00,0.0,1744.9125,1744.91,1744.91,current Price
cardiology,FMCAR-0569,ADDITIONAL BALLOON,PKG,90223-01-00,0.0,7819.924999999999,7819.92,7819.92,current Price
UROLOGY,FMURO-3093,Urs & Stone Extraction,PKG,36806-02-00,0.0,11126.249999999998,11126.25,11126.25,current Price
UROLOGY,FMURO-3098,Flexible Ureterorenoscopy Djs Insertion,PKG,36803-00-00,0.0,19380.0,19380.0,19380.0,current Price
UROLOGY,FMURO-3042,Urethral Dilatation,PKG,90358-00-00,0.0,3957.9375,3957.94,3957.94,current Price
UROLOGY,FMURO-3102,Total Cystectomy,PKG,37014-00-00,0.0,16791.25,16791.25,16791.25,current Price
UROLOGY,FMURO-3103,Boari Flap,PKG,36579-02-00,0.0,16791.25,16791.25,16791.25,current Price
UROLOGY,FMURO-0005,Simple Urethral Dilatation,PKG,90358-00-00,0.0,3957.9375,3957.94,3957.94,current Price
UROLOGY,FMURO-3017,Cystoscopy + Anaestesia,PKG,36812-00-00,0.0,3957.9375,3957.94,3957.94,current Price
UROLOGY,FMURO-3107,Insertion Of Penile Prothesis,PKG,37426-00-00,0.0,16791.25,16791.25,16791.25,current Price
UROLOGY,FMURO-3022,Aspiration Of Prostatic Cyst,PKG,37218-00-00,0.0,1501.9499999999998,1501.95,1501.95,current Price
Orthopedics,FMORT-0152,Correctin Of Metatarsus Varus,PKG,48400-02-01,0.0,9078.96,9078.96,9078.96,current Price
Orthopedics,FMORT-0159,"Release Of Adherent Jnt Capsul Ligament,Cartilage-Knee",PKG,49500-04-01,0.0,9078.96,9078.96,9078.96,current Price
Orthopedics,FMORT-0311,Ham String Lenghtening,PKG,47957-00-01,0.0,9078.96,9078.96,9078.96,current Price
Orthopedics,FMORT-0574,Trans.Of Tendon At Hand/Wrist,PKG,46417-00-01,0.0,9078.96,9078.96,9078.96,current Price
Urology,PKURO-0001,Cystoscopy + Bulking Agent Injection For Reflux,PKG,37339-00-00,0.0,16150.0,16150.0,16150.0,current Price
vascular,VAS-0027,Amputation above knee,PKG,44367-00-00,0.0,24947.0,24947.0,24947.0,current Price
Orthopedics,ORT-0022,Terminalization Of Finger,PKG,46465-00-01,0.0,6911.9625,6911.96,6911.96,current Price
Ophthalmology,FMOPT-4118,Myoring Corneal Ring,PKG,42672-00-01,0.0,7989.974999999999,7989.97,7989.97,current Price
Vascular Surgery,MTVAS-0009,DEBRIDEMENT OF BIG WOUND,PKG,90665-00-30,0.0,1140.0,1140.0,1140.0,current Price
Vascular Surgery,MTVAS-0018,Injection Sclerotherapy Foam L.A.,PKG,32500-01-01,0.0,3534.0,3534.0,3534.0,current Price
Vascular Surgery,PKINT-0005,Peripheral Angiography Unilateral ,PKG,59970-00-00,0.0,2143.2,2143.2,2143.2,current Price
Orthopedics,FMORT-0811,Removal Of Screws,PKG,47927-00-01,0.0,6564.974999999999,6564.97,6564.97,current Price
Orthopedics,FMORT-1010,Removal Of Implant Femur,PKG,47927-01-01,0.0,8502.975,8502.98,8502.98,current Price
Orthopedics,CAR-0021,Insertion of swanz ganz catheter,PKG,49560-03-01,0.0,20426.25,20426.25,20426.25,Service to PKG
Dental & Maxillofacial,FMDNTC0005,Plastic Closure Of Chronic     Skin  Fistula,PKG,41722-00-02,0.0,12350.0,12350.0,12350.0,Service to PKG
Endoscopy,FMSUR3156,"Egd/Upper Gi Endoscopy; W/Biopsy, Single/Multiple",PKG,30473-01-00,0.0,5500.0,5500.0,5500.0,Service to PKG
Endoscopy,FMSUR3158,Egd/Upper Gi Endoscopy; W/ Mucosal Resection ≥ 2 cm,PKG,90297-01-00,0.0,8000.0,8000.0,8000.0,Service to PKG
Endoscopy,FMSUR3163,"Egd/Upper Gi Endoscopy; Esophagus, Duodenum. Stricture  Dilatation By Balloon ",PKG,41832-00-00,0.0,7000.0,7000.0,7000.0,Service to PKG
Endoscopy,FMSUR3164,Egd/Upper Gi Endoscopy; Esophagus/Duodenum Stent Placement.  (Implant Not Included),PKG,30491-00-00,0.0,7000.0,7000.0,7000.0,Service to PKG
Endoscopy,FMSUR3165,Egd/Upper Gi Endoscopy; Dilatation For Achalasia ,PKG,30475-01-00,0.0,7000.0,7000.0,7000.0,Service to PKG
Endoscopy,FMSUR3166,Egd/Upper Gi Endoscopy; W/Closure Of Perforation,PKG,30532-05-00,0.0,10000.0,10000.0,10000.0,Service to PKG
Endoscopy,FMSUR3167,Egd/Upper Gi Endoscopy; W/ Gastric Balloon Placement  (Implant Not Included),PKG,41832-00-00,0.0,7500.0,7500.0,7500.0,Service to PKG
Endoscopy,FMSUR3168,Egd/Upper Gi Endoscopy; W/ Hemostatic Treatment (Injection / Electrocoagulation /Argon Plasma Coagulation),PKG,90335-01-00,0.0,8500.0,8500.0,8500.0,Service to PKG
Endoscopy,FMSUR3169,Egd/Upper Gi Endoscopy; W/ Hemostatic Treatment By Clipping (Implant Not Included),PKG,90335-01-00,0.0,7000.0,7000.0,7000.0,Service to PKG
Endoscopy,FMSUR3170,Per Cutaneous Endoscopic Gastrostomy W/ Tube Placement (Peg),PKG,30481-00-00,0.0,8000.0,8000.0,8000.0,Service to PKG
Endoscopy,FMSUR3221,Colonoscopy; W/ Stricture Dilatation ,PKG,32094-00-00,0.0,4454.0,4454.0,4454.0,Service to PKG
Endoscopy,FMSUR3222,Colonoscopy; W/ Metalic Stent Placement (Implant Not Included),PKG,32023-00-00,0.0,7000.0,7000.0,7000.0,Service to PKG
Endoscopy,FMSUR3223,Colonoscopy; W/ Hemostatic Treatment (Injection/Electrocoagulation/Argon Plasma Coagulation),PKG,90335-01-00,0.0,6680.0,6680.0,6680.0,Service to PKG
Endoscopy,FMSUR3224,Colonoscopy; W/ Hemostatic Treatment By Clipping (Implant Not Included),PKG,90335-01-00,0.0,6000.0,6000.0,6000.0,Service to PKG
SURGERY,FMSUR-3333,Hysteroscopic Endometrial Biopsy,PKG,35630-00-00,0.0,7200.0,7200.0,7200.0,Service to PKG
SURGERY,FMSUR-3390,APICECTOMY POSTERIOR,PKG,97432-00-00,0.0,20000.0,20000.0,20000.0,Service to PKG
SURGERY,FMSUR-3391,APICECTOMY ANTERIOR,PKG,97432-00-00,0.0,12000.0,12000.0,12000.0,Service to PKG
CARDIOVASCULAR,FMVAS-0050,REMOVAL OF PERMI CATH/PORTA CATH,PKG,90223-01-00,0.0,3500.0,3500.0,3500.0,Service to PKG
Radiology ,FMXRAY1411,Ir. Us Guided Biopsy (Soft Tissue),PKG,83620-00-00,0.0,5500.0,5500.0,5500.0,Service to PKG
Radiology ,FMXRAY1414,Ir. Us Guided Fna,PKG,90908-00-11,0.0,3850.0,3850.0,3850.0,Service to PKG
Cardiology,CAR-0025,Cath Lab With Ptca Multi-Vessel (Without Stent Price) (2-3 Days).,PKG,38303-00-00,0.0,21931.2,21931.2,21931.2,Service to PKG
Radiology ,FMXRAY1552,Ct Angiography (Ctv) For Upper Limb,Service,57350-01-00,0.0,1900.0,1900.0,1900.0,current Price
Radiology ,FMXRAY1419,Ir. Transrectal Prostatic Biopsy (Trus Biopsy),PKG,32099-00-00,0.0,5700.0,5700.0,5700.0,Service to PKG
Radiology ,FMXRAY1430,Ir. Us Guided Injection,PKG,90908-00-11,0.0,1100.0,1100.0,1100.0,Service to PKG
OB & GYNE,OBG-0008,D&C Without Histopath,PKG,35640-00-00,0.0,4940.0,4940.0,4940.0,Service to PKG
Orthopedics,ORT-0008,Skin And / Or Skeletal Traction On Thoma Splint Or Bobler Spine,PKG,90531-00-00,0.0,2000.0,2000.0,2000.0,Service to PKG
Orthopedics,ORT-0017,L.A. 2 K Wire Removal,PKG,47927-00-01,0.0,1270.0,1270.0,1270.0,Service to PKG
Orthopedics,ORT-0021,G.A. Bone Swelling Biopsy,PKG,47564-00-01,0.0,3805.0,3805.0,3805.0,Service to PKG
Orthopedics,ORT-0026,Plaster Spica Or Jacket,PKG,47708-00-00,0.0,3805.0,3805.0,3805.0,Service to PKG
Orthopedics,ORT-0076,Osteotomy,PKG,90569-00-01,0.0,12175.0,12175.0,12175.0,New
Orthopedics,ORT-2027,Total Hip Replacement - Unilateral ( Robotic System ) W/ Prosthesis,PKG,49318-00-00,0.0,69300.0,69300.0,69300.0,New
Accommodation,FMADM-1011,24-hour Security Escort/ Companion For Patients With Psychaitric Needs,Service,83610-04-50,0.0,1000.0,1000.0,1000.0,New
Anaesthia ,FMANA-0029,Icu Daily Rate,Service,92519-10-00,0.0,2361.7575,2361.76,2361.76,New
Anaesthia ,FMANA-0031,Mask Ganaesthesia,Service,99999-99-99,0.0,560.6415,560.64,560.64,New
Anaesthia ,FMANA-0054,Nitrous Oxide - 1/2 Tank,Service,92210-00-00,0.0,295.0,295.0,295.0,New
Anaesthia ,FMANA-0062,Use Of Zeus Monitoring,Service,92056-00-00,0.0,187.0,187.0,187.0,New
Anaesthia ,FMANA-0067,Peripheral Nerve Block Procedure Ultrasound Guided,Service,90022-00-00,0.0,735.0,735.0,735.0,New
Anaesthia ,FMANA-0069,Patient Controlled Analegesia ,Service,18286-02-01,0.0,1100.0,1100.0,1100.0,New
Anaesthia ,FMANA-0070,Postoperative Pain Management,Service,18286-02-01,0.0,1100.0,1100.0,1100.0,New
Anaesthia ,FMANA-0071,"I.V Medication Under Monitoring For Chronic Pain Management (Neuropathic Pain ,Headache ,Fibromyalgia ....)",Service,18286-02-01,0.0,1100.0,1100.0,1100.0,New
Anaesthia ,FMANA-9917,Anasthesia In Mri In The Mri Room,Service,83670-00-60,0.0,1350.0,1350.0,1350.0,New
Anaesthia ,FMICU-0007,Ecg Portable,Service,11708-00-00,0.0,178.0515,178.05,178.05,New
